#  Alabama Precipitation
# Units: Inches
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,6.47,1.29
199702,6.16,0.98
199703,3.87,-2.29
199704,6.03,1.22
199705,5.39,1.15
199706,7.91,3.63
199707,5.33,-0.11
199708,2.88,-1.46
199709,3.30,-0.48
199710,5.10,2.27
199711,5.70,1.85
199712,4.82,-0.33
199801,8.14,2.96
199802,7.29,2.11
199803,6.20,0.04
199804,5.39,0.58
199805,2.28,-1.96
199806,3.22,-1.06
199807,6.07,0.63
199808,3.44,-0.90
199809,8.29,4.51
199810,1.37,-1.46
199811,3.30,-0.55
199812,4.27,-0.88
199901,7.94,2.76
199902,2.55,-2.63
199903,5.65,-0.51
199904,2.57,-2.24
199905,4.11,-0.13
199906,8.31,4.03
199907,4.63,-0.81
199908,2.02,-2.32
199909,1.91,-1.87
199910,3.39,0.56
199911,2.61,-1.24
199912,3.32,-1.83
200001,4.69,-0.49
200002,1.99,-3.19
200003,5.05,-1.11
200004,4.83,0.02
200005,1.32,-2.92
200006,3.71,-0.57
200007,2.26,-3.18
200008,2.36,-1.98
200009,3.49,-0.29
200010,0.80,-2.03
200011,7.70,3.85
200012,4.29,-0.86
200101,4.69,-0.49
200102,4.11,-1.07
200103,10.11,3.95
200104,3.88,-0.93
200105,4.03,-0.21
200106,7.15,2.87
200107,3.95,-1.49
200108,5.48,1.14
200109,4.80,1.02
200110,3.27,0.44
200111,3.43,-0.42
200112,4.14,-1.01
200201,5.11,-0.07
200202,2.99,-2.19
200203,5.79,-0.37
200204,2.19,-2.62
200205,4.09,-0.15
200206,3.77,-0.51
200207,5.38,-0.06
200208,3.24,-1.10
200209,7.57,3.79
200210,5.58,2.75
200211,4.88,1.03
200212,6.54,1.39
200301,2.33,-2.85
200302,6.76,1.58
200303,4.67,-1.49
200304,6.41,1.60
200305,8.49,4.25
200306,8.17,3.89
200307,7.74,2.30
200308,5.70,1.36
200309,3.70,-0.08
200310,1.61,-1.22
200311,4.67,0.82
200312,3.47,-1.68
200401,3.27,-1.91
200402,7.06,1.88
200403,2.28,-3.88
200404,3.37,-1.44
200405,4.00,-0.24
200406,7.53,3.25
200407,4.43,-1.01
200408,4.48,0.14
200409,6.63,2.85
200410,3.87,1.04
200411,8.12,4.27
200412,4.84,-0.31
200501,2.86,-2.32
200502,4.96,-0.22
200503,5.85,-0.31
200504,7.60,2.79
200505,2.80,-1.44
200506,6.37,2.09
200507,9.19,3.75
200508,6.01,1.67
200509,3.29,-0.49
200510,0.61,-2.22
200511,3.59,-0.26
200512,3.95,-1.20
200601,5.23,0.05
200602,5.05,-0.13
200603,2.97,-3.19
200604,3.07,-1.74
200605,4.41,0.17
200606,2.01,-2.27
200607,3.33,-2.11
200608,3.91,-0.43
200609,3.53,-0.25
200610,5.13,2.30
200611,4.84,0.99
200612,4.06,-1.09
200701,4.34,-0.84
200702,2.64,-2.54
200703,1.56,-4.60
200704,3.91,-0.90
200705,0.73,-3.51
200706,2.78,-1.50
200707,5.20,-0.24
200708,2.67,-1.67
200709,3.11,-0.67
200710,3.92,1.09
200711,2.75,-1.10
200712,4.25,-0.90
200801,4.09,-1.09
