#  Alabama Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,1.57,1.66
199702,1.64,1.70
199703,0.60,0.73
199704,0.98,1.20
199705,1.48,1.61
199706,2.80,2.89
199707,2.60,2.80
199708,2.11,2.34
199709,1.71,1.93
199710,2.29,2.46
199711,2.81,2.94
199712,2.53,2.64
199801,3.15,3.24
199802,3.43,3.49
199803,3.09,3.22
199804,2.94,3.16
199805,-0.80,-0.67
199806,-1.42,-1.33
199807,-1.47,-1.27
199808,-1.85,-1.62
199809,1.14,1.36
199810,-0.40,-0.23
199811,-0.67,-0.54
199812,-0.96,-0.85
199901,-0.08,0.01
199902,-0.93,-0.87
199903,-0.95,-0.82
199904,-1.68,-1.46
199905,-0.04,0.09
199906,1.45,1.54
199907,-0.15,0.05
199908,-1.00,-0.77
199909,-1.57,-1.35
199910,-1.33,-1.16
199911,-1.72,-1.59
199912,-2.17,-2.06
200001,-2.12,-2.03
200002,-2.96,-2.90
200003,-3.12,-2.99
200004,-2.73,-2.51
200005,-3.59,-3.46
200006,-3.60,-3.51
200007,-4.61,-4.41
200008,-5.25,-5.02
200009,-4.97,-4.75
200010,-5.29,-5.12
200011,1.10,1.23
200012,0.92,1.03
200101,0.78,0.87
200102,0.27,0.33
200103,1.36,1.49
200104,0.86,1.08
200105,0.73,0.86
200106,1.78,1.87
200107,1.30,1.50
200108,1.71,1.94
200109,2.04,2.26
200110,2.25,2.42
200111,-0.18,-0.05
200112,-0.45,-0.34
200201,-0.43,-0.34
200202,-0.99,-0.93
200203,-1.03,-0.90
200204,-1.82,-1.60
200205,-1.75,-1.62
200206,-1.68,-1.59
200207,-1.65,-1.45
200208,-1.92,-1.69
200209,0.97,1.19
200210,1.77,1.94
200211,2.11,2.24
200212,2.38,2.49
200301,1.38,1.47
200302,1.71,1.77
200303,1.00,1.13
200304,1.28,1.50
200305,2.54,2.67
200306,3.75,3.84
200307,4.34,4.54
200308,4.61,4.84
200309,4.38,4.60
200310,-0.13,0.04
200311,0.18,0.31
200312,-0.35,-0.24
200401,-0.85,-0.76
200402,-0.16,-0.10
200403,-1.36,-1.23
200404,-1.58,-1.36
200405,-1.59,-1.46
200406,1.19,1.28
200407,0.95,1.15
200408,1.21,1.44
200409,2.10,2.32
200410,2.37,2.54
200411,3.46,3.59
200412,3.12,3.23
