#  Alabama Palmer Hydrological Drought Index (PHDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,1.57,1.67
199702,1.64,1.69
199703,0.60,0.67
199704,0.98,1.14
199705,1.48,1.59
199706,2.80,2.86
199707,2.60,2.66
199708,2.11,2.19
199709,1.71,1.81
199710,2.29,2.30
199711,2.81,2.87
199712,2.53,2.62
199801,3.15,3.25
199802,3.43,3.48
199803,3.09,3.16
199804,2.94,3.10
199805,1.84,1.95
199806,0.94,1.00
199807,0.65,0.71
199808,-1.85,-1.77
199809,1.14,1.24
199810,0.62,0.63
199811,-0.67,-0.61
199812,-0.96,-0.87
199901,-0.08,0.02
199902,-0.93,-0.88
199903,-0.95,-0.88
199904,-1.68,-1.52
199905,-1.54,-1.43
199906,1.45,1.51
199907,1.16,1.22
199908,-1.00,-0.92
199909,-1.57,-1.47
199910,-1.33,-1.32
199911,-1.72,-1.66
199912,-2.17,-2.08
200001,-2.12,-2.02
200002,-2.96,-2.91
200003,-3.12,-3.05
200004,-2.73,-2.57
200005,-3.59,-3.48
200006,-3.60,-3.54
200007,-4.61,-4.55
200008,-5.25,-5.17
200009,-4.97,-4.87
200010,-5.29,-5.28
200011,-3.64,-3.58
200012,-3.33,-3.24
200101,-3.04,-2.94
200102,-3.15,-3.10
200103,-1.71,-1.64
200104,-1.90,-1.74
200105,-1.74,-1.63
200106,1.78,1.84
200107,1.30,1.36
200108,1.71,1.79
200109,2.04,2.14
200110,2.25,2.26
200111,1.85,1.91
200112,1.36,1.45
200201,1.20,1.30
200202,-0.99,-0.94
200203,-1.03,-0.96
200204,-1.82,-1.66
200205,-1.75,-1.64
200206,-1.68,-1.62
200207,-1.65,-1.59
200208,-1.92,-1.84
200209,-0.76,-0.66
200210,1.77,1.78
200211,2.11,2.17
200212,2.38,2.47
200301,1.38,1.48
200302,1.71,1.76
200303,1.00,1.07
200304,1.28,1.44
200305,2.54,2.65
200306,3.75,3.81
200307,4.34,4.40
200308,4.61,4.69
200309,4.38,4.48
200310,3.80,3.81
200311,3.59,3.65
200312,2.86,2.95
200401,2.03,2.13
200402,2.43,2.48
200403,0.96,1.03
200404,-1.58,-1.42
200405,-1.59,-1.48
200406,1.19,1.25
200407,0.95,1.01
200408,1.21,1.29
