#  Alaska Precipitation
# Units: Inches
# Base Period: 1925-2000
# Missing: -99
Date,Value,Anomaly
199701,2.37,-0.36
199702,3.11,0.79
199703,1.29,-0.94
199704,1.67,-0.22
199705,1.85,-0.26
199706,1.90,-0.44
199707,3.10,-0.18
199708,4.83,0.46
199709,4.60,0.03
199710,3.17,-1.22
199711,3.61,0.22
199712,4.31,1.24
199801,1.61,-1.12
199802,1.57,-0.75
199803,1.79,-0.44
199804,2.52,0.63
199805,3.09,0.98
199806,2.64,0.30
199807,4.11,0.83
199808,6.33,1.96
199809,4.46,-0.11
199810,3.99,-0.40
199811,1.99,-1.40
199812,2.44,-0.63
199901,3.14,0.41
199902,1.51,-0.81
199903,2.07,-0.16
199904,2.70,0.81
199905,2.32,0.21
199906,2.70,0.36
199907,3.65,0.37
199908,4.25,-0.12
199909,5.25,0.68
199910,5.16,0.77
199911,2.92,-0.47
199912,4.62,1.55
200001,3.54,0.81
200002,1.94,-0.38
200003,2.55,0.32
200004,1.81,-0.08
200005,1.48,-0.63
200006,2.14,-0.20
200007,4.42,1.14
200008,4.65,0.28
200009,5.93,1.36
200010,4.29,-0.10
200011,4.29,0.90
200012,3.04,-0.03
200101,4.54,1.81
200102,3.03,0.71
200103,2.47,0.24
200104,2.34,0.45
200105,2.27,0.16
200106,1.55,-0.79
200107,4.38,1.10
200108,3.96,-0.41
200109,3.94,-0.63
200110,4.19,-0.20
200111,1.96,-1.43
200112,2.87,-0.20
200201,3.58,0.85
200202,2.53,0.21
200203,1.43,-0.80
200204,1.88,-0.01
200205,2.28,0.17
200206,2.42,0.08
200207,2.83,-0.45
200208,5.25,0.88
200209,5.25,0.68
200210,5.72,1.33
200211,4.45,1.06
200212,2.90,-0.17
200301,2.62,-0.11
200302,3.28,0.96
200303,1.92,-0.31
200304,1.34,-0.55
200305,2.31,0.20
200306,2.49,0.15
200307,3.88,0.60
200308,5.18,0.81
200309,3.80,-0.77
200310,4.13,-0.26
200311,4.42,1.03
200312,3.63,0.56
200401,2.00,-0.73
200402,2.63,0.31
200403,2.39,0.16
200404,2.49,0.60
200405,2.46,0.35
200406,1.86,-0.48
200407,2.58,-0.70
200408,2.31,-2.06
200409,5.55,0.98
200410,5.00,0.61
200411,4.87,1.48
200412,4.60,1.53
200501,2.74,0.01
200502,2.75,0.43
200503,2.54,0.31
200504,1.55,-0.34
200505,2.18,0.07
200506,2.23,-0.11
200507,3.84,0.56
200508,4.05,-0.32
200509,6.50,1.93
200510,3.95,-0.44
200511,4.42,1.03
200512,3.61,0.54
200601,1.62,-1.11
200602,2.56,0.24
200603,1.39,-0.84
200604,2.85,0.96
200605,1.83,-0.28
200606,3.03,0.69
200607,3.14,-0.14
200608,6.04,1.67
200609,4.94,0.37
200610,6.04,1.65
200611,1.37,-2.02
200612,3.90,0.83
200701,3.29,0.56
200702,0.99,-1.33
200703,1.88,-0.35
200704,1.74,-0.15
200705,1.91,-0.20
200706,1.96,-0.38
200707,3.49,0.21
200708,3.00,-1.37
200709,5.82,1.25
200710,3.93,-0.46
200711,3.59,0.20
200712,2.49,-0.58
200801,2.82,0.09
200802,2.23,-0.09
200803,2.63,0.40
200804,2.51,0.62
200805,1.95,-0.16
200806,2.63,0.29
200807,4.55,1.27
200808,3.05,-1.32
200809,4.39,-0.18
200810,5.05,0.66
200811,2.84,-0.55
200812,2.44,-0.63
200901,4.05,1.32
200902,2.66,0.34
200903,2.57,0.34
200904,1.51,-0.38
200905,1.54,-0.57
200906,2.20,-0.14
200907,2.66,-0.62
200908,4.66,0.29
200909,4.10,-0.47
200910,3.57,-0.82
200911,3.35,-0.04
200912,2.34,-0.73
201001,1.93,-0.80
201002,1.60,-0.72
201003,2.61,0.38
201004,1.79,-0.10
201005,1.16,-0.95
201006,2.71,0.37
201007,4.56,1.28
201008,3.98,-0.39
201009,3.19,-1.38
201010,4.18,-0.21
201011,4.29,0.90
201012,1.85,-1.22
201101,2.56,-0.17
201102,2.86,0.54
201103,0.83,-1.40
201104,1.65,-0.24
201105,1.39,-0.72
201106,2.58,0.24
201107,3.70,0.42
201108,6.06,1.69
201109,5.01,0.44
201110,4.16,-0.23
201111,3.28,-0.11
201112,4.66,1.59
201201,2.79,0.06
201202,2.74,0.42
201203,1.82,-0.41
201204,1.05,-0.84
201205,2.63,0.52
201206,2.88,0.54
201207,4.21,0.93
201208,4.52,0.15
201209,7.25,2.68
201210,2.95,-1.44
201211,1.98,-1.41
201212,2.46,-0.61
201301,3.51,0.78
201302,2.84,0.52
201303,1.74,-0.49
201304,1.89,0.00
201305,2.39,0.28
201306,1.76,-0.58
201307,3.12,-0.16
201308,4.54,0.17
201309,5.42,0.85
201310,6.43,2.04
201311,4.06,0.67
201312,3.11,0.04
201401,4.34,1.61
201402,1.04,-1.28
201403,1.53,-0.70
201404,1.42,-0.47
201405,1.79,-0.32
201406,3.81,1.47
201407,4.59,1.31
201408,4.85,0.48
201409,4.82,0.25
201410,3.20,-1.19
201411,2.52,-0.87
201412,2.84,-0.23
201501,3.17,0.44
201502,1.84,-0.48
201503,2.26,0.03
201504,2.73,0.84
201505,1.82,-0.29
201506,2.07,-0.27
201507,3.92,0.64
201508,4.88,0.51
201509,6.21,1.64
201510,4.16,-0.23
201511,5.39,2.00
201512,1.65,-1.42
201601,2.71,-0.02
201602,2.48,0.16
201603,2.25,0.02
201604,2.30,0.41
201605,2.68,0.57
201606,2.68,0.34
201607,4.18,0.90
201608,5.20,0.83
201609,5.89,1.32
201610,1.70,-2.69
201611,2.90,-0.49
201612,2.10,-0.97
201701,2.90,0.17
201702,2.34,0.02
201703,1.19,-1.04
201704,0.90,-0.99
201705,2.76,0.65
201706,2.09,-0.25
201707,3.42,0.14
201708,6.02,1.65
201709,5.32,0.75
201710,5.23,0.84
201711,2.34,-1.05
201712,3.55,0.48
201801,2.44,-0.29
201802,2.08,-0.24
201803,2.03,-0.20
201804,2.08,0.19
201805,2.98,0.87
201806,3.01,0.67
201807,2.77,-0.51
201808,6.53,2.16
201809,2.57,-2.00
201810,4.92,0.53
201811,3.57,0.18
201812,2.92,-0.15
201901,2.50,-0.23
201902,2.20,-0.12
201903,2.53,0.30
201904,1.92,0.03
201905,2.37,0.26
201906,1.81,-0.53
201907,2.89,-0.39
201908,3.37,-1.00
201909,5.45,0.88
201910,4.82,0.43
201911,5.10,1.71
201912,3.04,-0.03
202001,1.89,-0.84
202002,3.01,0.69
202003,2.28,0.05
202004,2.73,0.84
202005,1.49,-0.62
202006,3.18,0.84
202007,3.39,0.11
202008,4.39,0.02
202009,4.07,-0.50
202010,3.39,-1.00
202011,3.99,0.60
202012,4.13,1.06
202101,3.14,0.41
202102,1.93,-0.39
202103,2.80,0.57
