#  Alaska Minimum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1925-2000
# Missing: -99
Date,Value,Anomaly
199701,-7.2,-2.4
199702,8.5,11.5
199703,-2.0,-3.8
199704,17.9,3.3
199705,31.6,2.3
199706,42.6,2.4
199707,46.7,2.5
199708,45.1,3.2
199709,37.4,3.8
199710,13.4,-5.9
199711,12.2,6.7
199712,-3.1,-0.2
199801,-5.8,-1.0
199802,3.2,6.2
199803,11.7,9.9
199804,22.9,8.3
199805,31.5,2.2
199806,41.7,1.5
199807,46.7,2.5
199808,41.2,-0.7
199809,35.0,1.4
199810,20.8,1.5
199811,9.4,3.9
199812,-2.8,0.1
199901,-11.0,-6.2
199902,-11.6,-8.6
199903,-0.1,-1.9
199904,15.0,0.4
199905,28.9,-0.4
199906,42.0,1.8
199907,45.1,0.9
199908,43.4,1.5
199909,34.6,1.0
199910,17.2,-2.1
199911,1.8,-3.7
199912,-9.6,-6.7
200001,-6.1,-1.3
200002,9.5,12.5
200003,9.7,7.9
200004,15.4,0.8
200005,27.0,-2.3
200006,41.6,1.4
200007,44.0,-0.2
200008,40.5,-1.4
200009,32.1,-1.5
200010,18.4,-0.9
200011,12.8,7.3
200012,8.7,11.6
200101,9.8,14.6
200102,7.0,10.0
200103,4.1,2.3
200104,17.0,2.4
200105,24.3,-5.0
200106,41.1,0.9
200107,45.1,0.9
200108,43.0,1.1
200109,34.7,1.1
200110,15.9,-3.4
200111,3.4,-2.1
200112,-6.3,-3.4
200201,3.0,7.8
200202,1.5,4.5
200203,5.9,4.1
200204,12.2,-2.4
200205,31.7,2.4
200206,40.6,0.4
200207,44.8,0.6
200208,41.0,-0.9
200209,36.1,2.5
200210,26.1,6.8
200211,19.0,13.5
200212,8.5,11.4
200301,3.3,8.1
200302,10.8,13.8
200303,1.9,0.1
200304,18.6,4.0
200305,30.0,0.7
200306,42.1,1.9
200307,45.0,0.8
200308,42.6,0.7
200309,31.0,-2.6
200310,25.7,6.4
200311,8.6,3.1
200312,-2.0,0.9
200401,-7.5,-2.7
200402,3.2,6.2
200403,1.3,-0.5
200404,20.4,5.8
200405,34.8,5.5
200406,45.3,5.1
200407,48.4,4.2
200408,45.6,3.7
200409,29.9,-3.7
200410,24.1,4.8
200411,11.1,5.6
200412,2.2,5.1
200501,-0.1,4.7
