#  Arizona Cooling Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,0,-1
199702,7,0
199703,75,51
199704,94,5
199705,421,180
199706,466,-15
199707,655,5
199708,653,60
199709,528,104
199710,146,-7
199711,23,6
199712,0,0
199801,0,-1
199802,0,-7
199803,16,-8
199804,42,-47
199805,183,-58
199806,407,-74
199807,698,48
199808,683,90
199809,483,59
199810,146,-7
199811,19,2
199812,0,0
199901,4,3
199902,12,5
199903,37,13
199904,47,-42
199905,255,14
199906,497,16
199907,605,-45
199908,621,28
199909,465,41
199910,247,94
199911,60,43
199912,0,0
200001,6,5
200002,14,7
200003,27,3
200004,167,78
200005,406,165
200006,575,94
200007,705,55
200008,640,47
200009,520,96
200010,128,-25
200011,0,-17
200012,0,0
200101,0,-1
200102,4,-3
200103,32,8
200104,95,6
200105,413,172
200106,576,95
200107,662,12
200108,642,49
200109,538,114
200110,229,76
200111,47,30
200112,0,0
200201,0,-1
200202,9,2
200203,22,-2
200204,167,78
200205,280,39
200206,607,126
200207,715,65
200208,656,63
200209,490,66
200210,135,-18
200211,32,15
200212,0,0
200301,14,13
200302,7,0
200303,24,0
200304,72,-17
200305,318,77
200306,529,48
200307,760,110
200308,668,75
200309,509,85
200310,315,162
200311,11,-6
200312,0,0
200401,0,-1
200402,0,-7
200403,116,92
200404,112,23
200405,333,92
200406,524,43
200407,666,16
200408,606,13
200409,437,13
200410,136,-17
200411,7,-10
200412,0,0
200501,4,3
200502,8,1
200503,19,-5
200504,96,7
200505,318,77
200506,508,27
200507,741,91
200508,601,8
200509,475,51
200510,198,45
200511,36,19
200512,0,0
200601,4,3
200602,12,5
200603,16,-8
200604,110,21
200605,372,131
200606,645,164
200607,739,89
200608,611,18
200609,380,-44
200610,154,1
200611,40,23
200612,0,0
200701,0,-1
200702,9,2
200703,67,43
200704,121,32
200705,336,95
200706,564,83
200707,709,59
200708,689,96
200709,487,63
200710,201,48
200711,66,49
200712,0,0
200801,0,-1
200802,6,-1
200803,39,15
200804,114,25
200805,211,-30
200806,588,107
200807,672,22
200808,635,42
200809,485,61
200810,205,52
200811,43,26
200812,0,0
200901,6,5
200902,9,2
200903,47,23
200904,95,6
200905,406,165
200906,459,-22
200907,760,110
200908,668,75
200909,496,72
200910,129,-24
200911,43,26
200912,0,0
201001,4,3
201002,7,0
201003,17,-7
201004,78,-11
201005,199,-42
201006,523,42
201007,722,72
201008,653,60
201009,531,107
201010,196,43
201011,12,-5
201012,0,0
201101,0,-1
201102,0,-7
201103,52,28
201104,135,46
201105,213,-28
201106,526,45
201107,691,41
201108,753,160
201109,521,97
201110,218,65
201111,15,-2
201112,0,0
201201,5,4
201202,8,1
201203,31,7
201204,144,55
201205,354,113
201206,600,119
201207,651,1
201208,686,93
201209,470,46
201210,216,63
201211,49,32
201212,0,0
201301,0,-1
201302,0,-7
201303,67,43
201304,131,42
201305,319,78
201306,623,142
201307,690,40
201308,638,45
201309,445,21
201310,120,-33
201311,32,15
201312,0,0
201401,8,7
201402,23,16
201403,63,39
201404,134,45
201405,310,69
201406,588,107
201407,698,48
201408,555,-38
201409,475,51
201410,235,82
201411,28,11
201412,0,0
201501,5,4
201502,32,25
201503,92,68
201504,114,25
201505,196,-45
201506,605,124
201507,637,-13
201508,711,118
201509,499,75
201510,228,75
201511,10,-7
201512,0,0
201601,0,-1
201602,32,25
201603,74,50
201604,121,32
201605,240,-1
201606,653,172
201607,749,99
201608,606,13
201609,415,-9
201610,285,132
201611,44,27
201612,0,0
201701,0,-1
201702,16,9
201703,93,69
201704,146,57
201705,286,45
201706,639,158
201707,700,50
201708,648,55
201709,436,12
201710,276,123
201711,94,77
201712,4,4
201801,13,12
201802,9,2
201803,44,20
201804,197,108
201805,328,87
201806,582,101
201807,718,68
201808,662,69
201809,549,125
201810,128,-25
201811,16,-1
201812,0,0
201901,0,-1
201902,0,-7
201903,32,8
201904,140,51
201905,156,-85
201906,523,42
201907,735,85
201908,731,138
201909,471,47
201910,153,0
201911,34,17
201912,0,0
202001,0,-1
202002,7,0
202003,25,1
202004,122,33
202005,402,161
202006,556,75
202007,771,121
202008,800,207
202009,544,120
202010,281,128
202011,49,32
202012,0,0
202101,0,-1
202102,10,3
202103,22,-2
202104,165,76
202105,313,72
202106,659,178
202107,666,16
202108,623,30
202109,485,61
202110,135,-18
202111,74,57
202112,0,0
202201,0,-1
202202,6,-1
202203,40,16
202204,148,59
202205,325,84
202206,619,138
202207,724,74
202208,621,28
202209,524,100
202210,175,22
202211,5,-12
202212,0,0
