#  Arizona Heating Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,473,-54
199702,368,-10
199703,159,-138
199704,130,-8
199705,10,-25
199706,3,0
199707,0,0
199708,0,0
199709,2,-2
199710,64,1
199711,232,-51
199712,564,60
199801,450,-77
199802,455,77
199803,308,11
199804,209,71
199805,46,11
199806,5,2
199807,0,0
199808,0,0
199809,2,-2
199810,60,-3
199811,246,-37
199812,474,-30
199901,413,-114
199902,296,-82
199903,219,-78
199904,194,56
199905,29,-6
199906,3,0
199907,0,0
199908,0,0
199909,4,0
199910,32,-31
199911,148,-135
199912,485,-19
200001,387,-140
200002,288,-90
200003,259,-38
200004,62,-76
200005,8,-27
200006,1,-2
200007,0,0
200008,0,0
200009,2,-2
200010,70,7
200011,440,157
200012,428,-76
200101,537,10
200102,406,28
200103,244,-53
200104,119,-19
200105,9,-26
200106,1,-2
200107,0,0
200108,0,0
200109,1,-3
200110,31,-32
200111,180,-103
200112,556,52
200201,488,-39
200202,326,-52
200203,275,-22
200204,60,-78
200205,21,-14
200206,0,-3
200207,0,0
200208,0,0
200209,3,-1
200210,68,5
200211,213,-70
200212,514,10
200301,300,-227
200302,355,-23
200303,268,-29
200304,149,11
200305,14,-21
200306,1,-2
200307,0,0
200308,0,0
200309,2,-2
200310,16,-47
200311,290,7
200312,462,-42
200401,450,-77
200402,442,64
200403,110,-187
200404,107,-31
200405,14,-21
200406,2,-1
200407,0,0
200408,0,0
200409,4,0
200410,67,4
200411,338,55
200412,475,-29
200501,418,-109
200502,344,-34
200503,289,-8
200504,119,-19
200505,15,-20
200506,3,0
200507,0,0
200508,0,0
200509,3,-1
200510,41,-22
200511,193,-90
200512,435,-69
200601,427,-100
200602,294,-84
200603,310,13
200604,100,-38
200605,10,-25
200606,0,-3
200607,0,0
200608,0,0
200609,7,3
200610,62,-1
200611,187,-96
200612,512,8
200701,573,46
200702,330,-48
200703,174,-123
200704,93,-45
200705,14,-21
200706,1,-2
200707,0,0
200708,0,0
200709,2,-2
200710,42,-21
200711,140,-143
200712,560,56
200801,525,-2
200802,373,-5
200803,228,-69
200804,103,-35
200805,40,5
200806,1,-2
200807,0,0
200808,0,0
200809,3,-1
200810,41,-22
200811,184,-99
200812,472,-32
200901,392,-135
200902,321,-57
200903,207,-90
200904,123,-15
200905,9,-26
200906,4,1
200907,0,0
200908,0,0
200909,2,-2
200910,72,9
200911,183,-100
200912,551,47
201001,450,-77
201002,370,-8
201003,302,5
201004,143,5
201005,44,9
201006,2,-1
201007,0,0
201008,0,0
201009,1,-3
201010,42,-21
201011,293,10
201012,358,-146
201101,496,-31
201102,459,81
201103,194,-103
201104,85,-53
201105,41,6
201106,2,-1
201107,0,0
201108,0,0
201109,2,-2
201110,39,-24
201111,272,-11
201112,562,58
201201,399,-128
201202,347,-31
201203,244,-53
201204,74,-64
201205,12,-23
201206,0,-3
201207,0,0
201208,0,0
201209,2,-2
201210,35,-28
201211,169,-114
201212,468,-36
201301,567,40
201302,440,62
201303,169,-128
201304,87,-51
201305,17,-18
201306,0,-3
201307,0,0
201308,0,0
201309,3,-1
201310,78,15
201311,214,-69
201312,488,-16
201401,364,-163
201402,247,-131
201403,181,-116
201404,87,-51
201405,19,-16
201406,1,-2
201407,0,0
201408,0,0
201409,1,-3
201410,29,-34
201411,218,-65
201412,431,-73
201501,410,-117
201502,212,-166
201503,138,-159
201504,102,-36
201505,46,11
201506,1,-2
201507,0,0
201508,0,0
201509,1,-3
201510,32,-31
201511,304,21
201512,532,28
201601,502,-25
201602,222,-156
201603,160,-137
201604,98,-40
201605,33,-2
201606,0,-3
201607,0,0
201608,0,0
201609,4,0
201610,19,-44
201611,183,-100
201612,403,-101
201701,487,-40
201702,273,-105
201703,131,-166
201704,77,-61
201705,25,-10
201706,0,-3
201707,0,0
201708,0,0
201709,3,-1
201710,23,-40
201711,102,-181
201712,352,-152
201801,318,-209
201802,324,-54
201803,213,-84
201804,50,-88
201805,13,-22
201806,0,-3
201807,0,0
201808,0,0
201809,1,-3
201810,71,8
201811,269,-14
201812,474,-30
201901,472,-55
201902,486,108
201903,240,-57
201904,80,-58
201905,65,30
201906,2,-1
201907,0,0
201908,0,0
201909,2,-2
201910,62,-1
201911,202,-81
201912,476,-28
202001,449,-78
202002,357,-21
202003,261,-36
202004,92,-46
202005,9,-26
202006,1,-2
202007,0,0
202008,0,0
202009,1,-3
202010,19,-44
202011,170,-113
202012,475,-29
202101,460,-67
202102,320,-58
202103,280,-17
202104,66,-72
202105,15,-20
202106,0,-3
202107,0,0
202108,0,0
202109,1,-3
202110,67,4
202111,133,-150
202112,381,-123
202201,447,-80
202202,387,9
202203,229,-68
202204,74,-64
202205,13,-22
202206,1,-2
202207,0,0
202208,0,0
202209,1,-3
202210,53,-10
202211,364,81
202212,492,-12
