#  Arizona Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,-3.09,-3.11
199702,-2.91,-3.02
199703,-3.52,-3.66
199704,-3.35,-3.53
199705,-3.55,-3.76
199706,-3.68,-3.95
199707,-4.22,-4.57
199708,0.01,-0.25
199709,0.70,0.48
199710,0.48,0.39
199711,0.15,0.04
199712,0.61,0.56
199801,0.12,0.10
199802,1.54,1.43
199803,2.05,1.91
199804,2.35,2.17
199805,2.93,2.72
199806,3.43,3.16
199807,3.94,3.59
199808,-0.40,-0.66
199809,0.16,-0.06
199810,0.45,0.36
199811,0.41,0.30
199812,-0.56,-0.61
199901,-1.46,-1.48
199902,-2.16,-2.27
199903,-2.98,-3.12
199904,-2.37,-2.55
199905,-2.89,-3.10
199906,-3.19,-3.46
199907,1.36,1.01
199908,1.53,1.27
199909,1.84,1.62
199910,-0.90,-0.99
199911,-1.73,-1.84
199912,-2.32,-2.37
200001,-2.97,-2.99
200002,-3.41,-3.52
200003,-2.97,-3.11
200004,-3.54,-3.72
200005,-4.35,-4.56
200006,-4.31,-4.58
200007,-5.15,-5.50
200008,-4.49,-4.75
200009,-5.01,-5.23
200010,2.19,2.10
200011,2.23,2.12
200012,1.36,1.31
200101,1.67,1.65
200102,1.55,1.44
200103,1.33,1.19
200104,1.62,1.44
200105,1.56,1.35
200106,-0.21,-0.48
200107,-0.50,-0.85
200108,-0.61,-0.87
200109,-1.39,-1.61
200110,-1.81,-1.90
200111,-2.22,-2.33
200112,-2.21,-2.26
200201,-2.69,-2.71
200202,-3.27,-3.38
200203,-3.76,-3.90
200204,-4.54,-4.72
200205,-5.05,-5.26
200206,-5.61,-5.88
200207,-5.67,-6.02
200208,-6.20,-6.46
200209,-5.07,-5.29
200210,-4.68,-4.77
200211,-4.45,-4.56
200212,-4.21,-4.26
200301,-4.69,-4.71
200302,-3.51,-3.62
200303,-3.18,-3.32
200304,-2.90,-3.08
200305,-3.22,-3.43
200306,-3.58,-3.85
200307,-3.93,-4.28
200308,-3.88,-4.14
200309,-3.70,-3.92
200310,-4.02,-4.11
200311,-3.36,-3.47
200312,-3.45,-3.50
200401,-3.48,-3.50
200402,-3.12,-3.23
200403,-3.55,-3.69
200404,-3.13,-3.31
200405,-3.67,-3.88
200406,-4.07,-4.34
200407,-4.31,-4.66
200408,-4.37,-4.63
200409,0.32,0.10
200410,1.18,1.09
200411,1.84,1.73
200412,1.99,1.94
200501,2.93,2.91
200502,4.34,4.23
200503,3.95,3.81
200504,4.17,3.99
200505,5.10,4.89
200506,5.44,5.17
200507,-0.49,-0.84
200508,-0.17,-0.43
200509,-0.87,-1.09
200510,-0.85,-0.94
200511,-1.52,-1.63
200512,-2.19,-2.24
200601,-2.87,-2.89
200602,-3.64,-3.75
200603,-3.25,-3.39
200604,-3.55,-3.73
200605,-4.28,-4.49
200606,-4.65,-4.92
200607,-3.77,-4.12
200608,-3.49,-3.75
200609,-2.86,-3.08
200610,-2.32,-2.41
200611,-2.84,-2.95
200612,-3.10,-3.15
200701,-3.03,-3.05
200702,-3.24,-3.35
200703,-3.50,-3.64
200704,-4.07,-4.25
200705,-4.48,-4.69
200706,-4.94,-5.21
200707,-4.21,-4.56
200708,-4.11,-4.37
200709,-3.95,-4.17
200710,-4.24,-4.33
200711,-4.28,-4.39
200712,-3.12,-3.17
200801,-2.07,-2.09
200802,-1.64,-1.75
200803,-2.09,-2.23
200804,-2.29,-2.47
200805,-1.63,-1.84
200806,-1.29,-1.56
200807,-0.74,-1.09
200808,-0.60,-0.86
200809,-1.09,-1.31
200810,-1.59,-1.68
200811,-1.58,-1.69
200812,-1.02,-1.07
200901,-1.42,-1.44
200902,-1.41,-1.52
200903,-1.98,-2.12
200904,-2.37,-2.55
200905,-2.44,-2.65
200906,-2.58,-2.85
200907,-3.11,-3.46
200908,-4.06,-4.32
200909,-4.16,-4.38
200910,-4.30,-4.39
200911,-4.56,-4.67
200912,0.06,0.01
201001,1.59,1.57
201002,1.88,1.77
201003,1.81,1.67
201004,1.80,1.62
201005,2.02,1.81
201006,2.32,2.05
201007,2.29,1.94
201008,-0.27,-0.53
201009,-0.89,-1.11
201010,-0.52,-0.61
201011,-0.92,-1.03
201012,-0.73,-0.78
201101,-1.39,-1.41
201102,-1.25,-1.36
201103,-1.80,-1.94
201104,-2.30,-2.48
