#  Arizona Palmer Hydrological Drought Index (PHDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,-3.09,-3.31
199702,-2.91,-3.17
199703,-3.52,-3.76
199704,-3.35,-3.65
199705,-3.55,-3.86
199706,-3.68,-3.97
199707,-4.22,-4.57
199708,-3.78,-4.13
199709,-2.70,-3.07
199710,-2.57,-2.93
199711,-2.58,-2.85
199712,-1.84,-2.08
199801,-2.07,-2.29
199802,1.54,1.28
199803,2.05,1.81
199804,2.35,2.05
199805,2.93,2.62
199806,3.43,3.14
199807,3.94,3.59
199808,3.13,2.78
199809,2.97,2.60
199810,2.97,2.61
199811,2.67,2.40
199812,1.83,1.59
199901,0.69,0.47
199902,-2.16,-2.42
199903,-2.98,-3.22
199904,-2.37,-2.67
199905,-2.89,-3.20
199906,-3.19,-3.48
199907,-1.50,-1.85
199908,-1.04,-1.39
199909,1.84,1.47
199910,0.76,0.40
199911,-1.73,-2.00
199912,-2.32,-2.56
200001,-2.97,-3.19
200002,-3.41,-3.67
200003,-2.97,-3.21
200004,-3.54,-3.84
200005,-4.35,-4.66
200006,-4.31,-4.60
200007,-5.15,-5.50
200008,-4.49,-4.84
200009,-5.01,-5.38
200010,-2.31,-2.67
200011,-1.80,-2.07
200012,-2.25,-2.49
200101,-1.57,-1.79
200102,-1.36,-1.62
200103,-1.28,-1.52
200104,-0.73,-1.03
200105,1.56,1.25
200106,1.19,0.90
200107,0.75,0.40
200108,-0.61,-0.96
200109,-1.39,-1.76
200110,-1.81,-2.17
200111,-2.22,-2.49
200112,-2.21,-2.45
200201,-2.69,-2.91
200202,-3.27,-3.53
200203,-3.76,-4.00
200204,-4.54,-4.84
200205,-5.05,-5.36
200206,-5.61,-5.90
200207,-5.67,-6.02
200208,-6.20,-6.55
200209,-5.07,-5.44
200210,-4.68,-5.04
200211,-4.45,-4.72
200212,-4.21,-4.45
200301,-4.69,-4.91
200302,-3.51,-3.77
200303,-3.18,-3.42
200304,-2.90,-3.20
200305,-3.22,-3.53
200306,-3.58,-3.87
200307,-3.93,-4.28
200308,-3.88,-4.23
200309,-3.70,-4.07
200310,-4.02,-4.38
200311,-3.36,-3.63
200312,-3.45,-3.69
200401,-3.48,-3.70
200402,-3.12,-3.38
200403,-3.55,-3.79
200404,-3.13,-3.43
200405,-3.67,-3.98
200406,-4.07,-4.36
200407,-4.31,-4.66
200408,-4.37,-4.72
200409,-3.60,-3.97
200410,-2.34,-2.70
200411,-1.32,-1.59
200412,-0.84,-1.08
200501,2.93,2.71
200502,4.34,4.08
200503,3.95,3.71
200504,4.17,3.87
200505,5.10,4.79
200506,5.44,5.15
200507,4.39,4.04
200508,4.20,3.85
200509,3.06,2.69
200510,2.67,2.31
200511,1.64,1.37
200512,0.64,0.40
200601,-2.87,-3.09
200602,-3.64,-3.90
200603,-3.25,-3.49
200604,-3.55,-3.85
200605,-4.28,-4.59
200606,-4.65,-4.94
200607,-3.77,-4.12
200608,-3.49,-3.84
200609,-2.86,-3.23
200610,-2.32,-2.68
200611,-2.84,-3.11
200612,-3.10,-3.34
200701,-3.03,-3.25
200702,-3.24,-3.50
200703,-3.50,-3.74
200704,-4.07,-4.37
200705,-4.48,-4.79
200706,-4.94,-5.23
200707,-4.21,-4.56
200708,-4.11,-4.46
200709,-3.95,-4.32
200710,-4.24,-4.60
200711,-4.28,-4.55
200712,-3.12,-3.36
200801,-2.07,-2.29
200802,-1.64,-1.90
200803,-2.09,-2.33
200804,-2.29,-2.59
200805,-1.63,-1.94
200806,-1.29,-1.58
200807,-0.74,-1.09
200808,-0.60,-0.95
200809,-1.09,-1.46
200810,-1.59,-1.95
200811,-1.58,-1.85
200812,-1.02,-1.26
200901,-1.42,-1.64
200902,-1.41,-1.67
200903,-1.98,-2.22
200904,-2.37,-2.67
200905,-2.44,-2.75
200906,-2.58,-2.87
200907,-3.11,-3.46
200908,-4.06,-4.41
200909,-4.16,-4.53
200910,-4.30,-4.66
200911,-4.56,-4.83
200912,-4.03,-4.27
201001,-2.08,-2.30
201002,-1.42,-1.68
201003,-1.14,-1.38
201004,-0.85,-1.15
201005,2.02,1.71
201006,2.32,2.03
201007,2.29,1.94
201008,1.78,1.43
201009,0.95,0.58
201010,1.14,0.78
201011,0.56,0.29
201012,0.60,0.36
201101,-1.39,-1.61
201102,-1.25,-1.51
201103,-1.80,-2.04
201104,-2.30,-2.60
201105,-2.54,-2.85
201106,-3.09,-3.38
201107,-2.91,-3.26
201108,-3.48,-3.83
201109,-3.15,-3.52
201110,-3.11,-3.47
201111,-2.74,-3.01
201112,-2.20,-2.44
201201,-2.68,-2.90
201202,-2.94,-3.20
