#  Arizona Palmer Modified Drought Index (PMDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,-2.59,-2.72
199702,-2.51,-2.74
199703,-3.52,-3.75
199704,-3.35,-3.64
199705,-3.55,-3.83
199706,-3.68,-3.97
199707,-4.22,-4.67
199708,-3.71,-4.09
199709,-1.78,-2.14
199710,-1.78,-2.05
199711,-2.06,-2.27
199712,-0.78,-0.93
199801,-1.44,-1.57
199802,1.54,1.31
199803,2.05,1.82
199804,2.35,2.06
199805,2.93,2.65
199806,3.43,3.14
199807,3.94,3.49
199808,2.61,2.23
199809,2.58,2.22
199810,2.88,2.61
199811,2.52,2.31
199812,0.96,0.81
199901,-1.30,-1.43
199902,-2.16,-2.39
199903,-2.98,-3.21
199904,-1.93,-2.22
199905,-2.89,-3.17
199906,-3.19,-3.48
199907,0.20,-0.25
199908,0.97,0.59
199909,1.84,1.48
199910,-0.60,-0.87
199911,-1.73,-1.94
199912,-2.32,-2.47
200001,-2.97,-3.10
200002,-3.41,-3.64
200003,-2.81,-3.04
200004,-3.54,-3.83
200005,-4.35,-4.63
200006,-4.31,-4.60
200007,-5.15,-5.60
200008,-4.29,-4.67
200009,-5.01,-5.37
200010,0.21,-0.06
200011,0.91,0.70
200012,-0.32,-0.47
200101,0.73,0.60
200102,0.85,0.62
200103,0.75,0.52
200104,1.49,1.20
200105,1.56,1.28
200106,0.78,0.49
200107,-0.19,-0.64
200108,-0.61,-0.99
200109,-1.39,-1.75
200110,-1.81,-2.08
200111,-2.22,-2.43
200112,-2.21,-2.36
200201,-2.69,-2.82
200202,-3.27,-3.50
200203,-3.76,-3.99
200204,-4.54,-4.83
200205,-5.05,-5.33
200206,-5.61,-5.90
200207,-5.67,-6.12
200208,-6.20,-6.58
200209,-4.47,-4.83
200210,-4.19,-4.46
200211,-4.18,-4.39
200212,-4.11,-4.26
200301,-4.69,-4.82
200302,-2.67,-2.90
200303,-2.34,-2.57
200304,-2.08,-2.37
200305,-3.00,-3.28
200306,-3.58,-3.87
200307,-3.93,-4.38
200308,-3.88,-4.26
200309,-3.70,-4.06
200310,-4.02,-4.29
200311,-3.01,-3.22
200312,-3.45,-3.60
200401,-3.48,-3.61
200402,-3.07,-3.30
200403,-3.55,-3.78
200404,-3.00,-3.29
200405,-3.67,-3.95
200406,-4.07,-4.36
200407,-4.31,-4.76
200408,-4.37,-4.75
200409,-3.17,-3.53
200410,-0.85,-1.12
200411,1.00,0.79
200412,1.70,1.55
200501,2.93,2.80
200502,4.34,4.11
200503,3.95,3.72
200504,4.17,3.88
200505,5.10,4.82
200506,5.44,5.15
200507,3.80,3.35
200508,3.85,3.47
200509,1.88,1.52
200510,1.39,1.12
200511,-0.41,-0.62
200512,-2.10,-2.25
200601,-2.87,-3.00
200602,-3.64,-3.87
200603,-3.18,-3.41
200604,-3.55,-3.84
200605,-4.28,-4.56
200606,-4.65,-4.94
200607,-3.26,-3.71
200608,-3.05,-3.43
200609,-2.07,-2.43
200610,-1.22,-1.49
200611,-2.51,-2.72
200612,-3.10,-3.25
200701,-3.03,-3.16
200702,-3.24,-3.47
200703,-3.50,-3.73
200704,-4.07,-4.36
200705,-4.48,-4.76
200706,-4.94,-5.23
200707,-3.91,-4.36
200708,-4.11,-4.49
200709,-3.95,-4.31
200710,-4.24,-4.51
200711,-4.28,-4.49
200712,-2.24,-2.39
200801,-0.34,-0.47
200802,0.30,0.07
200803,-0.85,-1.08
200804,-1.45,-1.74
200805,-0.38,-0.66
200806,0.06,-0.23
200807,0.90,0.45
200808,0.97,0.59
200809,-0.01,-0.37
200810,-0.77,-1.04
200811,-0.81,-1.02
200812,0.05,-0.10
200901,-0.67,-0.80
200902,-0.70,-0.93
200903,-1.71,-1.94
200904,-2.37,-2.66
200905,-2.44,-2.72
200906,-2.58,-2.87
200907,-3.11,-3.56
200908,-4.06,-4.44
200909,-4.16,-4.52
200910,-4.30,-4.57
200911,-4.56,-4.77
200912,-3.91,-4.06
201001,-0.16,-0.29
201002,0.94,0.71
201003,1.22,0.99
201004,1.52,1.23
201005,2.02,1.74
201006,2.32,2.03
201007,2.29,1.84
201008,1.36,0.98
201009,-0.37,-0.73
201010,0.19,-0.08
201011,-0.91,-1.12
201012,-0.67,-0.82
201101,-1.39,-1.52
201102,-1.17,-1.40
201103,-1.80,-2.03
201104,-2.30,-2.59
201105,-2.54,-2.82
201106,-3.09,-3.38
201107,-2.91,-3.36
201108,-3.48,-3.86
201109,-3.12,-3.48
201110,-3.11,-3.38
201111,-2.62,-2.83
201112,-1.70,-1.85
201201,-2.68,-2.81
201202,-2.94,-3.17
201203,-3.11,-3.34
201204,-3.67,-3.96
201205,-4.24,-4.52
201206,-4.75,-5.04
201207,-3.13,-3.58
201208,-2.82,-3.20
201209,-2.82,-3.18
201210,-3.60,-3.87
201211,-3.93,-4.14
201212,-3.20,-3.35
201301,-2.35,-2.48
201302,-2.56,-2.79
201303,-3.10,-3.33
201304,-3.48,-3.77
201305,-3.71,-3.99
201306,-4.09,-4.38
201307,-2.22,-2.67
201308,-1.56,-1.94
201309,-0.12,-0.48
201310,-0.98,-1.25
201311,0.59,0.38
201312,-0.17,-0.32
201401,-1.74,-1.87
201402,-3.06,-3.29
201403,-3.40,-3.63
201404,-3.97,-4.26
201405,-4.49,-4.77
201406,-5.06,-5.35
201407,-4.65,-5.10
201408,-2.33,-2.71
201409,0.12,-0.24
201410,-0.64,-0.91
201411,-1.78,-1.99
201412,-1.35,-1.50
201501,-0.50,-0.63
201502,-1.44,-1.67
201503,-1.93,-2.16
201504,-2.67,-2.96
201505,-1.78,-2.06
201506,-1.24,-1.53
201507,-0.75,-1.20
201508,-0.86,-1.24
201509,-0.65,-1.01
201510,0.84,0.57
