#  Arizona Palmer Z-Index
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,1.15,1.04
199702,-0.40,-0.56
199703,-2.73,-2.80
199704,-0.59,-0.73
199705,-1.63,-1.81
199706,-1.48,-1.68
199707,-2.75,-3.06
199708,0.02,0.01
199709,2.07,2.10
199710,-0.44,-0.40
199711,-0.83,-0.83
199712,1.41,1.40
199801,-1.26,-1.37
199802,4.30,4.14
199803,2.00,1.93
199804,1.54,1.40
199805,2.47,2.29
199806,2.40,2.20
199807,2.59,2.28
199808,-1.21,-1.22
199809,0.48,0.51
199810,0.93,0.97
199811,0.01,0.01
199812,-1.69,-1.70
199901,-2.86,-2.97
199902,-2.57,-2.73
199903,-3.13,-3.20
199904,0.92,0.78
199905,-2.31,-2.49
199906,-1.79,-1.99
199907,4.08,3.77
199908,0.92,0.91
199909,1.42,1.45
199910,-2.69,-2.65
199911,-2.79,-2.79
199912,-2.30,-2.31
200001,-2.65,-2.76
200002,-2.23,-2.39
200003,0.26,0.19
200004,-2.62,-2.76
200005,-3.55,-3.73
200006,-1.21,-1.41
200007,-3.85,-4.16
200008,0.39,0.38
200009,-2.95,-2.92
200010,6.57,6.61
200011,0.81,0.81
200012,-1.92,-1.93
200101,1.36,1.25
200102,0.15,-0.01
200103,-0.19,-0.26
200104,1.27,1.13
200105,0.34,0.16
200106,-0.64,-0.84
200107,-0.94,-1.25
200108,-0.47,-0.48
200109,-2.53,-2.50
200110,-1.69,-1.65
200111,-1.79,-1.79
200112,-0.65,-0.66
200201,-2.12,-2.23
200202,-2.58,-2.74
200203,-2.48,-2.55
200204,-3.50,-3.64
200205,-2.94,-3.12
200206,-3.25,-3.45
200207,-1.91,-2.22
200208,-3.35,-3.36
200209,1.49,1.52
200210,-0.42,-0.38
200211,-0.75,-0.75
200212,-0.65,-0.66
200301,-2.73,-2.84
200302,2.07,1.91
200303,-0.09,-0.16
200304,-0.15,-0.29
200305,-1.84,-2.02
200306,-2.08,-2.28
200307,-2.15,-2.46
200308,-1.06,-1.07
200309,-0.66,-0.63
200310,-2.11,-2.07
200311,0.75,0.75
200312,-1.32,-1.33
200401,-1.13,-1.24
200402,-0.02,-0.18
200403,-2.25,-2.32
200404,0.18,0.04
200405,-2.60,-2.78
200406,-2.33,-2.53
200407,-1.96,-2.27
200408,-1.54,-1.55
200409,0.97,1.00
200410,2.67,2.71
200411,2.33,2.33
200412,1.03,1.02
200501,3.42,3.31
200502,5.16,5.00
200503,0.17,0.10
200504,1.87,1.73
200505,4.09,3.91
200506,2.59,2.39
200507,-1.46,-1.77
200508,0.79,0.78
200509,-2.13,-2.10
200510,-0.22,-0.18
200511,-2.27,-2.27
200512,-2.48,-2.49
200601,-2.72,-2.83
200602,-3.20,-3.36
200603,0.03,-0.04
200604,-1.88,-2.02
200605,-3.29,-3.47
200606,-2.45,-2.65
200607,1.20,0.89
200608,-0.33,-0.34
200609,0.82,0.85
200610,0.74,0.78
200611,-2.28,-2.28
200612,-1.65,-1.66
200701,-0.77,-0.88
200702,-1.57,-1.73
200703,-1.77,-1.84
200704,-2.79,-2.93
200705,-2.49,-2.67
200706,-2.78,-2.98
200707,0.66,0.35
200708,-0.99,-1.00
200709,-0.80,-0.77
200710,-2.08,-2.04
200711,-1.45,-1.45
200712,2.15,2.14
200801,2.18,2.07
200802,0.68,0.52
200803,-1.88,-1.95
200804,-1.23,-1.37
200805,1.27,1.09
200806,0.50,0.30
200807,1.25,0.94
200808,0.19,0.18
200809,-1.66,-1.63
200810,-1.82,-1.78
200811,-0.47,-0.47
200812,1.19,1.18
200901,-1.53,-1.64
200902,-0.41,-0.57
200903,-2.15,-2.22
200904,-1.78,-1.92
200905,-0.93,-1.11
200906,-1.18,-1.38
200907,-2.38,-2.69
200908,-3.81,-3.82
200909,-1.58,-1.55
200910,-1.70,-1.66
200911,-2.11,-2.11
200912,0.18,0.17
201001,4.60,4.49
201002,1.36,1.20
201003,0.38,0.31
201004,0.53,0.39
201005,1.23,1.05
201006,1.52,1.32
201007,0.63,0.32
201008,-0.81,-0.82
201009,-1.94,-1.91
201010,0.85,0.89
201011,-1.39,-1.39
201012,0.31,0.30
201101,-2.21,-2.32
201102,-0.01,-0.17
201103,-2.05,-2.12
201104,-2.04,-2.18
201105,-1.45,-1.63
201106,-2.42,-2.62
201107,-0.43,-0.74
201108,-2.61,-2.62
201109,-0.08,-0.05
201110,-0.85,-0.81
201111,0.14,0.14
201112,0.78,0.77
201201,-2.11,-2.22
201202,-1.63,-1.79
201203,-1.40,-1.47
201204,-2.65,-2.79
201205,-2.86,-3.04
201206,-2.82,-3.02
201207,1.51,1.20
201208,-0.18,-0.19
201209,-0.57,-0.54
201210,-2.02,-1.98
201211,-2.11,-2.11
201212,0.37,0.36
201301,0.62,0.51
201302,-0.78,-0.94
201303,-1.74,-1.81
201304,-2.09,-2.23
201305,-1.75,-1.93
201306,-2.29,-2.49
201307,1.94,1.63
201308,0.43,0.42
201309,1.66,1.69
201310,-1.48,-1.44
201311,2.04,2.04
201312,-1.24,-1.25
201401,-2.84,-2.95
201402,-3.10,-3.26
201403,-1.97,-2.04
201404,-2.74,-2.88
201405,-2.78,-2.96
201406,-3.12,-3.32
201407,-0.33,-0.64
201408,2.50,2.49
201409,2.95,2.98
201410,-1.30,-1.26
201411,-2.02,-2.02
201412,0.20,0.19
201501,0.95,0.84
201502,-1.77,-1.93
201503,-1.33,-1.40
201504,-1.53,-1.67
201505,0.74,0.56
201506,0.34,0.14
201507,0.35,0.04
201508,-0.41,-0.42
201509,0.03,0.06
201510,1.91,1.95
201511,-0.08,-0.08
201512,-1.13,-1.14
201601,0.34,0.23
201602,-2.51,-2.67
201603,-3.34,-3.41
201604,-1.19,-1.33
201605,-1.17,-1.35
201606,-1.84,-2.04
201607,-1.68,-1.99
201608,1.03,1.02
201609,0.42,0.45
201610,-2.09,-2.05
201611,-0.33,-0.33
201612,1.41,1.40
201701,2.00,1.89
201702,0.17,0.01
201703,-2.15,-2.22
201704,-1.48,-1.62
201705,0.04,-0.14
201706,-1.04,-1.24
201707,2.46,2.15
201708,-1.99,-2.00
201709,-1.55,-1.52
201710,-2.74,-2.70
201711,-3.16,-3.16
201712,-2.62,-2.63
201801,-2.36,-2.47
201802,-0.94,-1.10
201803,-2.18,-2.25
201804,-4.01,-4.15
201805,-2.84,-3.02
201806,-2.37,-2.57
201807,1.46,1.15
201808,-0.64,-0.65
201809,-1.54,-1.51
201810,4.53,4.57
201811,-1.20,-1.20
201812,-1.10,-1.11
201901,0.48,0.37
201902,3.67,3.51
201903,0.25,0.18
201904,-0.11,-0.25
201905,1.96,1.78
201906,0.88,0.68
201907,-2.53,-2.84
201908,-3.46,-3.47
201909,0.97,1.00
201910,-2.09,-2.05
201911,4.44,4.44
201912,1.23,1.22
202001,-1.08,-1.19
202002,0.21,0.05
202003,2.52,2.45
202004,0.47,0.33
202005,1.24,1.06
202006,-0.44,-0.64
202007,-3.23,-3.54
202008,-4.46,-4.47
202009,-3.25,-3.22
202010,-2.62,-2.58
