#  Arkansas Cooling Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,0,-1
199702,1,0
199703,23,8
199704,5,-26
199705,88,-54
199706,268,-65
199707,493,30
199708,379,-57
199709,246,5
199710,36,-14
199711,0,-2
199712,0,0
199801,1,0
199802,1,0
199803,7,-8
199804,21,-10
199805,238,96
199806,430,97
199807,579,116
199808,485,49
199809,380,139
199810,70,20
199811,5,3
199812,0,0
199901,1,0
199902,6,5
199903,6,-9
199904,53,22
199905,126,-16
199906,327,-6
199907,505,42
199908,494,58
199909,215,-26
199910,47,-3
199911,11,9
199912,0,0
200001,0,-1
200002,5,4
200003,23,8
200004,17,-14
200005,185,43
200006,285,-48
200007,453,-10
200008,576,140
200009,265,24
200010,71,21
200011,0,-2
200012,0,0
200101,0,-1
200102,1,0
200103,4,-11
200104,82,51
200105,165,23
200106,306,-27
200107,518,55
200108,482,46
200109,189,-52
200110,24,-26
200111,9,7
200112,0,0
200201,1,0
200202,0,-1
200203,4,-11
200204,56,25
200205,104,-38
200206,336,3
200207,469,6
200208,450,14
200209,298,57
200210,31,-19
200211,0,-2
200212,0,0
200301,0,-1
200302,0,-1
200303,12,-3
200304,36,5
200305,157,15
200306,231,-102
200307,455,-8
200308,481,45
200309,172,-69
200310,57,7
200311,7,5
200312,0,0
200401,0,-1
200402,0,-1
200403,29,14
200404,27,-4
200405,184,42
200406,308,-25
200407,383,-80
200408,315,-121
200409,240,-1
200410,95,45
200411,6,4
200412,0,0
200501,2,1
200502,3,2
200503,10,-5
200504,28,-3
200505,112,-30
200506,363,30
200507,461,-2
200508,522,86
200509,351,110
200510,44,-6
200511,6,4
200512,0,0
200601,8,7
200602,0,-1
200603,18,3
200604,98,67
200605,166,24
200606,326,-7
200607,499,36
200608,522,86
200609,160,-81
200610,29,-21
200611,1,-1
200612,0,0
200701,0,-1
200702,0,-1
200703,57,42
200704,9,-22
200705,190,48
200706,347,14
200707,383,-80
200708,574,138
200709,270,29
200710,70,20
200711,1,-1
200712,0,0
200801,0,-1
200802,0,-1
200803,13,-2
200804,16,-15
200805,125,-17
200806,362,29
200807,466,3
200808,383,-53
200809,193,-48
200810,29,-21
200811,0,-2
200812,0,0
200901,0,-1
200902,1,0
200903,16,1
200904,20,-11
200905,113,-29
200906,398,65
200907,382,-81
200908,349,-87
200909,195,-46
200910,11,-39
200911,7,5
200912,0,0
201001,0,-1
201002,0,-1
201003,10,-5
201004,54,23
201005,193,51
201006,480,147
201007,514,51
201008,577,141
201009,282,41
201010,56,6
201011,1,-1
201012,0,0
201101,0,-1
201102,0,-1
201103,15,0
201104,54,23
201105,108,-34
201106,487,154
201107,609,146
201108,548,112
201109,170,-71
201110,33,-17
201111,5,3
201112,0,0
201201,1,0
201202,1,0
201203,86,71
201204,67,36
201205,251,109
201206,384,51
201207,600,137
201208,468,32
201209,256,15
201210,24,-26
201211,0,-2
201212,1,1
201301,0,-1
201302,0,-1
201303,3,-12
201304,14,-17
201305,109,-33
201306,351,18
201307,398,-65
201308,403,-33
201309,303,62
201310,41,-9
201311,0,-2
201312,0,0
201401,0,-1
201402,0,-1
201403,1,-14
201404,20,-11
201405,127,-15
201406,335,2
201407,314,-149
201408,417,-19
201409,230,-11
201410,67,17
201411,0,-2
201412,0,0
201501,0,-1
201502,0,-1
201503,9,-6
201504,42,11
201505,149,7
201506,382,49
201507,514,51
201508,393,-43
201509,290,49
201510,65,15
201511,6,4
201512,6,6
201601,0,-1
201602,1,0
201603,26,11
201604,43,12
201605,105,-37
201606,407,74
201607,517,54
201608,450,14
201609,312,71
201610,119,69
201611,11,9
201612,0,0
201701,2,1
201702,13,12
201703,28,13
201704,62,31
201705,118,-24
201706,304,-29
201707,474,11
201708,357,-79
201709,249,8
201710,57,7
201711,6,4
201712,0,0
201801,0,-1
201802,1,0
201803,19,4
201804,3,-28
201805,301,159
201806,443,110
201807,512,49
201808,414,-22
201809,292,51
201810,52,2
201811,0,-2
201812,0,0
201901,0,-1
201902,1,0
201903,6,-9
201904,28,-3
201905,176,34
201906,307,-26
201907,423,-40
201908,462,26
201909,428,187
201910,34,-16
201911,0,-2
201912,1,1
202001,1,0
202002,0,-1
202003,32,17
202004,15,-16
202005,100,-42
202006,332,-1
202007,496,33
202008,388,-48
202009,209,-32
202010,24,-26
202011,7,5
202012,0,0
202101,0,-1
202102,0,-1
202103,25,10
202104,13,-18
202105,99,-43
202106,345,12
202107,432,-31
202108,478,42
202109,285,44
202110,91,41
202111,0,-2
202112,16,16
202201,0,-1
202202,0,-1
202203,14,-1
202204,21,-10
202205,185,43
202206,379,46
202207,590,127
202208,441,5
202209,266,25
202210,41,-9
202211,0,-2
202212,0,0
