#  Arkansas Precipitation
# Units: Inches
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,2.93,-1.11
199702,6.02,2.29
199703,6.15,1.38
199704,7.72,2.68
199705,3.92,-1.23
199706,5.07,0.99
199707,1.99,-1.72
199708,3.17,-0.21
199709,2.90,-0.69
199710,4.52,1.06
199711,3.47,-0.82
199712,4.07,-0.30
199801,6.33,2.29
199802,4.77,1.04
199803,5.79,1.02
199804,3.23,-1.81
199805,3.41,-1.74
199806,2.00,-2.08
199807,3.47,-0.24
199808,3.24,-0.14
199809,4.24,0.65
199810,5.11,1.65
199811,3.01,-1.28
199812,4.57,0.20
199901,6.89,2.85
199902,1.33,-2.40
199903,5.33,0.56
199904,5.59,0.55
199905,4.62,-0.53
199906,5.35,1.27
199907,1.79,-1.92
199908,1.20,-2.18
199909,1.77,-1.82
199910,3.12,-0.34
199911,1.85,-2.44
199912,4.96,0.59
200001,2.32,-1.72
200002,2.66,-1.07
200003,4.24,-0.53
200004,3.61,-1.43
200005,6.69,1.54
200006,6.93,2.85
200007,1.54,-2.17
200008,0.43,-2.95
200009,2.95,-0.64
200010,1.76,-1.70
200011,8.97,4.68
200012,3.60,-0.77
200101,3.48,-0.56
200102,8.07,4.34
200103,3.78,-0.99
200104,2.34,-2.70
200105,5.64,0.49
200106,3.15,-0.93
200107,2.58,-1.13
200108,2.84,-0.54
200109,3.65,0.06
200110,5.82,2.36
200111,5.78,1.49
200112,8.28,3.91
200201,4.01,-0.03
200202,2.73,-1.00
200203,9.50,4.73
200204,3.33,-1.71
200205,6.16,1.01
200206,2.57,-1.51
200207,4.13,0.42
200208,3.36,-0.02
200209,2.98,-0.61
200210,4.35,0.89
200211,2.17,-2.12
200212,7.54,3.17
200301,0.67,-3.37
200302,6.05,2.32
200303,2.01,-2.76
200304,2.60,-2.44
200305,6.87,1.72
200306,5.75,1.67
200307,3.56,-0.15
200308,2.93,-0.45
200309,3.60,0.01
200310,2.43,-1.03
200311,5.26,0.97
200312,3.11,-1.26
200401,3.26,-0.78
200402,4.10,0.37
200403,4.48,-0.29
200404,6.28,1.24
200405,5.00,-0.15
200406,5.81,1.73
200407,4.71,1.00
200408,2.76,-0.62
200409,0.40,-3.19
200410,8.17,4.71
200411,8.99,4.70
200412,3.06,-1.31
200501,5.32,1.28
200502,2.84,-0.89
200503,3.50,-1.27
200504,4.12,-0.92
200505,1.93,-3.22
200506,1.98,-2.10
200507,4.05,0.34
200508,3.04,-0.34
200509,4.77,1.18
200510,0.26,-3.20
200511,3.20,-1.09
200512,0.74,-3.63
200601,4.61,0.57
200602,2.51,-1.22
200603,5.02,0.25
200604,4.56,-0.48
200605,3.93,-1.22
200606,2.56,-1.52
200607,2.79,-0.92
200608,3.74,0.36
200609,4.33,0.74
200610,4.52,1.06
200611,4.88,0.59
200612,5.88,1.51
200701,6.92,2.88
200702,2.44,-1.29
200703,1.64,-3.13
200704,4.22,-0.82
200705,3.69,-1.46
200706,3.65,-0.43
200707,5.75,2.04
200708,0.89,-2.49
200709,4.56,0.97
200710,5.15,1.69
200711,2.06,-2.23
200712,5.73,1.36
200801,1.73,-2.31
200802,4.67,0.94
200803,9.06,4.29
200804,8.13,3.09
200805,4.55,-0.60
200806,4.06,-0.02
200807,2.90,-0.81
200808,7.27,3.89
200809,7.63,4.04
200810,3.71,0.25
200811,2.31,-1.98
200812,4.46,0.09
200901,2.74,-1.30
200902,2.71,-1.02
200903,5.35,0.58
200904,5.21,0.17
200905,11.03,5.88
200906,2.61,-1.47
200907,7.55,3.84
200908,3.55,0.17
200909,8.64,5.05
200910,14.13,10.67
200911,1.70,-2.59
200912,6.98,2.61
