#  Arkansas Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,2.18,2.22
199702,2.54,2.74
199703,2.53,2.79
199704,3.28,3.30
199705,2.72,2.80
199706,2.90,2.84
199707,2.22,2.18
199708,2.01,1.89
199709,1.54,1.53
199710,1.66,1.77
199711,1.30,1.36
199712,1.15,1.23
199801,1.64,1.68
199802,1.65,1.85
199803,1.79,2.05
199804,-0.41,-0.39
199805,-1.03,-0.95
199806,-1.73,-1.79
199807,-2.26,-2.30
199808,-2.36,-2.48
199809,-2.24,-2.25
199810,-1.72,-1.61
199811,-2.03,-1.97
199812,-1.86,-1.78
199901,-0.88,-0.84
199902,-1.75,-1.55
199903,-1.38,-1.12
199904,-1.12,-1.10
199905,-1.14,-1.06
199906,-0.57,-0.63
199907,-0.97,-1.01
199908,-1.75,-1.87
199909,-2.20,-2.21
199910,-2.20,-2.09
199911,-2.95,-2.89
199912,-2.79,-2.71
200001,-3.00,-2.96
200002,-3.24,-3.04
200003,-3.22,-2.96
200004,-3.17,-3.15
200005,-2.55,-2.47
200006,-1.27,-1.33
200007,-1.63,-1.67
200008,-2.66,-2.78
200009,-2.75,-2.76
200010,-3.16,-3.05
200011,1.04,1.10
200012,0.88,0.96
200101,0.72,0.76
200102,1.87,2.07
200103,-0.25,0.01
200104,-1.12,-1.10
200105,-1.05,-0.97
200106,-1.12,-1.18
200107,-1.49,-1.53
200108,-1.70,-1.82
200109,0.02,0.01
200110,0.69,0.80
200111,0.94,1.00
200112,1.97,2.05
200201,1.78,1.82
200202,1.22,1.42
200203,2.57,2.83
200204,-0.54,-0.52
200205,-0.15,-0.07
200206,-0.55,-0.61
200207,-0.49,-0.53
200208,-0.44,-0.56
200209,-0.71,-0.72
200210,-0.40,-0.29
200211,-0.93,-0.87
200212,0.00,0.08
200301,-0.83,-0.79
200302,-0.05,0.15
200303,-0.92,-0.66
200304,-1.49,-1.47
200305,0.40,0.48
200306,1.09,1.03
200307,1.16,1.12
200308,1.07,0.95
200309,1.07,1.06
200310,-0.34,-0.23
200311,-0.31,-0.25
200312,-0.63,-0.55
200401,-0.74,-0.70
200402,-0.58,-0.38
200403,-0.81,-0.55
200404,0.42,0.44
200405,0.22,0.30
200406,0.83,0.77
200407,1.41,1.37
200408,1.62,1.50
200409,0.57,0.56
200410,1.69,1.80
200411,2.86,2.92
200412,-0.29,-0.21
200501,0.33,0.37
200502,-0.44,-0.24
200503,-0.80,-0.54
200504,-0.91,-0.89
200505,-1.64,-1.56
200506,-2.20,-2.26
200507,-2.25,-2.29
200508,-2.40,-2.52
200509,-2.05,-2.06
200510,-2.86,-2.75
200511,-3.19,-3.13
200512,-4.08,-4.00
200601,-4.01,-3.97
200602,-4.01,-3.81
200603,-3.64,-3.38
200604,-3.58,-3.56
200605,-3.61,-3.53
200606,-3.64,-3.70
200607,-3.79,-3.83
200608,-3.52,-3.64
200609,0.29,0.28
200610,0.61,0.72
200611,0.67,0.73
200612,1.06,1.14
200701,1.78,1.82
200702,-0.44,-0.24
200703,-1.67,-1.41
200704,-1.62,-1.60
200705,-1.97,-1.89
200706,-1.88,-1.94
200707,-0.93,-0.97
200708,-1.62,-1.74
200709,-1.30,-1.31
200710,-0.86,-0.75
200711,-1.48,-1.42
200712,-1.08,-1.00
200801,-1.53,-1.49
200802,0.20,0.40
200803,1.40,1.66
200804,2.28,2.30
200805,1.89,1.97
200806,1.70,1.64
200807,1.29,1.25
200808,2.52,2.40
200809,3.73,3.72
200810,3.81,3.92
200811,3.11,3.17
200812,2.90,2.98
200901,2.32,2.36
200902,1.61,1.81
200903,1.52,1.78
200904,1.53,1.55
200905,2.97,3.05
200906,2.16,2.10
200907,3.21,3.17
200908,3.36,3.24
200909,4.77,4.76
200910,7.82,7.93
200911,6.43,6.49
200912,6.64,6.72
201001,6.01,6.05
201002,-0.11,0.09
201003,-0.66,-0.40
201004,-1.19,-1.17
201005,-0.93,-0.85
201006,-1.48,-1.54
201007,-1.44,-1.48
201008,-2.11,-2.23
201009,-2.17,-2.18
201010,-2.71,-2.60
201011,-2.71,-2.65
201012,-3.33,-3.25
201101,-3.75,-3.71
201102,-3.35,-3.15
201103,-3.68,-3.42
201104,-1.77,-1.75
201105,-0.70,-0.62
201106,-1.58,-1.64
201107,-2.60,-2.64
201108,-2.47,-2.59
201109,-2.55,-2.56
201110,-2.64,-2.53
201111,-1.57,-1.51
201112,-0.62,-0.54
201201,-0.87,-0.83
201202,-1.16,-0.96
201203,-0.91,-0.65
201204,-1.60,-1.58
201205,-2.70,-2.62
201206,-3.36,-3.42
201207,-4.01,-4.05
201208,-3.57,-3.69
201209,-2.88,-2.89
201210,-2.59,-2.48
201211,-3.11,-3.05
201212,-3.16,-3.08
201301,0.56,0.60
201302,0.53,0.73
201303,0.18,0.44
201304,0.37,0.39
201305,0.68,0.76
201306,0.41,0.35
201307,0.60,0.56
201308,0.86,0.74
201309,0.66,0.65
201310,0.98,1.09
201311,0.85,0.91
201312,1.25,1.33
201401,-0.46,-0.42
201402,-0.75,-0.55
201403,0.06,0.32
201404,0.30,0.32
201405,0.52,0.60
201406,1.19,1.13
201407,1.69,1.65
201408,1.86,1.74
201409,1.40,1.39
201410,1.78,1.89
201411,-0.24,-0.18
201412,-0.56,-0.48
201501,-0.58,-0.54
