#  Arkansas Palmer Modified Drought Index (PMDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,1.54,1.50
199702,2.53,2.65
199703,2.53,2.69
199704,3.28,3.31
199705,2.39,2.49
199706,2.90,2.88
199707,1.68,1.65
199708,1.44,1.29
199709,0.62,0.51
199710,1.03,0.95
199711,0.43,0.47
199712,0.26,0.29
199801,1.29,1.25
199802,1.44,1.56
199803,1.79,1.95
199804,0.54,0.57
199805,-1.03,-0.93
199806,-1.73,-1.75
199807,-2.26,-2.29
199808,-2.36,-2.51
199809,-2.24,-2.35
199810,-1.28,-1.36
199811,-2.03,-1.99
199812,-1.84,-1.81
199901,0.33,0.29
199902,-1.75,-1.63
199903,-1.02,-0.86
199904,-0.54,-0.51
199905,-0.70,-0.60
199906,0.54,0.52
199907,-0.47,-0.50
199908,-1.75,-1.90
199909,-2.20,-2.31
199910,-2.20,-2.28
199911,-2.95,-2.91
199912,-2.79,-2.76
200001,-3.00,-3.04
200002,-3.24,-3.12
200003,-3.22,-3.06
200004,-3.17,-3.14
200005,-2.13,-2.03
200006,0.41,0.39
200007,-0.55,-0.58
200008,-2.66,-2.81
200009,-2.75,-2.86
200010,-3.16,-3.24
200011,-0.46,-0.42
200012,-0.41,-0.38
200101,-0.38,-0.42
200102,1.87,1.99
200103,1.02,1.18
200104,-1.12,-1.09
200105,-1.04,-0.94
200106,-1.12,-1.14
200107,-1.49,-1.52
200108,-1.70,-1.85
200109,-1.39,-1.50
200110,0.49,0.41
200111,0.94,0.98
200112,1.97,2.00
200201,1.72,1.68
200202,0.58,0.70
200203,2.57,2.73
200204,1.02,1.05
200205,1.53,1.63
200206,0.36,0.34
200207,0.23,0.20
200208,0.11,-0.04
200209,-0.63,-0.74
200210,-0.18,-0.26
200211,-0.93,-0.89
200212,0.83,0.86
200301,-0.83,-0.87
200302,0.69,0.81
200303,-0.92,-0.76
200304,-1.49,-1.46
200305,-0.21,-0.11
200306,1.09,1.07
200307,1.16,1.13
200308,1.03,0.88
200309,1.07,0.96
200310,-0.20,-0.28
200311,-0.31,-0.27
200312,-0.63,-0.60
200401,-0.74,-0.78
200402,-0.58,-0.46
200403,-0.81,-0.65
200404,0.42,0.45
200405,-0.43,-0.33
200406,0.83,0.81
200407,1.41,1.38
200408,1.62,1.47
200409,-0.86,-0.97
200410,1.69,1.61
200411,2.86,2.90
200412,1.85,1.88
200501,2.29,2.25
200502,0.99,1.11
200503,-0.11,0.05
200504,-0.63,-0.60
200505,-1.64,-1.54
200506,-2.20,-2.22
200507,-2.25,-2.28
200508,-2.40,-2.55
200509,-1.85,-1.96
200510,-2.86,-2.94
200511,-3.19,-3.15
200512,-4.08,-4.05
200601,-4.01,-4.05
200602,-4.01,-3.89
200603,-3.62,-3.46
200604,-3.58,-3.55
200605,-3.61,-3.51
200606,-3.64,-3.66
200607,-3.79,-3.82
200608,-3.52,-3.67
200609,-2.47,-2.58
200610,-1.36,-1.44
200611,-0.83,-0.79
200612,0.32,0.35
200701,1.78,1.74
200702,0.45,0.57
200703,-1.67,-1.51
200704,-1.62,-1.59
200705,-1.97,-1.87
200706,-1.88,-1.90
200707,0.21,0.18
200708,-1.51,-1.66
200709,-0.92,-1.03
200710,0.00,-0.08
200711,-1.48,-1.44
200712,-0.61,-0.58
200801,-1.53,-1.57
200802,-0.77,-0.65
200803,1.40,1.56
200804,2.28,2.31
200805,1.63,1.73
200806,1.38,1.36
200807,0.60,0.57
200808,2.52,2.37
200809,3.73,3.62
200810,3.81,3.73
200811,2.69,2.73
200812,2.56,2.59
200901,1.60,1.56
200902,0.32,0.44
200903,0.34,0.50
200904,0.52,0.55
200905,2.97,3.07
200906,1.49,1.47
200907,3.21,3.18
200908,3.36,3.21
200909,4.77,4.66
200910,7.82,7.74
200911,5.75,5.79
200912,6.64,6.67
201001,6.01,5.97
201002,5.10,5.22
201003,3.34,3.50
201004,1.61,1.64
201005,1.58,1.68
201006,-0.02,-0.04
201007,-0.38,-0.41
201008,-1.99,-2.14
201009,-2.17,-2.28
201010,-2.71,-2.79
201011,-2.71,-2.67
201012,-3.33,-3.30
201101,-3.75,-3.79
