#  California Cooling Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,0,0
199702,0,0
199703,10,9
199704,13,5
199705,120,91
199706,101,12
199707,201,-9
199708,264,59
199709,214,95
199710,32,6
199711,5,3
199712,0,0
199801,0,0
199802,0,0
199803,0,-1
199804,1,-7
199805,7,-22
199806,52,-37
199807,252,42
199808,328,123
199809,123,4
199810,16,-10
199811,0,-2
199812,0,0
199901,0,0
199902,0,0
199903,1,0
199904,1,-7
199905,22,-7
199906,77,-12
199907,193,-17
199908,183,-22
199909,137,18
199910,78,52
199911,6,4
199912,0,0
200001,0,0
200002,0,0
200003,1,0
200004,20,12
200005,63,34
200006,158,69
200007,186,-24
200008,250,45
200009,139,20
200010,14,-12
200011,0,-2
200012,0,0
200101,0,0
200102,0,0
200103,4,3
200104,2,-6
200105,106,77
200106,155,66
200107,197,-13
200108,248,43
200109,160,41
200110,56,30
200111,4,2
200112,0,0
200201,0,0
200202,0,0
200203,0,-1
200204,10,2
200205,29,0
200206,127,38
200207,261,51
200208,209,4
200209,172,53
200210,15,-11
200211,7,5
200212,0,0
200301,10,10
200302,0,0
200303,4,3
200304,1,-7
200305,35,6
200306,116,27
200307,320,110
200308,272,67
200309,206,87
200310,93,67
200311,0,-2
200312,0,0
200401,0,0
200402,0,0
200403,20,19
200404,18,10
200405,56,27
200406,115,26
200407,246,36
200408,230,25
200409,158,39
200410,14,-12
200411,0,-2
200412,0,0
200501,0,0
200502,0,0
200503,1,0
200504,6,-2
200505,44,15
200506,70,-19
200507,307,97
200508,262,57
200509,90,-29
200510,25,-1
200511,8,6
200512,0,0
200601,0,0
200602,0,0
200603,0,-1
200604,2,-6
200605,58,29
200606,193,104
200607,377,167
200608,212,7
200609,141,22
200610,19,-7
200611,8,6
200612,0,0
200701,0,0
200702,0,0
200703,10,9
200704,13,5
200705,49,20
200706,124,35
200707,269,59
200708,283,78
200709,106,-13
200710,27,1
200711,7,5
200712,0,0
200801,0,0
200802,0,0
200803,4,3
200804,11,3
200805,31,2
200806,157,68
200807,265,55
200808,282,77
200809,191,72
200810,65,39
200811,12,10
200812,0,0
200901,4,4
200902,0,0
200903,1,0
200904,8,0
200905,87,58
200906,79,-10
200907,289,79
200908,245,40
200909,227,108
200910,20,-6
200911,5,3
200912,0,0
201001,0,0
201002,0,0
201003,0,-1
201004,1,-7
201005,14,-15
201006,100,11
201007,214,4
201008,192,-13
201009,154,35
201010,28,2
201011,0,-2
201012,0,0
201101,0,0
201102,0,0
201103,1,0
201104,9,1
201105,16,-13
201106,73,-16
201107,217,7
201108,235,30
201109,180,61
201110,43,17
201111,0,-2
201112,0,0
201201,4,4
201202,0,0
201203,1,0
201204,13,5
201205,54,25
201206,108,19
201207,211,1
201208,334,129
201209,231,112
201210,56,30
201211,7,5
201212,0,0
201301,0,0
201302,0,0
201303,8,7
201304,22,14
201305,63,34
201306,161,72
201307,289,79
201308,235,30
201309,160,41
201310,20,-6
201311,5,3
201312,0,0
201401,10,10
201402,3,3
201403,10,9
201404,22,14
201405,80,51
201406,151,62
201407,313,103
201408,253,48
201409,224,105
201410,96,70
201411,11,9
201412,0,0
201501,5,5
201502,7,7
201503,26,25
201504,18,10
201505,23,-6
201506,197,108
201507,233,23
201508,300,95
201509,237,118
201510,111,85
201511,0,-2
201512,0,0
201601,0,0
201602,10,10
201603,6,5
201604,22,14
201605,33,4
201606,201,112
201607,282,72
201608,267,62
201609,145,26
201610,47,21
201611,10,8
201612,0,0
201701,0,0
201702,0,0
201703,10,9
201704,20,12
201705,47,18
201706,180,91
201707,336,126
201708,320,115
201709,161,42
201710,76,50
201711,14,12
201712,3,3
201801,8,8
201802,0,0
201803,1,0
201804,20,12
201805,35,6
201806,138,49
201807,377,167
201808,298,93
201809,171,52
201810,45,19
201811,8,6
201812,0,0
201901,0,0
201902,0,0
201903,1,0
201904,22,14
201905,14,-15
201906,134,45
201907,244,34
201908,284,79
201909,155,36
201910,36,10
201911,6,4
201912,0,0
202001,0,0
202002,0,0
202003,0,-1
202004,13,5
202005,74,45
202006,130,41
202007,250,40
202008,355,150
202009,259,140
202010,120,94
202011,5,3
202012,0,0
202101,0,0
202102,0,0
202103,0,-1
202104,20,12
202105,53,24
202106,202,113
202107,344,134
202108,296,91
202109,192,73
202110,20,-6
202111,19,17
202112,0,0
202201,3,3
202202,0,0
202203,6,5
202204,18,10
202205,43,14
202206,179,90
202207,282,72
202208,340,135
202209,271,152
202210,63,37
202211,0,-2
202212,0,0
