#  California Heating Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,518,-69
199702,438,-40
199703,301,-156
199704,262,-70
199705,58,-143
199706,52,-17
199707,6,-2
199708,2,-6
199709,11,-27
199710,146,-19
199711,307,-69
199712,566,6
199801,502,-85
199802,511,33
199803,426,-31
199804,377,45
199805,306,105
199806,98,29
199807,2,-6
199808,0,-8
199809,26,-12
199810,188,23
199811,397,21
199812,583,23
199901,505,-82
199902,474,-4
199903,511,54
199904,393,61
199905,211,10
199906,75,6
199907,7,-1
199908,10,2
199909,22,-16
199910,75,-90
199911,295,-81
199912,480,-80
200001,478,-109
200002,427,-51
200003,414,-43
200004,235,-97
200005,121,-80
200006,23,-46
200007,11,3
200008,2,-6
200009,25,-13
200010,193,28
200011,464,88
200012,443,-117
200101,594,7
200102,530,52
200103,358,-99
200104,380,48
200105,69,-132
200106,26,-43
200107,7,-1
200108,2,-6
200109,18,-20
200110,94,-71
200111,325,-51
200112,567,7
200201,582,-5
200202,388,-90
200203,452,-5
200204,293,-39
200205,179,-22
200206,37,-32
200207,0,-8
200208,3,-5
200209,15,-23
200210,184,19
200211,283,-93
200212,536,-24
200301,355,-232
200302,454,-24
200303,374,-83
200304,409,77
200305,163,-38
200306,44,-25
200307,0,-8
200308,2,-6
200309,9,-29
200310,61,-104
200311,436,60
200312,533,-27
200401,546,-41
200402,502,24
200403,233,-224
200404,233,-99
200405,126,-75
200406,44,-25
200407,1,-7
200408,1,-7
200409,20,-18
200410,189,24
200411,440,64
200412,513,-47
200501,520,-67
200502,421,-57
200503,380,-77
200504,330,-2
200505,146,-55
200506,84,15
200507,0,-8
200508,0,-8
200509,51,13
200510,153,-12
200511,279,-97
200512,456,-104
200601,514,-73
200602,398,-80
200603,585,128
200604,355,23
200605,121,-80
200606,15,-54
200607,0,-8
200608,5,-3
200609,24,-14
200610,176,11
200611,307,-69
200612,521,-39
200701,609,22
200702,436,-42
200703,298,-159
200704,273,-59
200705,135,-66
200706,39,-30
200707,0,-8
200708,1,-7
200709,41,3
200710,163,-2
200711,281,-95
200712,606,46
200801,601,14
200802,457,-21
200803,388,-69
200804,290,-42
200805,168,-33
200806,27,-42
200807,1,-7
200808,1,-7
200809,12,-26
200810,93,-72
200811,247,-129
200812,583,23
200901,435,-152
200902,472,-6
200903,428,-29
200904,307,-25
200905,89,-112
200906,68,-1
200907,0,-8
200908,1,-7
200909,5,-33
200910,174,9
200911,331,-45
200912,577,17
201001,492,-95
201002,437,-41
201003,420,-37
201004,388,56
201005,248,47
201006,55,-14
201007,6,-2
201008,9,1
201009,20,-18
201010,141,-24
201011,394,18
201012,482,-78
201101,482,-105
201102,523,45
201103,437,-20
201104,312,-20
201105,240,39
201106,80,11
201107,4,-4
201108,3,-5
201109,12,-26
201110,118,-47
201111,402,26
201112,574,14
201201,447,-140
201202,439,-39
201203,447,-10
201204,273,-59
201205,130,-71
201206,51,-18
201207,4,-4
201208,0,-8
201209,7,-31
201210,100,-65
201211,291,-85
201212,559,-1
201301,576,-11
201302,476,-2
201303,317,-140
201304,219,-113
201305,112,-89
201306,22,-47
201307,0,-8
201308,2,-6
201309,21,-17
201310,166,1
201311,303,-73
201312,498,-62
201401,341,-246
201402,352,-126
201403,300,-157
201404,217,-115
201405,91,-110
201406,25,-44
201407,0,-8
201408,1,-7
201409,7,-31
201410,60,-105
201411,257,-119
201412,444,-116
201501,397,-190
201502,270,-208
201503,212,-245
201504,236,-96
201505,196,-5
201506,13,-56
201507,0,-8
201508,1,-7
201509,7,-31
201510,48,-117
201511,398,22
201512,569,9
201601,509,-78
201602,271,-207
201603,337,-120
201604,213,-119
201605,159,-42
201606,14,-55
201607,1,-7
201608,0,-8
201609,21,-17
201610,127,-38
201611,268,-108
201612,525,-35
201701,574,-13
201702,420,-58
201703,305,-152
201704,245,-87
201705,133,-68
201706,17,-52
201707,0,-8
201708,0,-8
201709,16,-22
201710,87,-78
201711,252,-124
201712,400,-160
201801,373,-214
201802,419,-59
201803,428,-29
201804,240,-92
201805,159,-42
201806,31,-38
201807,0,-8
201808,1,-7
201809,18,-20
201810,112,-53
201811,270,-106
201812,495,-65
201901,474,-113
201902,589,111
201903,434,-23
201904,215,-117
201905,240,39
201906,32,-37
201907,3,-5
201908,0,-8
201909,23,-15
201910,141,-24
201911,284,-92
201912,515,-45
202001,497,-90
202002,367,-111
202003,470,13
202004,258,-74
202005,102,-99
202006,32,-37
202007,1,-7
202008,0,-8
202009,2,-36
202010,41,-124
202011,328,-48
202012,472,-88
202101,483,-104
202102,406,-72
202103,472,15
202104,230,-102
202105,125,-76
202106,12,-57
202107,0,-8
202108,0,-8
202109,11,-27
202110,171,6
202111,226,-150
202112,553,-7
202201,462,-125
202202,406,-72
202203,334,-123
202204,252,-80
202205,146,-55
202206,18,-51
202207,0,-8
202208,0,-8
202209,3,-35
202210,86,-79
202211,431,55
202212,534,-26
