#  California Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,4.62,4.67
199702,-0.94,-0.86
199703,-2.00,-1.96
199704,-2.25,-2.18
199705,-2.77,-2.78
199706,-3.03,-3.12
199707,-3.08,-3.26
199708,-2.86,-3.00
199709,0.45,0.28
199710,0.31,0.27
199711,0.71,0.74
199712,0.42,0.57
199801,1.48,1.53
199802,4.16,4.24
199803,4.17,4.21
199804,4.09,4.16
199805,5.50,5.49
199806,6.04,5.95
199807,7.17,6.99
199808,6.60,6.46
199809,6.23,6.06
199810,5.35,5.31
199811,5.48,5.51
199812,-0.63,-0.48
199901,-0.79,-0.74
199902,0.57,0.65
199903,0.29,0.33
199904,0.47,0.54
199905,0.22,0.21
199906,0.31,0.22
199907,0.50,0.32
199908,0.52,0.38
199909,-0.28,-0.45
199910,-0.77,-0.81
199911,-1.01,-0.98
199912,-2.12,-1.97
200001,-0.05,0.00
200002,1.00,1.08
200003,-0.54,-0.50
200004,-0.56,-0.49
200005,-0.42,-0.43
200006,-0.44,-0.53
200007,-0.80,-0.98
200008,-0.79,-0.93
200009,-0.83,-1.00
200010,-0.11,-0.15
200011,-0.76,-0.73
200012,-1.93,-1.78
200101,-2.35,-2.30
200102,-2.06,-1.98
200103,-2.36,-2.32
200104,-1.99,-1.92
200105,-2.36,-2.37
200106,-2.66,-2.75
200107,-2.79,-2.97
200108,-2.89,-3.03
200109,-2.82,-2.99
200110,-3.09,-3.13
200111,-2.24,-2.21
200112,-1.42,-1.27
200201,-1.69,-1.64
200202,-2.24,-2.16
200203,-2.48,-2.44
200204,-2.68,-2.61
200205,-2.58,-2.59
200206,-2.76,-2.85
200207,-3.07,-3.25
200208,-3.28,-3.42
200209,-3.37,-3.54
200210,-3.77,-3.81
200211,0.09,0.12
200212,1.60,1.75
200301,0.69,0.74
200302,0.37,0.45
200303,0.10,0.14
200304,1.40,1.47
200305,1.53,1.52
200306,1.53,1.44
200307,-0.19,-0.37
200308,-0.01,-0.15
200309,-0.40,-0.57
200310,-1.35,-1.39
200311,-1.28,-1.25
200312,0.66,0.81
200401,0.14,0.19
200402,1.01,1.09
200403,-1.19,-1.15
200404,-1.70,-1.63
200405,-2.15,-2.16
200406,-2.80,-2.89
200407,-3.26,-3.44
200408,-3.23,-3.37
200409,-3.26,-3.43
200410,1.60,1.56
200411,1.26,1.29
200412,1.73,1.88
200501,2.33,2.38
200502,2.28,2.36
200503,2.21,2.25
200504,2.09,2.16
200505,3.17,3.16
200506,3.83,3.74
200507,4.58,4.40
200508,4.08,3.94
200509,3.55,3.38
200510,3.01,2.97
200511,2.42,2.45
200512,3.46,3.61
200601,3.49,3.54
200602,2.84,2.92
200603,3.71,3.75
200604,4.61,4.68
200605,-0.05,-0.06
200606,-0.14,-0.23
200607,-0.68,-0.86
200608,-1.10,-1.24
200609,-1.44,-1.61
200610,-1.78,-1.82
200611,-1.91,-1.88
200612,-2.02,-1.87
200701,-3.09,-3.04
200702,-2.81,-2.73
200703,-3.73,-3.69
200704,-3.65,-3.58
200705,-3.88,-3.89
200706,-4.28,-4.37
200707,-4.47,-4.65
200708,-4.42,-4.56
200709,-3.92,-4.09
200710,-3.33,-3.37
200711,-3.88,-3.85
200712,-3.75,-3.60
200801,-2.36,-2.31
200802,-2.33,-2.25
200803,-3.18,-3.14
200804,-3.53,-3.46
200805,-3.60,-3.61
200806,-3.98,-4.07
200807,-4.22,-4.40
200808,-4.20,-4.34
200809,-4.29,-4.46
200810,-4.30,-4.34
200811,-4.13,-4.10
200812,-3.99,-3.84
200901,-4.81,-4.76
200902,-4.15,-4.07
200903,-4.08,-4.04
200904,-4.20,-4.13
200905,-3.67,-3.68
200906,-3.39,-3.48
200907,-3.27,-3.45
200908,-3.28,-3.42
200909,-3.43,-3.60
200910,-2.51,-2.55
200911,-3.00,-2.97
200912,-3.00,-2.85
201001,0.67,0.72
201002,0.66,0.74
201003,0.22,0.26
201004,1.22,1.29
201005,1.50,1.49
201006,1.93,1.84
201007,1.94,1.76
201008,1.53,1.39
201009,1.04,0.87
201010,1.99,1.95
201011,1.84,1.87
201012,3.14,3.29
201101,1.98,2.03
201102,1.82,1.90
201103,3.03,3.07
201104,2.47,2.54
201105,2.82,2.81
201106,3.42,3.33
201107,3.84,3.66
201108,3.50,3.36
201109,-0.21,-0.38
201110,-0.08,-0.12
201111,-0.45,-0.42
201112,-1.63,-1.48
201201,-2.27,-2.22
201202,-3.18,-3.10
201203,-2.31,-2.27
201204,-1.74,-1.67
201205,-1.96,-1.97
201206,-1.85,-1.94
201207,-1.74,-1.92
201208,-1.58,-1.72
201209,-1.89,-2.06
201210,-1.97,-2.01
201211,0.24,0.27
201212,1.08,1.23
201301,-0.80,-0.75
201302,-1.66,-1.58
201303,-2.43,-2.39
201304,-2.83,-2.76
201305,-2.98,-2.99
201306,-3.28,-3.37
201307,-3.51,-3.69
201308,-3.23,-3.37
201309,-2.61,-2.78
201310,-2.93,-2.97
201311,-3.40,-3.37
201312,-4.37,-4.22
201401,-5.88,-5.83
201402,-5.87,-5.79
201403,-5.59,-5.55
201404,-5.53,-5.46
201405,-6.05,-6.06
201406,-6.77,-6.86
201407,-7.01,-7.19
201408,-6.35,-6.49
201409,-5.53,-5.70
201410,-5.30,-5.34
201411,-5.22,-5.19
201412,-3.98,-3.83
201501,-4.84,-4.79
201502,-4.86,-4.78
201503,-5.67,-5.63
201504,-5.53,-5.46
201505,-5.11,-5.12
201506,-5.13,-5.22
201507,-4.85,-5.03
201508,-4.75,-4.89
201509,-4.48,-4.65
201510,-4.48,-4.52
201511,-4.30,-4.27
201512,-3.57,-3.42
201601,-2.30,-2.25
201602,-2.99,-2.91
201603,-2.08,-2.04
201604,-2.10,-2.03
201605,-1.89,-1.90
201606,-1.88,-1.97
201607,-2.30,-2.48
201608,-2.55,-2.69
201609,-2.70,-2.87
201610,1.57,1.53
201611,1.24,1.27
201612,1.38,1.53
201701,3.61,3.66
201702,4.76,4.84
201703,-0.45,-0.41
201704,0.48,0.55
201705,-0.22,-0.23
201706,-0.26,-0.35
201707,-0.75,-0.93
201708,-0.98,-1.12
201709,-0.96,-1.13
201710,-1.55,-1.59
201711,-1.41,-1.38
201712,-2.63,-2.48
201801,-3.13,-3.08
201802,-4.15,-4.07
201803,-3.05,-3.01
201804,-2.63,-2.56
201805,-2.42,-2.43
201806,-2.29,-2.38
201807,-2.41,-2.59
201808,-2.71,-2.85
201809,-2.93,-3.10
201810,-3.04,-3.08
201811,-2.79,-2.76
201812,-3.06,-2.91
201901,0.23,0.28
201902,2.10,2.18
201903,2.29,2.33
201904,1.67,1.74
201905,2.76,2.75
201906,2.97,2.88
201907,-0.09,-0.27
201908,-0.34,-0.48
201909,-0.16,-0.33
201910,-0.80,-0.84
201911,-1.28,-1.25
201912,-0.90,-0.75
202001,-1.60,-1.55
202002,-2.72,-2.64
202003,-2.45,-2.41
202004,-2.14,-2.07
202005,-1.65,-1.66
202006,-1.44,-1.53
202007,-1.57,-1.75
202008,-1.83,-1.97
202009,-2.21,-2.38
202010,-3.03,-3.07
202011,-3.38,-3.35
202012,-3.89,-3.74
202101,-4.03,-3.98
202102,-4.62,-4.54
202103,-4.79,-4.75
202104,-5.19,-5.12
202105,-5.85,-5.86
202106,-6.69,-6.78
202107,-7.04,-7.22
202108,-6.87,-7.01
202109,-6.38,-6.55
202110,-4.16,-4.20
202111,-4.44,-4.41
202112,-3.17,-3.02
202201,-4.05,-4.00
202202,-4.81,-4.73
202203,-5.39,-5.35
202204,-4.93,-4.86
202205,-5.00,-5.01
202206,-5.05,-5.14
202207,-5.19,-5.37
202208,-4.79,-4.93
202209,-4.05,-4.22
202210,-4.50,-4.54
202211,-4.25,-4.22
202212,0.87,1.02
