#  California Palmer Hydrological Drought Index (PHDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,4.62,4.55
199702,3.21,3.00
199703,1.72,1.49
199704,1.09,0.99
199705,-2.77,-2.92
199706,-3.03,-3.32
199707,-3.08,-3.45
199708,-2.86,-3.16
199709,-2.11,-2.36
199710,-1.98,-2.21
199711,-1.35,-1.51
199712,-1.43,-1.37
199801,1.48,1.41
199802,4.16,3.95
199803,4.17,3.94
199804,4.09,3.99
199805,5.50,5.35
199806,6.04,5.75
199807,7.17,6.80
199808,6.60,6.30
199809,6.23,5.98
199810,5.35,5.12
199811,5.48,5.32
199812,4.28,4.34
199901,3.61,3.54
199902,3.81,3.60
199903,3.19,2.96
199904,3.08,2.98
199905,2.56,2.41
199906,2.41,2.12
199907,2.38,2.01
199908,2.21,1.91
199909,1.70,1.45
199910,1.01,0.78
199911,0.59,0.43
199912,-2.12,-2.06
200001,-1.95,-2.02
200002,-0.75,-0.96
200003,-1.21,-1.44
200004,-1.17,-1.27
200005,-0.97,-1.12
200006,-0.93,-1.22
200007,-1.24,-1.61
200008,-1.18,-1.48
200009,-1.18,-1.43
200010,-0.11,-0.34
200011,-0.76,-0.92
200012,-1.93,-1.87
200101,-2.35,-2.42
200102,-2.06,-2.27
200103,-2.36,-2.59
200104,-1.99,-2.09
200105,-2.36,-2.51
200106,-2.66,-2.95
200107,-2.79,-3.16
200108,-2.89,-3.19
200109,-2.82,-3.07
200110,-3.09,-3.32
200111,-2.24,-2.40
200112,-1.42,-1.36
200201,-1.69,-1.76
200202,-2.24,-2.45
200203,-2.48,-2.71
200204,-2.68,-2.78
200205,-2.58,-2.73
200206,-2.76,-3.05
200207,-3.07,-3.44
200208,-3.28,-3.58
200209,-3.37,-3.62
200210,-3.77,-4.00
200211,-3.29,-3.45
200212,-1.44,-1.38
200301,-2.04,-2.11
200302,-2.07,-2.28
200303,-2.09,-2.32
200304,-0.57,-0.67
200305,1.53,1.38
200306,1.53,1.24
200307,1.18,0.81
200308,1.23,0.93
200309,0.70,0.45
200310,-1.35,-1.58
200311,-1.28,-1.44
200312,0.66,0.72
200401,0.14,0.07
200402,1.01,0.80
200403,-1.19,-1.42
200404,-1.70,-1.80
200405,-2.15,-2.30
200406,-2.80,-3.09
200407,-3.26,-3.63
200408,-3.23,-3.53
200409,-3.26,-3.51
200410,-1.33,-1.56
200411,-1.37,-1.53
200412,-0.62,-0.56
200501,2.33,2.26
200502,2.28,2.07
200503,2.21,1.98
200504,2.09,1.99
200505,3.17,3.02
