#  California Palmer Modified Drought Index (PMDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,4.62,4.61
199702,2.09,1.99
199703,-0.70,-0.80
199704,-1.70,-1.76
199705,-2.77,-2.94
199706,-3.03,-3.31
199707,-3.08,-3.40
199708,-2.86,-3.12
199709,-1.48,-1.72
199710,-1.43,-1.53
199711,-0.24,-0.19
199712,-0.57,-0.40
199801,1.48,1.47
199802,4.16,4.06
199803,4.17,4.07
199804,4.09,4.03
199805,5.50,5.33
199806,6.04,5.76
199807,7.17,6.85
199808,6.60,6.34
199809,6.23,5.99
199810,5.03,4.93
199811,5.48,5.53
199812,3.52,3.69
199901,2.56,2.55
199902,3.34,3.24
199903,2.44,2.34
199904,2.51,2.45
199905,1.74,1.57
199906,1.68,1.40
199907,1.81,1.49
199908,1.66,1.40
199909,0.85,0.61
199910,-0.33,-0.43
199911,-0.97,-0.92
199912,-2.12,-1.95
200001,-1.95,-1.96
200002,0.72,0.62
200003,-0.48,-0.58
200004,-0.52,-0.58
200005,-0.19,-0.36
200006,-0.22,-0.50
200007,-0.87,-1.19
200008,-0.82,-1.08
200009,-0.88,-1.12
200010,0.64,0.54
200011,-0.76,-0.71
200012,-1.93,-1.76
200101,-2.35,-2.36
200102,-1.93,-2.03
200103,-2.36,-2.46
200104,-1.75,-1.81
200105,-2.36,-2.53
200106,-2.66,-2.94
200107,-2.79,-3.11
200108,-2.89,-3.15
200109,-2.82,-3.06
200110,-3.09,-3.19
200111,-1.53,-1.48
200112,0.04,0.21
200201,-0.74,-0.75
200202,-2.03,-2.13
200203,-2.48,-2.58
200204,-2.68,-2.74
200205,-2.58,-2.75
200206,-2.76,-3.04
200207,-3.07,-3.39
200208,-3.28,-3.54
200209,-3.37,-3.61
200210,-3.77,-3.87
200211,-3.13,-3.08
200212,0.56,0.73
200301,-0.93,-0.94
200302,-1.22,-1.32
200303,-1.45,-1.55
200304,1.38,1.32
200305,1.53,1.36
200306,1.53,1.25
200307,0.80,0.48
200308,1.04,0.78
200309,-0.17,-0.41
200310,-1.35,-1.45
200311,-1.28,-1.23
200312,0.66,0.83
200401,-0.45,-0.46
200402,1.01,0.91
200403,-1.19,-1.29
200404,-1.70,-1.76
200405,-2.15,-2.32
200406,-2.80,-3.08
200407,-3.26,-3.58
200408,-3.23,-3.49
200409,-3.26,-3.50
200410,0.66,0.56
200411,0.34,0.39
200412,1.66,1.83
200501,2.33,2.32
200502,2.28,2.18
200503,2.21,2.11
200504,2.09,2.03
200505,3.17,3.00
200506,3.83,3.55
200507,4.58,4.26
200508,3.99,3.73
200509,3.29,3.05
200510,2.48,2.38
200511,1.54,1.59
200512,3.46,3.63
200601,3.49,3.48
200602,2.44,2.34
200603,3.71,3.61
200604,4.61,4.55
200605,3.98,3.81
