#  California Maximum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,52.9,1.0
199702,57.7,2.1
199703,67.7,7.7
199704,68.1,1.6
199705,81.8,7.7
199706,81.8,-1.0
199707,88.8,-1.1
199708,89.3,0.4
199709,84.3,1.2
199710,72.1,-0.8
199711,61.4,0.5
199712,51.7,-1.2
199801,53.4,1.5
199802,51.0,-4.6
199803,59.9,-0.1
199804,63.1,-3.4
199805,65.4,-8.7
199806,78.0,-4.8
199807,90.7,0.8
199808,92.7,3.8
199809,82.3,-0.8
199810,70.8,-2.1
199811,58.9,-2.0
199812,52.8,-0.1
199901,55.4,3.5
199902,55.1,-0.5
199903,58.6,-1.4
199904,63.2,-3.3
199905,74.1,0.0
199906,82.3,-0.5
199907,88.1,-1.8
199908,87.1,-1.8
199909,85.6,2.5
199910,79.0,6.1
199911,64.6,3.7
199912,57.0,4.1
200001,54.9,3.0
200002,56.0,0.4
200003,61.7,1.7
200004,71.1,4.6
200005,77.3,3.2
200006,87.0,4.2
200007,88.5,-1.4
200008,89.8,0.9
200009,83.6,0.5
200010,70.2,-2.7
200011,57.2,-3.7
200012,57.7,4.8
200101,52.6,0.7
200102,52.6,-3.0
200103,64.3,4.3
200104,64.4,-2.1
200105,83.8,9.7
200106,86.3,3.5
200107,88.8,-1.1
200108,91.4,2.5
200109,86.1,3.0
200110,77.5,4.6
200111,61.7,0.8
200112,51.2,-1.7
200201,52.5,0.6
200202,60.7,5.1
200203,61.0,1.0
200204,68.7,2.2
200205,75.5,1.4
200206,86.5,3.7
200207,92.6,2.7
200208,90.0,1.1
200209,86.0,2.9
200210,73.2,0.3
200211,64.0,3.1
200212,52.9,0.0
200301,60.1,8.2
200302,56.2,0.6
200303,63.0,3.0
200304,60.7,-5.8
200305,75.4,1.3
200306,86.1,3.3
200307,93.8,3.9
200308,89.2,0.3
200309,88.0,4.9
200310,80.2,7.3
200311,56.7,-4.2
200312,52.8,-0.1
200401,53.0,1.1
200402,53.6,-2.0
200403,70.2,10.2
200404,70.7,4.2
200405,77.2,3.1
200406,85.2,2.4
200407,91.0,1.1
200408,89.7,0.8
200409,84.5,1.4
200410,69.9,-3.0
200411,57.9,-3.0
200412,54.1,1.2
200501,52.4,0.5
200502,56.1,0.5
200503,62.2,2.2
200504,65.6,-0.9
200505,74.8,0.7
200506,79.9,-2.9
200507,93.5,3.6
200508,91.0,2.1
200509,81.7,-1.4
200510,73.0,0.1
200511,64.0,3.1
200512,55.5,2.6
200601,54.2,2.3
200602,60.1,4.5
200603,53.7,-6.3
200604,63.9,-2.6
200605,78.5,4.4
200606,87.8,5.0
200607,94.2,4.3
200608,89.2,0.3
200609,84.8,1.7
200610,72.2,-0.7
200611,62.2,1.3
200612,54.7,1.8
200701,53.6,1.7
200702,57.0,1.4
200703,68.0,8.0
200704,69.4,2.9
200705,78.6,4.5
200706,85.9,3.1
200707,91.8,1.9
200708,91.1,2.2
200709,81.5,-1.6
200710,71.1,-1.8
200711,65.6,4.7
200712,50.7,-2.2
200801,49.7,-2.2
200802,56.9,1.3
200803,63.1,3.1
200804,68.4,1.9
200805,75.1,1.0
200806,86.7,3.9
200807,91.4,1.5
