#  Colorado Cooling Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,0,0
199702,0,0
199703,0,0
199704,0,0
199705,1,-1
199706,54,8
199707,117,8
199708,64,-11
199709,26,12
199710,0,0
199711,0,0
199712,0,0
199801,0,0
199802,0,0
199803,0,0
199804,0,0
199805,8,6
199806,26,-20
199807,149,40
199808,85,10
199809,51,37
199810,0,0
199811,0,0
199812,0,0
199901,0,0
199902,0,0
199903,0,0
199904,0,0
199905,0,-2
199906,34,-12
199907,146,37
199908,83,8
199909,3,-11
199910,0,0
199911,0,0
199912,0,0
200001,0,0
200002,0,0
200003,0,0
200004,0,0
200005,10,8
200006,55,9
200007,179,70
200008,153,78
200009,21,7
200010,0,0
200011,0,0
200012,0,0
200101,0,0
200102,0,0
200103,0,0
200104,0,0
200105,2,0
200106,71,25
200107,194,85
200108,105,30
200109,26,12
200110,0,0
200111,0,0
200112,0,0
200201,0,0
200202,0,0
200203,0,0
200204,0,0
200205,2,0
200206,123,77
200207,208,99
200208,95,20
200209,17,3
200210,0,0
200211,0,0
200212,0,0
200301,0,0
200302,0,0
200303,0,0
200304,0,0
200305,3,1
200306,24,-22
200307,241,132
200308,137,62
200309,7,-7
200310,0,0
200311,0,0
200312,0,0
200401,0,0
200402,0,0
200403,0,0
200404,0,0
200405,4,2
200406,30,-16
200407,76,-33
200408,34,-41
200409,15,1
200410,0,0
200411,0,0
200412,0,0
200501,0,0
200502,0,0
200503,0,0
200504,0,0
200505,2,0
200506,43,-3
200507,185,76
200508,68,-7
200509,32,18
200510,0,0
200511,0,0
200512,0,0
200601,0,0
200602,0,0
200603,0,0
200604,0,0
200605,8,6
200606,107,61
200607,174,65
200608,84,9
200609,1,-13
200610,0,0
200611,0,0
200612,0,0
200701,0,0
200702,0,0
200703,0,0
200704,0,0
200705,2,0
200706,56,10
200707,174,65
200708,148,73
200709,25,11
200710,0,0
200711,0,0
200712,0,0
200801,0,0
200802,0,0
200803,0,0
200804,0,0
200805,1,-1
200806,45,-1
200807,169,60
200808,72,-3
200809,10,-4
200810,0,0
200811,0,0
200812,0,0
200901,0,0
200902,0,0
200903,0,0
200904,0,0
200905,2,0
200906,30,-16
200907,87,-22
200908,57,-18
200909,10,-4
200910,0,0
200911,0,0
200912,0,0
201001,0,0
201002,0,0
201003,0,0
201004,0,0
201005,1,-1
201006,71,25
201007,136,27
201008,107,32
201009,36,22
201010,0,0
201011,0,0
201012,0,0
201101,0,0
201102,0,0
201103,0,0
201104,0,0
201105,0,-2
201106,61,15
201107,183,74
201108,165,90
201109,15,1
201110,0,0
201111,0,0
201112,0,0
201201,0,0
201202,0,0
201203,0,0
201204,0,0
201205,7,5
201206,142,96
201207,206,97
201208,121,46
201209,22,8
201210,0,0
201211,0,0
201212,0,0
201301,0,0
201302,0,0
201303,0,0
201304,0,0
201305,2,0
201306,92,46
201307,124,15
201308,112,37
201309,35,21
201310,0,0
201311,0,0
201312,0,0
201401,0,0
201402,0,0
201403,0,0
201404,0,0
201405,2,0
201406,51,5
201407,122,13
201408,64,-11
201409,22,8
201410,0,0
201411,0,0
201412,0,0
201501,0,0
201502,0,0
201503,0,0
201504,0,0
201505,0,-2
201506,84,38
201507,98,-11
201508,103,28
201509,53,39
201510,0,0
201511,0,0
201512,0,0
201601,0,0
201602,0,0
201603,0,0
201604,0,0
201605,0,-2
201606,109,63
201607,158,49
201608,63,-12
201609,27,13
201610,1,1
201611,0,0
201612,0,0
201701,0,0
201702,0,0
201703,0,0
201704,0,0
201705,0,-2
201706,77,31
201707,165,56
201708,56,-19
201709,20,6
201710,0,0
201711,0,0
201712,0,0
201801,0,0
201802,0,0
201803,0,0
201804,0,0
201805,15,13
201806,111,65
201807,156,47
201808,74,-1
201809,39,25
201810,0,0
201811,0,0
201812,0,0
201901,0,0
201902,0,0
201903,0,0
201904,0,0
201905,0,-2
201906,33,-13
201907,153,44
201908,129,54
201909,57,43
201910,0,0
201911,0,0
201912,0,0
202001,0,0
202002,0,0
202003,0,0
202004,0,0
202005,4,2
202006,94,48
202007,162,53
202008,176,101
202009,16,2
202010,0,0
202011,0,0
202012,0,0
202101,0,0
202102,0,0
202103,0,0
202104,0,0
202105,1,-1
202106,96,50
202107,168,59
202108,113,38
202109,50,36
202110,0,0
202111,0,0
202112,0,0
202201,0,0
202202,0,0
202203,0,0
202204,0,0
202205,2,0
202206,76,30
202207,190,81
202208,128,53
202209,48,34
202210,0,0
202211,0,0
202212,0,0
