#  Colorado Heating Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,1247,-11
199702,1046,5
199703,820,-147
199704,807,137
199705,382,-24
199706,118,-31
199707,23,-8
199708,54,1
199709,168,-69
199710,577,9
199711,990,56
199712,1220,9
199801,1111,-147
199802,969,-72
199803,968,1
199804,705,35
199805,314,-92
199806,195,46
199807,11,-20
199808,35,-18
199809,111,-126
199810,558,-10
199811,798,-136
199812,1191,-20
199901,1073,-185
199902,859,-182
199903,798,-169
199904,750,80
199905,438,32
199906,159,10
199907,14,-17
199908,43,-10
199909,299,62
199910,535,-33
199911,696,-238
199912,1102,-109
200001,1098,-160
200002,840,-201
200003,864,-103
200004,561,-109
200005,282,-124
200006,115,-34
200007,7,-24
200008,12,-41
200009,191,-46
200010,546,-22
200011,1137,203
200012,1224,13
200101,1214,-44
200102,1043,2
200103,903,-64
200104,576,-94
200105,360,-46
200106,96,-53
200107,3,-28
200108,27,-26
200109,160,-77
200110,537,-31
200111,806,-128
200112,1151,-60
200201,1203,-55
200202,1034,-7
200203,1036,69
200204,539,-131
200205,377,-29
200206,54,-95
200207,1,-30
200208,33,-20
200209,200,-37
200210,699,131
200211,936,2
200212,1118,-93
200301,1006,-252
200302,1096,55
200303,876,-91
200304,570,-100
200305,349,-57
200306,186,37
200307,0,-31
200308,15,-38
200309,266,29
200310,419,-149
200311,956,22
200312,1104,-107
200401,1161,-97
200402,1064,23
200403,716,-251
200404,612,-58
200405,317,-89
200406,169,20
200407,40,9
200408,87,34
200409,214,-23
200410,546,-22
200411,930,-4
200412,1105,-106
200501,1076,-182
200502,934,-107
200503,912,-55
200504,649,-21
200505,374,-32
200506,146,-3
200507,6,-25
200508,53,0
200509,157,-80
200510,515,-53
200511,804,-130
200512,1206,-5
200601,1031,-227
200602,1047,6
200603,936,-31
200604,529,-141
200605,299,-107
200606,64,-85
200607,7,-24
200608,39,-14
200609,336,99
200610,615,47
200611,849,-85
200612,1171,-40
200701,1425,167
200702,1050,9
200703,740,-227
200704,663,-7
200705,347,-59
200706,111,-38
200707,7,-24
200708,14,-39
200709,173,-64
200710,496,-72
200711,812,-122
200712,1318,107
200801,1341,83
200802,1021,-20
200803,945,-22
200804,718,48
200805,423,17
200806,142,-7
200807,9,-22
200808,46,-7
200809,244,7
200810,542,-26
200811,782,-152
200812,1240,29
200901,1105,-153
200902,897,-144
200903,861,-106
200904,689,19
200905,334,-72
200906,177,28
200907,37,6
200908,61,8
200909,230,-7
200910,775,207
200911,810,-124
200912,1377,166
201001,1182,-76
201002,1127,86
201003,906,-61
201004,635,-35
201005,465,59
201006,102,-47
201007,15,-16
201008,28,-25
201009,144,-93
201010,480,-88
201011,925,-9
201012,1048,-163
201101,1242,-16
201102,1139,98
201103,830,-137
201104,654,-16
201105,494,88
201106,120,-29
201107,10,-21
201108,11,-42
201109,208,-29
201110,549,-19
201111,891,-43
201112,1249,38
201201,1071,-187
201202,1071,30
201203,682,-285
201204,488,-182
201205,307,-99
201206,42,-107
201207,3,-28
201208,19,-34
201209,173,-64
201210,595,27
201211,764,-170
201212,1182,-29
201301,1246,-12
201302,1086,45
201303,950,-17
201304,790,120
201305,380,-26
201306,77,-72
201307,16,-15
201308,24,-29
201309,147,-90
201310,646,78
201311,874,-60
201312,1244,33
201401,1178,-80
201402,1095,54
201403,893,-74
201404,637,-33
201405,387,-19
201406,128,-21
201407,17,-14
201408,61,8
201409,177,-60
201410,465,-103
201411,964,30
201412,1153,-58
201501,1101,-157
201502,939,-102
201503,762,-205
201504,604,-66
201505,481,75
201506,81,-68
201507,32,1
201508,28,-25
201509,112,-125
201510,417,-151
201511,906,-28
201512,1205,-6
201601,1189,-69
201602,888,-153
201603,842,-125
201604,639,-31
201605,450,44
201606,60,-89
201607,12,-19
201608,57,4
201609,169,-68
201610,399,-169
201611,723,-211
201612,1244,33
201701,1227,-31
201702,814,-227
201703,683,-284
201704,618,-52
201705,420,14
201706,89,-60
201707,8,-23
201708,58,5
201709,187,-50
201710,580,12
201711,714,-220
201712,1081,-130
201801,1080,-178
201802,1043,2
201803,836,-131
201804,650,-20
201805,263,-143
201806,63,-86
201807,9,-22
201808,44,-9
201809,128,-109
201810,625,57
201811,966,32
201812,1165,-46
201901,1174,-84
201902,1115,74
201903,996,29
201904,587,-83
201905,539,133
201906,162,13
201907,11,-20
201908,18,-35
201909,110,-127
201910,758,190
201911,911,-23
201912,1117,-94
202001,1113,-145
202002,1092,51
202003,815,-152
202004,674,4
202005,308,-98
202006,79,-70
202007,10,-21
202008,7,-46
202009,197,-40
202010,588,20
202011,783,-151
202012,1148,-63
202101,1156,-102
202102,1153,112
202103,914,-53
202104,689,19
202105,392,-14
202106,69,-80
202107,7,-24
202108,24,-29
202109,116,-121
202110,512,-56
202111,717,-217
202112,974,-237
202201,1184,-74
202202,1126,85
202203,922,-45
202204,641,-29
202205,376,-30
202206,90,-59
202207,6,-25
202208,16,-37
202209,116,-121
202210,521,-47
202211,1003,69
202212,1211,0
