#  Colorado Precipitation
# Units: Inches
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,1.74,0.68
199702,1.06,-0.03
199703,0.51,-1.01
199704,2.45,0.61
199705,1.91,-0.11
199706,2.21,0.67
199707,2.14,0.04
199708,3.45,1.42
199709,2.43,1.00
199710,2.25,0.90
199711,1.23,0.16
199712,0.86,-0.22
199801,0.80,-0.26
199802,1.08,-0.01
199803,1.85,0.33
199804,1.77,-0.07
199805,1.06,-0.96
199806,1.21,-0.33
199807,3.79,1.69
199808,1.85,-0.18
199809,0.89,-0.54
199810,2.50,1.15
199811,1.34,0.27
199812,0.63,-0.45
199901,1.07,0.01
199902,0.66,-0.43
199903,0.72,-0.80
199904,4.38,2.54
199905,2.64,0.62
199906,1.64,0.10
199907,2.59,0.49
199908,3.27,1.24
199909,1.39,-0.04
199910,0.57,-0.78
199911,0.37,-0.70
199912,0.73,-0.35
200001,1.25,0.19
200002,1.19,0.10
200003,2.55,1.03
200004,1.32,-0.52
200005,1.20,-0.82
200006,1.00,-0.54
200007,1.63,-0.47
200008,2.01,-0.02
200009,1.35,-0.08
200010,1.76,0.41
200011,0.83,-0.24
200012,0.82,-0.26
200101,1.02,-0.04
200102,1.14,0.05
200103,1.42,-0.10
200104,1.65,-0.19
200105,2.69,0.67
200106,0.94,-0.60
200107,2.44,0.34
200108,1.97,-0.06
200109,1.04,-0.39
200110,0.65,-0.70
200111,1.20,0.13
200112,0.65,-0.43
200201,0.64,-0.42
200202,0.48,-0.61
200203,0.87,-0.65
200204,0.57,-1.27
200205,0.57,-1.45
200206,0.87,-0.67
200207,1.02,-1.08
200208,1.49,-0.54
200209,2.10,0.67
200210,1.62,0.27
200211,0.98,-0.09
200212,0.64,-0.44
200301,0.44,-0.62
200302,1.49,0.40
200303,2.19,0.67
200304,1.57,-0.27
200305,1.75,-0.27
200306,2.07,0.53
200307,1.02,-1.08
200308,1.85,-0.18
200309,1.44,0.01
200310,0.37,-0.98
200311,1.34,0.27
200312,0.91,-0.17
200401,0.90,-0.16
200402,1.27,0.18
200403,0.61,-0.91
200404,3.15,1.31
200405,0.70,-1.32
200406,1.99,0.45
200407,2.36,0.26
200408,1.85,-0.18
200409,2.17,0.74
200410,1.47,0.12
200411,1.69,0.62
200412,0.77,-0.31
200501,1.97,0.91
200502,1.06,-0.03
200503,1.40,-0.12
200504,1.97,0.13
200505,1.49,-0.53
200506,2.20,0.66
200507,1.05,-1.05
200508,2.23,0.20
200509,1.35,-0.08
200510,2.33,0.98
200511,0.89,-0.18
200512,1.01,-0.07
200601,0.97,-0.09
200602,0.46,-0.63
200603,1.62,0.10
200604,0.91,-0.93
200605,0.91,-1.11
200606,0.81,-0.73
200607,3.00,0.90
200608,2.66,0.63
200609,2.19,0.76
200610,2.83,1.48
200611,0.80,-0.27
200612,1.51,0.43
200701,1.00,-0.06
200702,0.96,-0.13
200703,1.09,-0.43
200704,2.08,0.24
200705,2.09,0.07
200706,1.17,-0.37
200707,2.00,-0.10
200708,2.41,0.38
200709,1.80,0.37
200710,1.13,-0.22
200711,0.40,-0.67
200712,2.58,1.50
200801,1.60,0.54
200802,1.44,0.35
200803,1.01,-0.51
200804,1.14,-0.70
200805,1.55,-0.47
200806,0.98,-0.56
200807,1.48,-0.62
200808,3.14,1.11
200809,1.10,-0.33
200810,1.27,-0.08
200811,0.92,-0.15
200812,1.83,0.75
200901,0.98,-0.08
200902,0.78,-0.31
200903,1.13,-0.39
200904,2.36,0.52
200905,1.94,-0.08
200906,2.64,1.10
200907,2.31,0.21
200908,1.18,-0.85
200909,1.46,0.03
200910,2.10,0.75
200911,0.61,-0.46
200912,1.30,0.22
201001,0.88,-0.18
201002,1.21,0.12
201003,1.74,0.22
201004,2.13,0.29
201005,1.34,-0.68
201006,1.35,-0.19
201007,2.46,0.36
201008,2.34,0.31
201009,0.73,-0.70
201010,1.41,0.06
201011,0.95,-0.12
201012,1.65,0.57
201101,0.71,-0.35
201102,1.17,0.08
201103,1.16,-0.36
201104,2.10,0.26
201105,2.57,0.55
201106,0.94,-0.60
201107,2.54,0.44
201108,1.60,-0.43
201109,1.27,-0.16
201110,1.66,0.31
201111,0.99,-0.08
201112,0.91,-0.17
201201,0.69,-0.37
201202,1.36,0.27
201203,0.45,-1.07
201204,1.38,-0.46
201205,0.91,-1.11
201206,0.42,-1.12
