#  Colorado Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,2.24,1.85
199702,2.36,1.95
199703,1.47,1.09
199704,2.18,1.80
199705,1.92,1.57
199706,2.39,2.12
199707,2.57,2.12
199708,3.82,3.33
199709,4.37,3.87
199710,4.80,4.32
199711,4.80,4.34
199712,4.51,4.12
199801,4.24,3.85
199802,4.26,3.85
199803,4.58,4.20
199804,4.35,3.97
199805,3.12,2.77
199806,2.62,2.35
199807,3.62,3.17
199808,3.32,2.83
199809,2.40,1.90
199810,3.07,2.59
199811,2.85,2.39
199812,-0.28,-0.67
199901,-0.21,-0.60
199902,-0.57,-0.98
199903,-1.52,-1.90
199904,1.93,1.55
199905,2.39,2.04
199906,2.51,2.24
199907,3.13,2.68
199908,4.29,3.80
199909,4.15,3.65
199910,-0.50,-0.98
199911,-1.48,-1.94
199912,-1.74,-2.13
200001,-1.61,-2.00
200002,-1.69,-2.10
200003,-1.12,-1.50
200004,-1.51,-1.89
200005,-2.22,-2.57
200006,-2.61,-2.88
200007,-3.14,-3.59
200008,-3.22,-3.71
200009,-3.15,-3.65
200010,-2.54,-3.02
200011,-2.42,-2.88
200012,-2.55,-2.94
200101,-2.58,-2.97
200102,-2.55,-2.96
200103,-2.73,-3.11
200104,-2.85,-3.23
200105,-2.28,-2.63
200106,-2.67,-2.94
200107,-2.46,-2.91
200108,-2.38,-2.87
200109,-2.62,-3.12
200110,-2.93,-3.41
200111,-2.89,-3.35
200112,-3.17,-3.56
200201,-3.56,-3.95
200202,-4.22,-4.63
200203,-4.74,-5.12
200204,-5.74,-6.12
200205,-6.79,-7.14
200206,-7.84,-8.11
200207,-9.00,-9.45
200208,-9.09,-9.58
200209,-7.85,-8.35
200210,-6.66,-7.14
200211,-6.12,-6.58
200212,-6.05,-6.44
200301,-6.27,-6.66
200302,-5.83,-6.24
200303,-5.31,-5.69
200304,-5.15,-5.53
200305,-5.01,-5.36
200306,-4.21,-4.48
200307,-4.86,-5.31
200308,-4.88,-5.37
200309,-4.43,-4.93
200310,-4.97,-5.45
200311,-4.28,-4.74
200312,-4.11,-4.50
200401,-4.03,-4.42
200402,-3.71,-4.12
200403,-4.73,-5.11
200404,-3.63,-4.01
200405,-4.47,-4.82
200406,0.05,-0.22
200407,0.18,-0.27
200408,0.16,-0.33
200409,0.76,0.26
200410,0.83,0.35
200411,1.28,0.82
200412,0.96,0.57
200501,1.66,1.27
200502,1.80,1.39
200503,1.80,1.42
200504,1.82,1.44
200505,1.25,0.90
200506,1.74,1.47
200507,-0.64,-1.09
200508,-0.40,-0.89
200509,-0.56,-1.06
200510,0.70,0.22
200511,-0.35,-0.81
200512,-0.45,-0.84
200601,-0.58,-0.97
200602,-1.18,-1.59
200603,-1.30,-1.68
200604,-2.16,-2.54
200605,-3.20,-3.55
200606,-4.17,-4.44
200607,-0.04,-0.49
200608,0.30,-0.19
200609,1.00,0.50
200610,2.15,1.67
200611,1.67,1.21
200612,1.95,1.56
200701,1.89,1.50
200702,1.83,1.42
200703,-0.55,-0.93
200704,-0.29,-0.67
200705,-0.23,-0.58
200706,-0.32,-0.59
200707,-0.39,-0.84
200708,0.19,-0.30
200709,0.38,-0.12
200710,-0.20,-0.68
200711,-1.08,-1.54
200712,1.04,0.65
200801,1.42,1.03
200802,1.80,1.39
200803,0.01,-0.37
200804,-0.19,-0.57
200805,-0.36,-0.71
200806,-0.55,-0.82
200807,-1.06,-1.51
200808,0.89,0.40
200809,-0.24,-0.74
200810,-0.28,-0.76
200811,-0.74,-1.20
200812,-0.20,-0.59
200901,-0.31,-0.70
200902,-0.61,-1.02
200903,-1.17,-1.55
200904,0.40,0.02
200905,0.17,-0.18
200906,1.12,0.85
200907,1.63,1.18
200908,1.11,0.62
200909,1.10,0.60
200910,1.94,1.46
200911,1.27,0.81
200912,1.41,1.02
201001,1.25,0.86
201002,1.38,0.97
201003,1.53,1.15
201004,1.68,1.30
201005,1.23,0.88
201006,1.05,0.78
201007,1.19,0.74
201008,1.37,0.88
201009,-0.70,-1.20
201010,-0.67,-1.15
201011,-0.73,-1.19
201012,-0.28,-0.67
201101,-0.56,-0.95
201102,-0.52,-0.93
201103,-1.01,-1.39
201104,0.18,-0.20
201105,0.80,0.45
201106,0.45,0.18
201107,0.85,0.40
201108,-0.38,-0.87
201109,-0.50,-1.00
201110,-0.19,-0.67
201111,-0.32,-0.78
201112,-0.54,-0.93
201201,-0.95,-1.34
201202,-0.89,-1.30
201203,-2.31,-2.69
201204,-3.04,-3.42
201205,-4.15,-4.50
201206,-5.67,-5.94
201207,-6.00,-6.45
201208,-6.75,-7.24
201209,-6.46,-6.96
201210,-6.28,-6.76
201211,-6.73,-7.19
201212,-6.27,-6.66
201301,-6.23,-6.62
201302,-6.35,-6.76
201303,-6.68,-7.06
201304,-6.09,-6.47
201305,-6.03,-6.38
201306,-6.71,-6.98
201307,-6.40,-6.85
201308,-5.90,-6.39
201309,1.74,1.24
201310,1.99,1.51
201311,1.81,1.35
201312,1.42,1.03
201401,1.34,0.95
201402,1.31,0.90
201403,0.83,0.45
201404,0.43,0.05
201405,0.47,0.12
201406,0.18,-0.09
201407,0.66,0.21
201408,1.26,0.77
201409,1.64,1.14
201410,-0.28,-0.76
201411,0.09,-0.37
201412,0.29,-0.10
201501,-0.29,-0.68
201502,-0.06,-0.47
201503,-0.92,-1.30
201504,-0.97,-1.35
201505,2.56,2.21
201506,2.71,2.44
201507,3.10,2.65
201508,2.77,2.28
201509,1.82,1.32
201510,1.80,1.32
201511,2.07,1.61
201512,2.24,1.85
201601,2.13,1.74
201602,1.88,1.47
201603,1.39,1.01
201604,1.92,1.54
201605,1.93,1.58
201606,-0.08,-0.35
201607,-0.43,-0.88
201608,-0.31,-0.80
201609,-0.73,-1.23
201610,-1.54,-2.02
201611,-2.05,-2.51
201612,0.21,-0.18
201701,1.01,0.62
201702,-0.18,-0.59
201703,-0.98,-1.36
201704,0.10,-0.28
201705,0.73,0.38
201706,0.06,-0.21
201707,0.70,0.25
201708,0.67,0.18
201709,1.03,0.53
201710,-0.24,-0.72
201711,-1.24,-1.70
201712,-1.94,-2.33
201801,-2.40,-2.79
201802,-2.71,-3.12
201803,-3.67,-4.05
201804,-3.97,-4.35
201805,-4.63,-4.98
201806,-5.63,-5.90
201807,-5.97,-6.42
201808,-6.27,-6.76
201809,-6.65,-7.15
201810,0.87,0.39
201811,0.71,0.25
