#  Colorado Palmer Hydrological Drought Index (PHDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,2.24,1.78
199702,2.36,1.94
199703,1.47,1.09
199704,2.18,1.69
199705,1.92,1.44
199706,2.39,1.92
199707,2.57,1.99
199708,3.82,3.12
199709,4.37,3.71
199710,4.80,4.15
199711,4.80,4.20
199712,4.51,3.98
199801,4.24,3.78
199802,4.26,3.84
199803,4.58,4.20
199804,4.35,3.86
199805,3.12,2.64
199806,2.62,2.15
199807,3.62,3.04
199808,3.32,2.62
199809,2.40,1.74
199810,3.07,2.42
199811,2.85,2.25
199812,2.28,1.75
199901,2.08,1.62
199902,1.49,1.07
199903,-1.52,-1.90
199904,1.93,1.44
199905,2.39,1.91
199906,2.51,2.04
199907,3.13,2.55
199908,4.29,3.59
199909,4.15,3.49
199910,3.23,2.58
199911,1.86,1.26
199912,1.26,0.73
200001,1.08,0.62
200002,0.72,0.30
200003,1.04,0.66
200004,-1.51,-2.00
200005,-2.22,-2.70
200006,-2.61,-3.08
200007,-3.14,-3.72
200008,-3.22,-3.92
200009,-3.15,-3.81
200010,-2.54,-3.19
200011,-2.42,-3.02
200012,-2.55,-3.08
200101,-2.58,-3.04
200102,-2.55,-2.97
200103,-2.73,-3.11
200104,-2.85,-3.34
200105,-2.28,-2.76
200106,-2.67,-3.14
200107,-2.46,-3.04
200108,-2.38,-3.08
200109,-2.62,-3.28
200110,-2.93,-3.58
200111,-2.89,-3.49
200112,-3.17,-3.70
200201,-3.56,-4.02
200202,-4.22,-4.64
200203,-4.74,-5.12
200204,-5.74,-6.23
200205,-6.79,-7.27
200206,-7.84,-8.31
200207,-9.00,-9.58
200208,-9.09,-9.79
200209,-7.85,-8.51
200210,-6.66,-7.31
200211,-6.12,-6.72
200212,-6.05,-6.58
200301,-6.27,-6.73
200302,-5.83,-6.25
200303,-5.31,-5.69
200304,-5.15,-5.64
200305,-5.01,-5.49
200306,-4.21,-4.68
200307,-4.86,-5.44
200308,-4.88,-5.58
200309,-4.43,-5.09
200310,-4.97,-5.62
200311,-4.28,-4.88
200312,-4.11,-4.64
200401,-4.03,-4.49
200402,-3.71,-4.13
200403,-4.73,-5.11
200404,-3.63,-4.12
200405,-4.47,-4.95
200406,-3.96,-4.43
200407,-3.41,-3.99
200408,-3.06,-3.76
200409,-2.13,-2.79
200410,-1.76,-2.41
200411,-1.05,-1.65
200412,-1.13,-1.66
200501,1.66,1.20
200502,1.80,1.38
200503,1.80,1.42
200504,1.82,1.33
200505,1.25,0.77
200506,1.74,1.27
200507,0.93,0.35
200508,1.00,0.30
200509,0.70,0.04
200510,1.33,0.68
200511,0.84,0.24
200512,0.62,0.09
200601,-0.58,-1.04
200602,-1.18,-1.60
200603,-1.30,-1.68
200604,-2.16,-2.65
200605,-3.20,-3.68
200606,-4.17,-4.64
200607,-3.78,-4.36
200608,-3.09,-3.79
200609,-2.04,-2.70
200610,-0.57,-1.22
200611,-0.77,-1.37
200612,1.95,1.42
200701,1.89,1.43
200702,1.83,1.41
200703,1.09,0.71
200704,1.18,0.69
200705,1.09,0.61
200706,0.87,0.40
200707,0.67,0.09
200708,0.79,0.09
