#  Colorado Palmer Modified Drought Index (PMDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,2.24,1.89
199702,2.36,1.98
199703,0.56,0.20
199704,2.18,1.75
199705,1.80,1.44
199706,2.39,2.02
199707,2.57,2.04
199708,3.82,3.22
199709,4.37,3.84
199710,4.80,4.24
199711,4.80,4.34
199712,4.51,4.12
199801,4.24,3.89
199802,4.26,3.88
199803,4.58,4.22
199804,4.35,3.92
199805,2.15,1.79
199806,1.43,1.06
199807,3.62,3.09
199808,3.32,2.72
199809,1.65,1.12
199810,3.07,2.51
199811,2.85,2.39
199812,1.87,1.48
199901,1.67,1.32
199902,0.56,0.18
199903,-1.52,-1.88
199904,1.93,1.50
199905,2.39,2.03
199906,2.51,2.14
199907,3.13,2.60
199908,4.29,3.69
199909,4.15,3.62
199910,2.59,2.03
199911,0.01,-0.45
199912,-0.98,-1.37
200001,-1.09,-1.44
200002,-1.54,-1.92
200003,-0.71,-1.07
200004,-1.51,-1.94
200005,-2.22,-2.58
200006,-2.61,-2.98
200007,-3.14,-3.67
200008,-3.22,-3.82
200009,-3.15,-3.68
200010,-2.13,-2.69
200011,-2.13,-2.59
200012,-2.55,-2.94
200101,-2.58,-2.93
200102,-2.55,-2.93
200103,-2.73,-3.09
200104,-2.85,-3.28
200105,-1.88,-2.24
200106,-2.67,-3.04
200107,-2.46,-2.99
200108,-2.38,-2.98
200109,-2.62,-3.15
200110,-2.93,-3.49
200111,-2.89,-3.35
200112,-3.17,-3.56
200201,-3.56,-3.91
200202,-4.22,-4.60
200203,-4.74,-5.10
200204,-5.74,-6.17
200205,-6.79,-7.15
200206,-7.84,-8.21
200207,-9.00,-9.53
200208,-9.09,-9.69
200209,-7.47,-8.00
200210,-5.83,-6.39
200211,-5.39,-5.85
200212,-5.86,-6.25
200301,-6.27,-6.62
200302,-5.83,-6.21
200303,-5.31,-5.67
200304,-5.15,-5.58
200305,-5.01,-5.37
200306,-3.84,-4.21
200307,-4.86,-5.39
200308,-4.88,-5.48
200309,-4.43,-4.96
200310,-4.97,-5.53
200311,-4.02,-4.48
200312,-4.11,-4.50
200401,-4.03,-4.38
200402,-3.71,-4.09
200403,-4.73,-5.09
200404,-2.88,-3.31
200405,-4.47,-4.83
