#  Colorado Maximum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,36.6,0.2
199702,39.5,-1.1
199703,54.0,7.2
199704,51.3,-4.8
199705,66.6,0.8
199706,76.5,0.3
199707,82.3,0.4
199708,78.1,-1.6
199709,73.0,0.8
199710,60.1,-0.8
199711,43.9,-2.8
199712,35.3,-2.3
199801,40.2,3.8
199802,40.4,-0.2
199803,46.8,0.0
199804,54.3,-1.8
199805,69.4,3.6
199806,74.6,-1.6
199807,82.8,0.9
199808,80.5,0.8
199809,77.6,5.4
199810,59.9,-1.0
199811,49.5,2.8
199812,39.6,2.0
199901,41.7,5.3
199902,47.7,7.1
199903,53.7,6.9
199904,52.6,-3.5
199905,63.9,-1.9
199906,75.3,-0.9
199907,82.1,0.2
199908,78.6,-1.1
199909,69.5,-2.7
199910,64.8,3.9
199911,57.3,10.6
199912,40.7,3.1
200001,41.0,4.6
200002,47.5,6.9
200003,49.1,2.3
200004,61.9,5.8
200005,71.5,5.7
200006,78.7,2.5
200007,85.4,3.5
200008,84.2,4.5
200009,74.9,2.7
200010,60.6,-0.3
200011,39.2,-7.5
200012,38.2,0.6
200101,37.6,1.2
200102,39.7,-0.9
200103,47.9,1.1
200104,59.6,3.5
200105,68.0,2.2
200106,79.8,3.6
200107,85.1,3.2
200108,81.6,1.9
200109,76.2,4.0
200110,63.0,2.1
200111,51.3,4.6
200112,39.2,1.6
200201,38.4,2.0
200202,41.9,1.3
200203,46.9,0.1
200204,62.6,6.5
200205,69.2,3.4
200206,83.7,7.5
200207,87.1,5.2
200208,82.3,2.6
200209,72.0,-0.2
200210,56.3,-4.6
200211,46.2,-0.5
200212,39.8,2.2
200301,44.6,8.2
200302,38.2,-2.4
200303,49.4,2.6
200304,59.3,3.2
200305,68.0,2.2
200306,74.4,-1.8
200307,89.3,7.4
200308,83.3,3.6
200309,72.1,-0.1
200310,67.3,6.4
200311,44.7,-2.0
200312,41.5,3.9
200401,39.3,2.9
200402,38.8,-1.8
200403,56.7,9.9
200404,57.4,1.3
200405,69.9,4.1
200406,75.7,-0.5
200407,80.5,-1.4
200408,77.8,-1.9
200409,72.1,-0.1
200410,59.6,-1.3
200411,44.9,-1.8
200412,40.9,3.3
200501,41.4,5.0
200502,43.5,2.9
200503,48.3,1.5
200504,57.5,1.4
200505,67.6,1.8
200506,75.9,-0.3
200507,86.8,4.9
200508,79.4,-0.3
200509,75.3,3.1
200510,61.9,1.0
200511,51.0,4.3
200512,38.6,1.0
200601,43.5,7.1
200602,42.6,2.0
200603,48.0,1.2
200604,62.8,6.7
200605,71.3,5.5
200606,82.1,5.9
200607,83.8,1.9
200608,79.1,-0.6
200609,67.5,-4.7
200610,57.6,-3.3
200611,50.0,3.3
200612,38.4,0.8
200701,31.9,-4.5
