#  Colorado Minimum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,12.8,1.8
199702,14.9,0.6
199703,22.7,2.2
199704,25.5,-3.4
199705,38.5,0.6
199706,48.0,1.7
199707,52.1,-0.1
199708,51.8,1.1
199709,46.6,4.1
199710,31.7,-0.3
199711,20.5,0.1
199712,13.8,1.0
199801,16.3,5.3
199802,18.6,4.3
199803,20.6,0.1
199804,27.6,-1.3
199805,39.4,1.5
199806,44.1,-2.2
199807,55.2,3.0
199808,51.8,1.1
199809,47.4,4.9
199810,34.0,2.0
199811,25.8,5.4
199812,13.4,0.6
199901,17.9,6.9
199902,18.9,4.6
199903,24.8,4.3
199904,27.7,-1.2
199905,37.0,-0.9
199906,45.7,-0.6
199907,54.5,2.3
199908,52.4,1.7
199909,41.3,-1.2
199910,31.1,-0.9
199911,25.1,4.7
199912,15.2,2.4
200001,17.2,6.2
200002,21.1,6.8
200003,24.2,3.7
200004,31.0,2.1
200005,40.8,2.9
200006,47.3,1.0
200007,54.1,1.9
200008,53.9,3.2
200009,44.0,1.5
200010,34.2,2.2
200011,15.2,-5.2
200012,13.2,0.4
200101,11.8,0.8
200102,16.6,2.3
200103,24.2,3.7
200104,32.1,3.2
200105,39.9,2.0
200106,47.8,1.5
200107,55.4,3.2
200108,52.1,1.4
200109,44.4,1.9
200110,32.7,0.7
200111,24.4,4.0
200112,13.7,0.9
200201,12.3,1.3
200202,12.2,-2.1
200203,17.0,-3.5
200204,32.1,3.2
200205,37.6,-0.3
200206,50.4,4.1
200207,55.0,2.8
200208,51.2,0.5
200209,44.7,2.2
200210,30.1,-1.9
200211,21.2,0.8
200212,15.4,2.6
200301,18.7,7.7
200302,14.5,0.2
200303,23.9,3.4
200304,31.4,2.5
200305,39.7,1.8
200306,45.7,-0.6
200307,55.6,3.4
200308,53.5,2.8
200309,41.2,-1.3
200310,35.6,3.6
200311,21.3,0.9
200312,15.7,2.9
200401,13.0,2.0
200402,13.7,-0.6
200403,27.0,6.5
200404,31.4,2.5
200405,39.8,1.9
200406,46.0,-0.3
200407,51.4,-0.8
200408,48.6,-2.1
200409,43.3,0.8
200410,34.0,2.0
200411,22.7,2.3
200412,16.0,3.2
200501,19.0,8.0
200502,19.0,4.7
200503,22.0,1.5
200504,29.4,0.5
200505,38.8,0.9
200506,46.0,-0.3
200507,53.3,1.1
200508,50.7,0.0
200509,45.0,2.5
200510,34.6,2.6
200511,24.1,3.7
200512,13.4,0.6
200601,16.4,5.4
200602,13.4,-0.9
200603,21.7,1.2
200604,31.3,2.4
200605,39.9,2.0
200606,49.4,3.1
200607,55.5,3.3
200608,52.2,1.5
200609,39.6,-2.9
200610,32.2,0.2
200611,22.9,2.5
200612,15.3,2.5
200701,6.9,-4.1
200702,16.3,2.0
200703,26.8,6.3
200704,30.1,1.2
200705,39.5,1.6
200706,47.2,0.9
200707,54.6,2.4
200708,54.4,3.7
200709,44.9,2.4
200710,33.3,1.3
200711,23.0,2.6
200712,11.1,-1.7
200801,8.4,-2.6
200802,15.0,0.7
200803,20.1,-0.4
200804,25.9,-3.0
200805,36.3,-1.6
200806,45.5,-0.8
200807,53.5,1.3
200808,51.9,1.2
200809,42.5,0.0
200810,32.9,0.9
200811,25.2,4.8
200812,13.2,0.4
200901,15.5,4.5
200902,18.6,4.3
200903,22.7,2.2
200904,28.7,-0.2
200905,41.1,3.2
200906,46.3,0.0
200907,52.0,-0.2
200908,49.4,-1.3
200909,43.3,0.8
200910,28.5,-3.5
200911,24.1,3.7
200912,8.5,-4.3
201001,13.2,2.2
201002,12.9,-1.4
201003,22.0,1.5
201004,30.1,1.2
201005,36.1,-1.8
201006,48.8,2.5
201007,53.9,1.7
201008,52.0,1.3
201009,44.4,1.9
201010,34.8,2.8
201011,20.1,-0.3
201012,19.3,6.5
201101,10.9,-0.1
201102,10.6,-3.7
201103,24.1,3.6
201104,29.2,0.3
201105,35.8,-2.1
201106,46.9,0.6
201107,55.2,3.0
201108,53.9,3.2
201109,44.0,1.5
201110,32.8,0.8
201111,21.3,0.9
201112,11.9,-0.9
201201,15.8,4.8
201202,15.4,1.1
201203,26.6,6.1
201204,33.6,4.7
201205,39.8,1.9
201206,51.0,4.7
201207,55.6,3.4
201208,52.3,1.6
201209,44.2,1.7
201210,32.0,0.0
201211,24.5,4.1
201212,13.5,0.7
201301,9.1,-1.9
201302,12.6,-1.7
201303,21.0,0.5
201304,26.0,-2.9
201305,38.4,0.5
201306,48.9,2.6
201307,54.2,2.0
201308,52.9,2.2
201309,47.7,5.2
201310,30.9,-1.1
201311,22.5,2.1
201312,10.8,-2.0
201401,13.1,2.1
201402,15.8,1.5
201403,22.1,1.6
201404,29.6,0.7
201405,38.5,0.6
201406,47.0,0.7
201407,54.2,2.0
201408,50.9,0.2
201409,45.7,3.2
201410,35.6,3.6
201411,20.1,-0.3
201412,16.4,3.6
201501,17.3,6.3
201502,19.4,5.1
201503,26.3,5.8
201504,31.1,2.2
201505,38.4,0.5
201506,50.6,4.3
201507,52.9,0.7
201508,52.0,1.3
201509,47.2,4.7
201510,38.2,6.2
201511,21.7,1.3
201512,14.2,1.4
201601,13.2,2.2
201602,19.0,4.7
201603,23.9,3.4
201604,30.6,1.7
201605,37.5,-0.4
201606,50.5,4.2
201607,54.0,1.8
201608,50.4,-0.3
201609,44.7,2.2
201610,36.2,4.2
201611,26.4,6.0
201612,12.8,0.0
201701,14.5,3.5
201702,22.9,8.6
201703,27.9,7.4
201704,30.8,1.9
201705,37.7,-0.2
201706,48.9,2.6
201707,54.7,2.5
201708,50.6,-0.1
201709,45.2,2.7
201710,31.9,-0.1
201711,27.7,7.3
201712,16.3,3.5
201801,15.7,4.7
201802,15.8,1.5
201803,23.3,2.8
201804,29.4,0.5
201805,42.4,4.5
201806,50.1,3.8
201807,54.8,2.6
201808,51.3,0.6
201809,46.5,4.0
201810,33.0,1.0
