#  Colorado Palmer Z-Index
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,2.07,2.02
199702,1.05,0.93
199703,-1.94,-2.02
199704,2.58,2.30
199705,-0.11,-0.18
199706,2.01,1.87
199707,1.26,0.83
199708,4.57,4.11
199709,2.83,2.65
199710,2.63,2.38
199711,1.49,1.45
199712,0.59,0.54
199801,0.59,0.54
199802,1.37,1.25
199803,2.26,2.18
199804,0.75,0.47
199805,-2.37,-2.44
199806,-0.52,-0.66
199807,3.81,3.38
199808,0.21,-0.25
199809,-1.73,-1.91
199810,2.75,2.50
199811,0.28,0.24
199812,-0.83,-0.88
199901,0.12,0.07
199902,-1.14,-1.26
199903,-3.03,-3.11
199904,5.80,5.52
199905,1.97,1.90
199906,1.08,0.94
199907,2.64,2.21
199908,4.45,3.99
199909,0.92,0.74
199910,-1.50,-1.75
199911,-3.10,-3.14
199912,-1.23,-1.28
200001,-0.15,-0.20
200002,-0.75,-0.87
200003,1.20,1.12
200004,-1.51,-1.79
200005,-2.60,-2.67
200006,-1.87,-2.01
200007,-2.38,-2.81
200008,-1.23,-1.69
200009,-0.76,-0.94
200010,0.86,0.61
200011,-0.43,-0.47
200012,-1.15,-1.20
200101,-0.86,-0.91
200102,-0.72,-0.84
200103,-1.31,-1.39
200104,-1.21,-1.49
200105,0.82,0.75
200106,-1.87,-2.01
200107,-0.18,-0.61
200108,-0.54,-1.00
200109,-1.47,-1.65
200110,-1.72,-1.97
200111,-0.80,-0.84
200112,-1.74,-1.79
200201,-2.13,-2.18
200202,-3.10,-3.22
200203,-2.85,-2.93
200204,-4.46,-4.74
200205,-4.91,-4.98
200206,-5.27,-5.41
200207,-5.91,-6.34
200208,-3.04,-3.50
200209,0.91,0.73
200210,1.13,0.88
200211,-0.43,-0.47
200212,-1.69,-1.74
200301,-2.54,-2.59
200302,-0.60,-0.72
200303,-0.24,-0.32
200304,-1.16,-1.44
200305,-1.17,-1.24
200306,0.84,0.70
200307,-3.24,-3.67
200308,-1.56,-2.02
200309,-0.15,-0.33
200310,-3.00,-3.25
200311,0.54,0.50
200312,-0.84,-0.89
200401,-1.01,-1.06
200402,-0.30,-0.42
200403,-4.19,-4.27
200404,1.83,1.55
200405,-3.63,-3.70
200406,0.14,0.00
200407,0.42,-0.01
200408,0.00,-0.46
200409,1.84,1.66
200410,0.46,0.21
200411,1.59,1.55
200412,-0.56,-0.61
200501,2.39,2.34
200502,0.93,0.81
200503,0.56,0.48
200504,0.63,0.35
200505,-1.16,-1.23
200506,1.87,1.73
200507,-1.91,-2.34
200508,0.50,0.04
200509,-0.59,-0.77
200510,2.11,1.86
200511,-1.05,-1.09
200512,-0.40,-0.45
200601,-0.55,-0.60
200602,-1.96,-2.08
200603,-0.74,-0.82
200604,-2.99,-3.27
200605,-3.79,-3.86
200606,-3.88,-4.02
200607,-0.12,-0.55
200608,0.89,0.43
200609,2.21,2.03
200610,3.76,3.51
200611,-0.78,-0.82
200612,1.35,1.30
200701,0.42,0.37
200702,0.41,0.29
200703,-1.66,-1.74
200704,0.62,0.34
200705,0.10,0.03
200706,-0.34,-0.48
200707,-0.32,-0.75
200708,0.56,0.10
200709,0.62,0.44
200710,-0.60,-0.85
200711,-2.72,-2.76
200712,3.12,3.07
200801,1.46,1.41
200802,1.59,1.47
200803,0.04,-0.04
200804,-0.57,-0.85
200805,-0.57,-0.64
200806,-0.68,-0.82
200807,-1.69,-2.12
200808,2.66,2.20
200809,-0.73,-0.91
200810,-0.18,-0.43
200811,-1.46,-1.50
200812,1.38,1.33
200901,-0.38,-0.43
200902,-1.01,-1.13
200903,-1.85,-1.93
200904,1.21,0.93
200905,-0.56,-0.63
200906,2.89,2.75
200907,1.88,1.45
200908,-1.06,-1.52
200909,0.30,0.12
200910,2.87,2.62
200911,-1.41,-1.45
200912,0.80,0.75
201001,-0.04,-0.09
201002,0.77,0.65
201003,0.89,0.81
201004,0.93,0.65
201005,-0.84,-0.91
201006,-0.14,-0.28
201007,0.73,0.30
201008,0.92,0.46
201009,-2.09,-2.27
201010,-0.13,-0.38
201011,-0.39,-0.43
201012,1.13,1.08
201101,-0.93,-0.98
201102,-0.04,-0.16
201103,-1.65,-1.73
201104,0.53,0.25
201105,1.93,1.86
201106,-0.80,-0.94
201107,1.31,0.88
201108,-1.13,-1.59
201109,-0.50,-0.68
201110,0.79,0.54
201111,-0.46,-0.50
201112,-0.74,-0.79
201201,-1.42,-1.47
201202,-0.11,-0.23
201203,-4.52,-4.60
201204,-2.92,-3.20
201205,-4.26,-4.33
201206,-5.85,-5.99
201207,-2.73,-3.16
201208,-4.11,-4.57
201209,-1.21,-1.39
201210,-1.47,-1.72
201211,-3.28,-3.32
201212,-0.72,-0.77
201301,-1.82,-1.87
201302,-2.28,-2.40
201303,-2.94,-3.02
201304,-0.31,-0.59
201305,-1.71,-1.78
201306,-3.89,-4.03
201307,-1.15,-1.58
201308,-0.48,-0.94
201309,5.22,5.04
201310,1.29,1.04
201311,0.09,0.05
201312,-0.61,-0.66
201401,0.20,0.15
201402,0.31,0.19
201403,-1.02,-1.10
