#  Connecticut Cooling Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,0,0
199702,0,0
199703,0,0
199704,0,0
199705,0,-8
199706,78,8
199707,200,5
199708,137,-9
199709,26,-2
199710,0,0
199711,0,0
199712,0,0
199801,0,0
199802,0,0
199803,0,0
199804,0,0
199805,27,19
199806,63,-7
199807,213,18
199808,221,75
199809,58,30
199810,0,0
199811,0,0
199812,0,0
199901,0,0
199902,0,0
199903,0,0
199904,0,0
199905,13,5
199906,137,67
199907,321,126
199908,175,29
199909,61,33
199910,0,0
199911,0,0
199912,0,0
200001,0,0
200002,0,0
200003,0,0
200004,0,0
200005,10,2
200006,79,9
200007,121,-74
200008,128,-18
200009,22,-6
200010,0,0
200011,0,0
200012,0,0
200101,0,0
200102,0,0
200103,0,0
200104,0,0
200105,15,7
200106,126,56
200107,132,-63
200108,262,116
200109,35,7
200110,0,0
200111,0,0
200112,0,0
200201,0,0
200202,0,0
200203,0,0
200204,0,0
200205,0,-8
200206,67,-3
200207,256,61
200208,232,86
200209,64,36
200210,0,0
200211,0,0
200212,0,0
200301,0,0
200302,0,0
200303,0,0
200304,0,0
200305,0,-8
200306,52,-18
200307,218,23
200308,241,95
200309,46,18
200310,0,0
200311,0,0
200312,0,0
200401,0,0
200402,0,0
200403,0,0
200404,0,0
200405,19,11
200406,62,-8
200407,176,-19
200408,168,22
200409,52,24
200410,0,0
200411,0,0
200412,0,0
200501,0,0
200502,0,0
200503,0,0
200504,0,0
200505,0,-8
200506,151,81
200507,243,48
200508,270,124
200509,87,59
200510,0,0
200511,0,0
200512,0,0
200601,0,0
200602,0,0
200603,0,0
200604,0,0
200605,8,0
200606,98,28
200607,296,101
200608,176,30
200609,21,-7
200610,0,0
200611,0,0
200612,0,0
200701,0,0
200702,0,0
200703,0,0
200704,0,0
200705,18,10
200706,87,17
200707,202,7
200708,183,37
200709,61,33
200710,13,13
200711,0,0
200712,0,0
200801,0,0
200802,0,0
200803,0,0
200804,0,0
200805,0,-8
200806,135,65
200807,270,75
200808,122,-24
200809,44,16
200810,0,0
200811,0,0
200812,0,0
200901,0,0
200902,0,0
200903,0,0
200904,0,0
200905,10,2
200906,44,-26
200907,143,-52
200908,227,81
200909,20,-8
200910,0,0
200911,0,0
200912,0,0
201001,0,0
201002,0,0
201003,0,0
201004,0,0
201005,28,20
201006,142,72
201007,330,135
201008,208,62
201009,78,50
201010,0,0
201011,0,0
201012,0,0
201101,0,0
201102,0,0
201103,0,0
201104,0,0
201105,19,11
201106,96,26
201107,300,105
201108,206,60
201109,91,63
201110,0,0
201111,0,0
201112,0,0
201201,0,0
201202,0,0
201203,0,0
201204,0,0
201205,33,25
201206,86,16
201207,296,101
201208,239,93
201209,46,18
201210,2,2
201211,0,0
201212,0,0
201301,0,0
201302,0,0
201303,0,0
201304,0,0
201305,11,3
201306,112,42
201307,353,158
201308,145,-1
201309,23,-5
201310,0,0
201311,0,0
201312,0,0
201401,0,0
201402,0,0
201403,0,0
201404,0,0
201405,13,5
201406,92,22
201407,233,38
201408,139,-7
201409,50,22
201410,2,2
201411,0,0
201412,0,0
201501,0,0
201502,0,0
201503,0,0
201504,0,0
201505,43,35
201506,67,-3
201507,245,50
201508,240,94
201509,120,92
201510,0,0
201511,0,0
201512,0,0
201601,0,0
201602,0,0
201603,0,0
201604,0,0
201605,12,4
201606,104,34
201607,297,102
201608,293,147
201609,90,62
201610,0,0
201611,0,0
201612,0,0
201701,0,0
201702,0,0
201703,0,0
201704,0,0
201705,7,-1
201706,98,28
201707,221,26
201708,161,15
201709,87,59
201710,18,18
201711,0,0
201712,0,0
201801,0,0
201802,0,0
201803,0,0
201804,0,0
201805,41,33
201806,86,16
201807,293,98
201808,311,165
201809,91,63
201810,0,0
201811,0,0
201812,0,0
201901,0,0
201902,0,0
201903,0,0
201904,0,0
201905,8,0
201906,89,19
201907,325,130
201908,199,53
201909,45,17
201910,0,0
201911,0,0
201912,0,0
202001,0,0
202002,0,0
202003,0,0
202004,0,0
202005,6,-2
202006,124,54
202007,340,145
202008,255,109
202009,47,19
202010,0,0
202011,0,0
202012,0,0
202101,0,0
202102,0,0
202103,0,0
202104,0,0
202105,10,2
202106,145,75
202107,208,13
202108,259,113
202109,74,46
202110,10,10
202111,0,0
202112,0,0
202201,0,0
202202,0,0
202203,0,0
202204,0,0
202205,25,17
202206,83,13
202207,303,108
202208,312,166
202209,51,23
202210,0,0
202211,0,0
202212,0,0
