#  Connecticut Palmer Hydrological Drought Index (PHDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,3.40,3.46
199702,2.51,2.48
199703,2.25,2.15
199704,2.18,2.06
199705,1.84,1.81
199706,0.99,1.00
199707,0.78,0.83
199708,1.27,1.15
199709,-0.99,-1.07
199710,-1.51,-1.62
199711,-0.83,-0.81
199712,-0.94,-0.92
199801,0.54,0.60
199802,0.75,0.72
199803,1.24,1.14
199804,1.15,1.03
199805,1.44,1.41
199806,2.59,2.60
199807,2.33,2.38
199808,1.57,1.45
199809,0.93,0.85
199810,1.13,1.02
199811,-1.10,-1.08
199812,-1.90,-1.88
199901,1.18,1.24
199902,1.30,1.27
199903,1.56,1.46
199904,-1.06,-1.18
199905,-0.93,-0.96
199906,-1.97,-1.96
199907,-2.70,-2.65
199908,-3.12,-3.24
199909,-1.14,-1.22
199910,-0.56,-0.67
199911,-0.89,-0.87
199912,-1.17,-1.15
200001,-1.14,-1.08
200002,-1.29,-1.32
200003,-1.36,-1.46
200004,-0.88,-1.00
200005,-0.70,-0.73
200006,1.28,1.29
200007,2.21,2.26
200008,2.02,1.90
200009,1.96,1.88
200010,1.12,1.01
200011,0.84,0.86
200012,0.87,0.89
200101,-0.90,-0.84
200102,-1.09,-1.12
200103,1.27,1.17
200104,-0.97,-1.09
200105,-0.94,-0.97
200106,-0.02,-0.01
200107,-0.41,-0.36
200108,-0.58,-0.70
200109,-0.60,-0.68
200110,-1.38,-1.49
200111,-2.58,-2.56
200112,-3.22,-3.20
200201,-3.63,-3.57
200202,-3.98,-4.01
200203,-3.66,-3.76
200204,-3.57,-3.69
200205,-2.77,-2.80
200206,-2.02,-2.01
200207,-2.23,-2.18
200208,-2.29,-2.41
200209,-1.96,-2.04
200210,-1.50,-1.61
200211,-0.83,-0.81
200212,1.02,1.04
200301,0.56,0.62
200302,0.79,0.76
200303,0.76,0.66
200304,0.05,-0.07
200305,0.33,0.30
200306,1.54,1.55
200307,1.16,1.21
200308,1.26,1.14
200309,2.21,2.13
200310,2.98,2.87
200311,2.31,2.33
200312,2.49,2.51
200401,1.64,1.70
200402,1.02,0.99
200403,-1.35,-1.45
200404,0.97,0.85
200405,-0.28,-0.31
200406,-0.84,-0.83
200407,0.21,0.26
200408,0.61,0.49
200409,1.84,1.76
200410,1.37,1.26
200411,1.16,1.18
200412,1.20,1.22
200501,1.45,1.51
200502,0.99,0.96
200503,0.95,0.85
200504,1.22,1.10
200505,0.77,0.74
200506,-0.93,-0.92
200507,-1.08,-1.03
200508,-1.91,-2.03
200509,-2.45,-2.53
200510,3.62,3.51
200511,3.37,3.39
200512,3.14,3.16
200601,3.51,3.57
200602,2.83,2.80
200603,1.35,1.25
200604,1.36,1.24
200605,2.20,2.17
200606,3.83,3.84
200607,3.17,3.22
200608,3.19,3.07
200609,2.62,2.54
200610,3.45,3.34
200611,3.57,3.59
200612,2.54,2.56
200701,2.18,2.24
200702,1.43,1.40
200703,1.69,1.59
200704,3.18,3.06
200705,2.02,1.99
200706,1.63,1.64
200707,1.75,1.80
200708,0.91,0.79
200709,-1.85,-1.93
200710,-2.05,-2.16
200711,-2.39,-2.37
200712,-1.88,-1.86
200801,-2.10,-2.04
200802,2.29,2.26
200803,2.51,2.41
200804,1.92,1.80
200805,1.34,1.31
