#  Connecticut Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,26.9,1.5
199702,33.9,7.6
199703,35.8,0.4
199704,45.2,-0.8
199705,54.2,-2.6
199706,66.3,0.9
199707,70.8,0.1
199708,68.4,-0.2
199709,61.6,0.1
199710,50.0,-1.0
199711,38.6,-1.6
199712,32.0,2.8
199801,33.1,7.7
199802,35.2,8.9
199803,39.3,3.9
199804,48.6,2.6
199805,61.0,4.2
199806,65.2,-0.2
199807,71.2,0.5
199808,71.6,3.0
199809,64.2,2.7
199810,51.8,0.8
199811,41.3,1.1
199812,36.6,7.4
199901,27.4,2.0
199902,31.7,5.4
199903,37.4,2.0
199904,47.9,1.9
199905,58.5,1.7
199906,68.8,3.4
199907,74.8,4.1
199908,69.8,1.2
199909,64.6,3.1
199910,50.1,-0.9
199911,45.4,5.2
199912,33.8,4.6
200001,24.6,-0.8
200002,31.3,5.0
200003,41.9,6.5
200004,46.1,0.1
200005,57.9,1.1
200006,66.0,0.6
200007,67.8,-2.9
200008,67.9,-0.7
200009,61.2,-0.3
200010,51.1,0.1
200011,40.5,0.3
200012,26.1,-3.1
200101,25.8,0.4
200102,29.5,3.2
200103,34.1,-1.3
200104,47.9,1.9
200105,58.9,2.1
200106,68.1,2.7
200107,68.2,-2.5
200108,72.8,4.2
200109,62.5,1.0
200110,52.7,1.7
200111,45.3,5.1
200112,37.1,7.9
200201,33.3,7.9
200202,34.1,7.8
200203,38.6,3.2
200204,50.1,4.1
200205,55.1,-1.7
200206,65.5,0.1
200207,72.8,2.1
200208,71.9,3.3
200209,64.8,3.3
200210,49.6,-1.4
200211,40.0,-0.2
200212,29.8,0.6
200301,21.4,-4.0
200302,23.8,-2.5
200303,36.0,0.6
200304,44.5,-1.5
200305,55.0,-1.8
200306,64.7,-0.7
200307,71.5,0.8
200308,72.2,3.6
200309,63.3,1.8
200310,49.3,-1.7
200311,43.8,3.6
200312,32.4,3.2
200401,18.7,-6.7
200402,28.5,2.2
200403,38.0,2.6
200404,48.0,2.0
200405,59.9,3.1
200406,65.0,-0.4
200407,70.0,-0.7
200408,69.6,1.0
200409,63.8,2.3
200410,50.9,-0.1
200411,41.9,1.7
200412,30.8,1.6
200501,24.3,-1.1
200502,29.7,3.4
200503,32.3,-3.1
200504,49.3,3.3
200505,53.1,-3.7
200506,69.6,4.2
200507,72.4,1.7
200508,73.0,4.4
200509,66.0,4.5
200510,52.7,1.7
200511,43.0,2.8
200512,28.7,-0.5
200601,33.7,8.3
200602,29.5,3.2
200603,36.7,1.3
200604,49.0,3.0
200605,57.2,0.4
200606,67.1,1.7
200607,74.1,3.4
200608,69.8,1.2
200609,61.2,-0.3
200610,51.0,0.0
200611,46.3,6.1
200612,38.0,8.8
200701,31.3,5.9
200702,23.3,-3.0
200703,35.1,-0.3
200704,44.8,-1.2
200705,59.6,2.8
200706,66.6,1.2
200707,70.9,0.2
200708,70.3,1.7
200709,64.6,3.1
200710,57.8,6.8
200711,39.9,-0.3
200712,30.2,1.0
200801,29.7,4.3
200802,29.8,3.5
200803,36.5,1.1
200804,49.6,3.6
200805,55.1,-1.7
200806,68.6,3.2
200807,73.3,2.6
200808,67.8,-0.8
200809,63.3,1.8
200810,50.0,-1.0
200811,40.5,0.3
200812,32.2,3.0
200901,21.0,-4.4
200902,30.2,3.9
200903,36.8,1.4
200904,49.3,3.3
200905,57.8,1.0
200906,64.0,-1.4
200907,68.7,-2.0
200908,71.7,3.1
200909,61.0,-0.5
200910,49.5,-1.5
