#  Connecticut Palmer Z-Index
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,0.20,0.19
199702,-1.63,-1.74
199703,-0.01,-0.07
199704,0.49,0.44
199705,-0.35,-0.21
199706,-1.98,-1.91
199707,-0.32,-0.38
199708,1.72,1.56
199709,-2.12,-2.15
199710,-1.87,-1.94
199711,1.57,1.77
199712,-0.58,-0.64
199801,0.89,0.88
199802,0.79,0.68
199803,1.70,1.64
199804,0.12,0.07
199805,1.21,1.35
199806,3.92,3.99
199807,0.02,-0.04
199808,-1.58,-1.74
199809,-1.42,-1.45
199810,0.90,0.83
199811,-1.83,-1.63
199812,-2.73,-2.79
199901,3.53,3.52
199902,0.72,0.61
199903,1.19,1.13
199904,-3.17,-3.22
199905,0.06,0.20
199906,-3.41,-3.34
199907,-2.80,-2.86
199908,-2.11,-2.27
199909,4.97,4.94
199910,1.41,1.34
199911,-1.17,-0.97
199912,-1.13,-1.19
200001,-0.26,-0.27
200002,-0.80,-0.91
200003,-0.61,-0.67
200004,1.00,0.95
200005,0.27,0.41
200006,2.56,2.63
200007,3.18,3.12
200008,0.11,-0.05
200009,0.44,0.41
200010,-1.90,-1.97
200011,-0.50,-0.30
200012,0.34,0.28
200101,-1.24,-1.25
200102,-0.84,-0.95
200103,3.81,3.75
200104,-2.91,-2.96
200105,-0.22,-0.08
200106,2.49,2.56
200107,-1.18,-1.24
200108,-0.65,-0.81
200109,-0.23,-0.26
200110,-2.54,-2.61
200111,-4.01,-3.81
200112,-2.73,-2.79
200201,-2.21,-2.22
200202,-2.18,-2.29
200203,-0.26,-0.32
200204,-0.87,-0.92
200205,1.31,1.45
200206,1.37,1.44
200207,-1.26,-1.32
200208,-0.86,-1.02
200209,0.29,0.26
200210,0.76,0.69
200211,1.56,1.76
200212,0.79,0.73
200301,-1.04,-1.05
200302,0.84,0.73
200303,0.17,0.11
200304,-0.67,-0.72
200305,0.85,0.99
200306,3.72,3.79
200307,-0.67,-0.73
200308,0.67,0.51
200309,3.23,3.20
200310,3.00,2.93
200311,-1.08,-0.88
200312,1.24,1.18
200401,-1.79,-1.80
200402,-1.36,-1.47
200403,-1.39,-1.45
200404,2.91,2.86
200405,-0.85,-0.71
200406,-1.76,-1.69
200407,0.62,0.56
200408,1.28,1.12
200409,3.86,3.83
200410,-0.84,-0.91
200411,-0.20,0.00
200412,0.49,0.43
200501,1.12,1.11
200502,-0.93,-1.04
200503,0.17,0.11
200504,1.12,1.07
200505,-0.98,-0.84
200506,-1.89,-1.82
200507,-0.75,-0.81
200508,-2.81,-2.97
200509,-2.23,-2.26
200510,10.86,10.79
200511,0.36,0.56
200512,0.35,0.29
200601,2.07,2.06
200602,-0.94,-1.05
200603,-3.57,-3.63
200604,0.44,0.39
200605,2.96,3.10
200606,5.56,5.63
200607,-0.81,-0.87
200608,1.06,0.90
200609,-0.73,-0.76
200610,3.29,3.22
200611,1.44,1.64
200612,-2.01,-2.07
200701,-0.28,-0.29
200702,-1.57,-1.68
200703,1.22,1.16
200704,4.98,4.93
200705,-2.48,-2.34
200706,-0.57,-0.50
200707,0.87,0.81
200708,-1.97,-2.13
200709,-2.48,-2.51
200710,-1.17,-1.24
200711,-1.66,-1.46
200712,0.80,0.74
200801,-1.24,-1.25
200802,6.88,6.77
200803,1.37,1.31
200804,-0.99,-1.04
200805,-1.16,-1.02
200806,0.62,0.69
200807,1.92,1.86
200808,0.55,0.39
200809,4.65,4.62
200810,0.04,-0.03
200811,-0.36,-0.16
200812,2.91,2.85
200901,-0.70,-0.71
200902,-2.28,-2.39
200903,-1.91,-1.97
200904,-0.55,-0.60
200905,-0.28,-0.14
200906,3.56,3.63
200907,5.86,5.80
200908,0.07,-0.09
200909,-1.50,-1.53
200910,2.48,2.41
200911,-1.66,-1.46
200912,1.55,1.49
201001,-0.76,-0.77
201002,1.76,1.65
201003,5.27,5.21
201004,-3.32,-3.37
201005,-1.59,-1.45
201006,-0.94,-0.87
201007,-1.21,-1.27
201008,-1.22,-1.38
201009,-1.90,-1.93
201010,0.97,0.90
201011,-1.04,-0.84
201012,0.67,0.61
201101,-0.34,-0.35
201102,0.87,0.76
201103,0.53,0.47
201104,1.19,1.14
201105,0.41,0.55
201106,2.38,2.45
201107,-1.85,-1.91
201108,6.78,6.62
201109,3.36,3.33
201110,2.16,2.09
201111,-0.87,-0.67
201112,0.35,0.29
201201,-0.84,-0.85
201202,-3.04,-3.15
201203,-3.92,-3.98
201204,-1.62,-1.67
201205,-0.73,-0.59
