#  Delaware Cooling Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,0,0
199702,0,0
199703,0,0
199704,0,0
199705,14,-26
199706,139,-39
199707,340,17
199708,257,-9
199709,88,-16
199710,10,-1
199711,0,0
199712,0,0
199801,0,0
199802,0,0
199803,0,0
199804,0,0
199805,73,33
199806,183,5
199807,339,16
199808,314,48
199809,186,82
199810,12,1
199811,0,0
199812,0,0
199901,0,0
199902,0,0
199903,0,0
199904,0,0
199905,43,3
199906,196,18
199907,445,122
199908,341,75
199909,122,18
199910,7,-4
199911,0,0
199912,0,0
200001,0,0
200002,0,0
200003,0,0
200004,0,0
200005,65,25
200006,232,54
200007,240,-83
200008,246,-20
200009,74,-30
200010,13,2
200011,0,0
200012,0,0
200101,0,0
200102,0,0
200103,0,0
200104,0,0
200105,48,8
200106,247,69
200107,243,-80
200108,367,101
200109,83,-21
200110,13,2
200111,0,0
200112,0,0
200201,0,0
200202,0,0
200203,0,0
200204,7,7
200205,38,-2
200206,230,52
200207,404,81
200208,398,132
200209,160,56
200210,13,2
200211,0,0
200212,0,0
200301,0,0
200302,0,0
200303,0,0
200304,0,0
200305,11,-29
200306,147,-31
200307,342,19
200308,356,90
200309,138,34
200310,7,-4
200311,0,0
200312,0,0
200401,0,0
200402,0,0
200403,0,0
200404,0,0
200405,154,114
200406,183,5
200407,328,5
200408,272,6
200409,143,39
200410,8,-3
200411,0,0
200412,0,0
200501,0,0
200502,0,0
200503,0,0
200504,0,0
200505,10,-30
200506,236,58
200507,392,69
200508,402,136
200509,215,111
200510,18,7
200511,0,0
200512,0,0
200601,0,0
200602,0,0
200603,0,0
200604,3,3
200605,45,5
200606,209,31
200607,412,89
200608,371,105
200609,81,-23
200610,8,-3
200611,0,0
200612,0,0
200701,0,0
200702,0,0
200703,0,0
200704,0,0
200705,67,27
200706,234,56
200707,340,17
200708,348,82
200709,162,58
200710,70,59
200711,0,0
200712,0,0
200801,0,0
200802,0,0
200803,0,0
200804,0,0
200805,22,-18
200806,302,124
200807,387,64
200808,257,-9
200809,147,43
200810,8,-3
200811,0,0
200812,0,0
200901,0,0
200902,0,0
200903,0,0
200904,0,0
200905,54,14
200906,174,-4
200907,283,-40
200908,370,104
200909,90,-14
200910,9,-2
200911,0,0
200912,0,0
201001,0,0
201002,0,0
201003,0,0
201004,7,7
201005,92,52
201006,361,183
201007,456,133
201008,366,100
201009,193,89
201010,16,5
201011,0,0
201012,0,0
201101,0,0
201102,0,0
201103,0,0
201104,6,6
201105,95,55
201106,276,98
201107,482,159
201108,314,48
201109,168,64
201110,11,0
201111,0,0
201112,0,0
201201,0,0
201202,0,0
201203,9,9
201204,0,0
201205,119,79
201206,226,48
201207,483,160
201208,359,93
201209,121,17
201210,20,9
201211,0,0
201212,0,0
201301,0,0
201302,0,0
201303,0,0
201304,0,0
201305,51,11
201306,244,66
201307,437,114
201308,253,-13
201309,86,-18
201310,21,10
201311,0,0
201312,0,0
201401,0,0
201402,0,0
201403,0,0
201404,0,0
201405,67,27
201406,230,52
201407,335,12
201408,233,-33
201409,133,29
201410,20,9
201411,0,0
201412,0,0
201501,0,0
201502,0,0
201503,0,0
201504,0,0
201505,125,85
201506,248,70
201507,365,42
201508,320,54
201509,215,111
201510,9,-2
201511,0,0
201512,10,10
201601,0,0
201602,0,0
201603,3,3
201604,0,0
201605,30,-10
201606,220,42
201607,443,120
201608,423,157
201609,213,109
201610,26,15
201611,0,0
201612,0,0
201701,0,0
201702,0,0
201703,0,0
201704,15,15
201705,38,-2
201706,243,65
201707,404,81
201708,267,1
201709,151,47
201710,49,38
201711,0,0
201712,0,0
201801,0,0
201802,0,0
201803,0,0
201804,0,0
201805,123,83
201806,217,39
201807,378,55
201808,412,146
201809,238,134
201810,25,14
201811,0,0
201812,0,0
201901,0,0
201902,0,0
201903,0,0
201904,11,11
201905,94,54
201906,246,68
201907,447,124
201908,349,83
201909,194,90
201910,34,23
201911,0,0
201912,0,0
202001,0,0
202002,0,0
202003,2,2
202004,0,0
202005,20,-20
202006,246,68
202007,477,154
202008,370,104
202009,118,14
202010,23,12
202011,0,0
202012,0,0
202101,0,0
202102,0,0
202103,0,0
202104,0,0
202105,42,2
202106,249,71
202107,380,57
202108,369,103
202109,157,53
202110,57,46
202111,0,0
202112,0,0
202201,0,0
202202,0,0
202203,0,0
202204,0,0
202205,73,33
202206,213,35
202207,431,108
202208,400,134
202209,141,37
202210,7,-4
202211,0,0
202212,0,0
