#  Delaware Heating Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,987,-22
199702,697,-183
199703,631,-76
199704,424,26
199705,194,61
199706,11,3
199707,0,0
199708,0,0
199709,43,5
199710,272,-18
199711,624,28
199712,825,-91
199801,747,-262
199802,673,-207
199803,617,-90
199804,304,-94
199805,77,-56
199806,3,-5
199807,0,0
199808,0,0
199809,8,-30
199810,257,-33
199811,543,-53
199812,729,-187
199901,879,-130
199902,765,-115
199903,721,14
199904,355,-43
199905,113,-20
199906,2,-6
199907,0,0
199908,0,0
199909,22,-16
199910,309,19
199911,428,-168
199912,779,-137
200001,1008,-1
200002,748,-132
200003,519,-188
200004,388,-10
200005,86,-47
200006,0,-8
200007,0,0
200008,0,0
200009,52,14
200010,251,-39
200011,620,24
200012,1063,147
200101,1009,0
200102,768,-112
200103,757,50
200104,341,-57
200105,106,-27
200106,0,-8
200107,0,0
200108,0,0
200109,45,7
200110,249,-41
200111,412,-184
200112,662,-254
200201,799,-210
200202,686,-194
200203,596,-111
200204,255,-143
200205,123,-10
200206,0,-8
200207,0,0
200208,0,0
200209,12,-26
200210,255,-35
200211,597,1
200212,923,7
200301,1118,109
200302,956,76
200303,638,-69
200304,396,-2
200305,209,76
200306,10,2
200307,0,0
200308,0,0
200309,17,-21
200310,308,18
200311,424,-172
200312,864,-52
200401,1158,149
200402,829,-51
200403,602,-105
200404,325,-73
200405,25,-108
200406,3,-5
200407,0,0
200408,0,0
200409,15,-23
200410,297,7
200411,508,-88
200412,827,-89
200501,980,-29
200502,806,-74
200503,788,81
200504,321,-77
200505,220,87
200506,0,-8
200507,0,0
200508,0,0
200509,5,-33
200510,224,-66
200511,468,-128
200512,934,18
200601,734,-275
200602,803,-77
200603,637,-70
200604,276,-122
200605,111,-22
200606,0,-8
200607,0,0
200608,0,0
200609,46,8
200610,291,1
200611,436,-160
200612,672,-244
200701,795,-214
200702,1011,131
200703,633,-74
200704,431,33
200705,84,-49
200706,0,-8
200707,0,0
200708,0,0
200709,12,-26
200710,109,-181
200711,575,-21
200712,827,-89
200801,896,-113
200802,752,-128
200803,617,-90
200804,301,-97
200805,161,28
200806,0,-8
200807,0,0
200808,0,0
200809,15,-23
200810,291,1
200811,594,-2
200812,780,-136
200901,1088,79
200902,761,-119
200903,682,-25
200904,311,-87
200905,99,-34
200906,6,-2
200907,0,0
200908,0,0
200909,39,1
200910,288,-2
200911,445,-151
200912,889,-27
201001,994,-15
201002,946,66
201003,526,-181
201004,245,-153
201005,60,-73
201006,0,-8
201007,0,0
201008,0,0
201009,7,-31
201010,231,-59
201011,541,-55
201012,1034,118
201101,1098,89
201102,764,-116
201103,670,-37
201104,257,-141
201105,57,-76
201106,0,-8
201107,0,0
201108,0,0
201109,11,-27
201110,265,-25
201111,440,-156
201112,690,-226
201201,825,-184
201202,682,-198
201203,412,-295
201204,321,-77
201205,40,-93
201206,0,-8
201207,0,0
201208,0,0
201209,23,-15
201210,215,-75
201211,659,63
201212,673,-243
201301,884,-125
201302,837,-43
201303,767,60
201304,328,-70
201305,102,-31
201306,0,-8
201307,0,0
201308,0,0
201309,42,4
201310,206,-84
201311,615,19
201312,797,-119
201401,1117,108
201402,902,22
201403,812,105
201404,371,-27
201405,85,-48
201406,0,-8
201407,0,0
201408,0,0
201409,20,-18
201410,212,-78
201411,632,36
201412,760,-156
201501,1052,43
201502,1101,221
201503,797,90
201504,330,-68
201505,36,-97
201506,0,-8
201507,0,0
201508,0,0
201509,5,-33
201510,280,-10
201511,413,-183
201512,466,-450
201601,977,-32
201602,762,-118
201603,491,-216
201604,366,-32
201605,139,6
201606,0,-8
201607,0,0
201608,0,0
201609,3,-35
201610,190,-100
201611,492,-104
201612,816,-100
201701,824,-185
201702,597,-283
201703,687,-20
201704,194,-204
201705,124,-9
201706,0,-8
201707,0,0
201708,0,0
201709,13,-25
201710,137,-153
201711,546,-50
201712,912,-4
201801,1020,11
201802,640,-240
201803,779,72
201804,423,25
201805,38,-95
201806,0,-8
201807,0,0
201808,0,0
201809,3,-35
201810,196,-94
201811,612,16
201812,761,-155
201901,957,-52
201902,771,-109
201903,698,-9
201904,217,-181
201905,59,-74
201906,0,-8
201907,0,0
201908,0,0
201909,8,-30
201910,167,-123
201911,663,67
201912,807,-109
202001,795,-214
202002,666,-214
202003,501,-206
202004,413,15
202005,168,35
202006,0,-8
202007,0,0
202008,0,0
202009,25,-13
202010,203,-87
202011,419,-177
202012,809,-107
202101,912,-97
202102,850,-30
202103,554,-153
202104,306,-92
202105,117,-16
202106,0,-8
202107,0,0
202108,0,0
202109,12,-26
202110,125,-165
202111,613,17
202112,675,-241
202201,1056,47
202202,747,-133
202203,573,-134
202204,366,-32
202205,77,-56
202206,0,-8
202207,0,0
202208,0,0
202209,16,-22
202210,309,19
202211,473,-123
202212,864,-52
