#  Delaware Palmer Modified Drought Index (PMDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,3.41,3.41
199702,2.67,2.69
199703,2.85,2.88
199704,2.50,2.53
199705,1.76,1.92
199706,1.02,1.07
199707,-0.25,-0.24
199708,-0.31,-0.30
199709,-1.35,-1.28
199710,-1.46,-1.42
199711,0.90,1.03
199712,0.72,0.74
199801,1.52,1.52
199802,2.32,2.34
199803,2.45,2.48
199804,1.54,1.57
199805,1.31,1.47
199806,1.17,1.22
199807,-0.58,-0.57
199808,-1.26,-1.25
199809,-1.91,-1.84
199810,-2.28,-2.24
199811,-3.20,-3.07
199812,-3.71,-3.69
199901,-2.09,-2.09
199902,-2.15,-2.13
199903,-1.13,-1.10
199904,-1.47,-1.44
199905,-2.70,-2.54
199906,-3.07,-3.02
199907,-3.79,-3.78
199908,-3.71,-3.70
199909,1.23,1.30
199910,2.30,2.34
199911,1.46,1.59
199912,1.09,1.11
200001,1.05,1.05
200002,0.17,0.19
200003,1.54,1.57
200004,1.52,1.55
200005,0.64,0.80
200006,1.45,1.50
200007,2.09,2.10
200008,2.10,2.11
200009,2.73,2.80
200010,0.48,0.52
200011,-0.18,-0.05
200012,-0.27,-0.25
200101,-0.54,-0.54
200102,-0.76,-0.74
200103,0.51,0.54
200104,-0.83,-0.80
200105,-0.79,-0.63
200106,0.52,0.57
200107,0.93,0.94
200108,1.42,1.43
200109,0.42,0.49
200110,-1.01,-0.97
200111,-2.09,-1.96
200112,-2.78,-2.76
200201,-3.11,-3.11
200202,-3.94,-3.92
200203,-3.06,-3.03
200204,-2.66,-2.63
200205,-2.76,-2.60
200206,-2.90,-2.85
200207,-3.34,-3.33
200208,-3.80,-3.79
200209,-2.11,-2.04
200210,1.37,1.41
200211,2.81,2.94
200212,2.93,2.95
200301,1.14,1.14
200302,3.25,3.27
200303,2.87,2.90
200304,2.54,2.57
200305,2.84,3.00
200306,3.72,3.77
200307,3.81,3.82
200308,3.70,3.71
200309,4.17,4.24
200310,4.31,4.35
200311,4.58,4.71
200312,5.11,5.13
200401,3.74,3.74
200402,2.50,2.52
200403,0.97,1.00
200404,2.13,2.16
200405,0.70,0.86
200406,0.30,0.35
200407,0.96,0.97
200408,1.78,1.79
200409,1.66,1.73
200410,0.72,0.76
200411,1.32,1.45
200412,0.86,0.88
200501,1.33,1.33
200502,0.27,0.29
200503,0.47,0.50
200504,0.47,0.50
200505,1.07,1.23
200506,1.37,1.42
200507,1.74,1.75
200508,-0.09,-0.08
200509,-1.89,-1.82
200510,1.50,1.54
200511,1.54,1.67
200512,1.66,1.68
200601,1.50,1.50
200602,-0.46,-0.44
200603,-1.98,-1.95
200604,-2.25,-2.22
200605,-2.70,-2.54
200606,2.18,2.23
200607,2.30,2.31
200608,0.10,0.11
200609,2.07,2.14
200610,2.89,2.93
200611,3.52,3.65
200612,1.91,1.93
200701,1.82,1.82
200702,1.16,1.18
200703,0.38,0.41
200704,2.30,2.33
200705,-0.17,-0.01
200706,-1.08,-1.03
200707,-1.87,-1.86
200708,-2.25,-2.24
200709,-3.09,-3.02
200710,-2.66,-2.62
200711,-3.32,-3.19
200712,-2.67,-2.65
200801,-3.18,-3.18
200802,-2.36,-2.34
200803,-2.78,-2.75
200804,-2.69,-2.66
200805,-0.88,-0.72
200806,-1.11,-1.06
200807,-0.90,-0.89
200808,-2.45,-2.44
200809,-2.11,-2.04
200810,-2.60,-2.56
200811,-1.86,-1.73
200812,-0.20,-0.18
200901,-0.84,-0.84
200902,-2.57,-2.55
200903,-2.88,-2.85
200904,-1.18,-1.15
200905,-0.19,-0.03
200906,1.61,1.66
200907,0.50,0.51
200908,1.95,1.96
200909,2.48,2.55
200910,3.77,3.81
200911,3.94,4.07
200912,5.23,5.25
201001,4.25,4.25
201002,4.47,4.49
201003,4.75,4.78
201004,2.37,2.40
201005,0.48,0.64
201006,-1.78,-1.73
201007,-2.62,-2.61
201008,-3.00,-2.99
201009,-3.03,-2.96
201010,-1.34,-1.30
201011,-2.21,-2.08
201012,-2.58,-2.56
201101,-2.35,-2.35
201102,-2.47,-2.45
201103,-2.12,-2.09
201104,-2.27,-2.24
201105,-2.69,-2.53
201106,-3.28,-3.23
201107,-3.68,-3.67
201108,-0.37,-0.36
201109,0.30,0.37
201110,0.43,0.47
201111,0.92,1.05
201112,0.73,0.75
201201,-0.30,-0.30
201202,-1.02,-1.00
201203,-3.01,-2.98
201204,-3.29,-3.26
201205,-3.65,-3.49
201206,-3.66,-3.61
201207,-4.11,-4.10
201208,-3.50,-3.49
201209,-3.36,-3.29
201210,0.37,0.41
201211,-0.61,-0.48
201212,-0.06,-0.04
201301,-0.30,-0.30
201302,-0.46,-0.44
201303,-0.44,-0.41
201304,-0.34,-0.31
201305,-0.82,-0.66
201306,2.17,2.22
201307,2.71,2.72
201308,3.07,3.08
201309,1.28,1.35
201310,1.81,1.85
201311,1.40,1.53
201312,2.40,2.42
201401,1.91,1.91
201402,2.56,2.58
201403,2.38,2.41
201404,2.48,2.51
201405,1.34,1.50
201406,0.13,0.18
201407,0.41,0.42
201408,0.17,0.18
201409,-0.20,-0.13
201410,-0.97,-0.93
201411,-0.81,-0.68
201412,-0.58,-0.56
201501,0.80,0.80
201502,0.48,0.50
201503,0.74,0.77
201504,0.45,0.48
201505,-1.21,-1.05
201506,1.75,1.80
201507,1.05,1.06
201508,-0.38,-0.37
201509,-0.99,-0.92
201510,-0.78,-0.74
201511,-1.03,-0.90
201512,-0.47,-0.45
201601,-0.99,-0.99
201602,0.11,0.13
201603,-1.59,-1.56
201604,-1.75,-1.72
201605,0.29,0.45
201606,0.48,0.53
201607,0.91,0.92
201608,-0.54,-0.53
201609,2.15,2.22
201610,1.86,1.90
201611,-0.13,0.00
201612,-0.45,-0.43
201701,-0.91,-0.91
201702,-1.83,-1.81
201703,-1.16,-1.13
201704,-2.00,-1.97
201705,-0.28,-0.12
201706,-1.37,-1.32
201707,0.99,1.00
201708,1.97,1.98
201709,1.14,1.21
201710,1.06,1.10
201711,0.15,0.28
201712,-1.08,-1.06
201801,-1.09,-1.09
201802,0.65,0.67
201803,0.72,0.75
201804,0.66,0.69
201805,1.39,1.55
201806,1.38,1.43
201807,1.74,1.75
201808,1.38,1.39
201809,2.18,2.25
201810,2.71,2.75
201811,3.95,4.08
201812,4.10,4.12
201901,3.66,3.66
201902,3.44,3.46
201903,2.75,2.78
201904,1.80,1.83
201905,1.57,1.73
201906,2.30,2.35
201907,1.35,1.36
201908,-0.05,-0.04
201909,-1.76,-1.69
201910,-1.64,-1.60
201911,-2.29,-2.16
201912,-2.12,-2.10
202001,-2.09,-2.09
202002,-1.91,-1.89
202003,-2.06,-2.03
