#  Delaware Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,34.1,0.8
199702,40.8,6.4
199703,45.5,2.8
199704,51.1,-0.9
199705,59.7,-2.4
199706,69.3,-1.4
199707,76.1,0.6
199708,73.6,-0.1
199709,67.1,-0.3
199710,57.0,0.6
199711,44.8,-0.9
199712,38.9,2.7
199801,41.6,8.3
199802,41.3,6.9
199803,45.7,3.0
199804,55.2,3.2
199805,64.8,2.7
199806,71.3,0.6
199807,76.0,0.5
199808,75.2,1.5
199809,71.2,3.8
199810,57.5,1.1
199811,47.1,1.4
199812,42.0,5.8
199901,38.1,4.8
199902,38.3,3.9
199903,42.2,-0.5
199904,53.4,1.4
199905,63.0,0.9
199906,71.3,0.6
199907,79.2,3.7
199908,76.2,2.5
199909,68.6,1.2
199910,55.9,-0.5
199911,51.4,5.7
199912,40.5,4.3
200001,33.3,0.0
200002,39.2,4.8
200003,48.7,6.0
200004,52.4,0.4
200005,64.7,2.6
200006,73.0,2.3
200007,72.8,-2.7
200008,73.1,-0.6
200009,66.2,-1.2
200010,57.6,1.2
200011,44.6,-1.1
200012,31.3,-4.9
200101,33.1,-0.2
200102,38.6,4.2
200103,41.2,-1.5
200104,53.9,1.9
200105,63.2,1.1
200106,73.5,2.8
200107,72.9,-2.6
200108,76.7,3.0
200109,66.5,-0.9
200110,57.6,1.2
200111,51.5,5.8
200112,44.4,8.2
200201,40.0,6.7
200202,40.9,6.5
200203,46.4,3.7
200204,57.1,5.1
200205,62.7,0.6
200206,73.0,2.3
200207,78.0,2.5
200208,78.0,4.3
200209,70.1,2.7
200210,57.9,1.5
200211,45.8,0.1
200212,36.0,-0.2
200301,29.6,-3.7
200302,32.1,-2.3
200303,45.1,2.4
200304,52.0,0.0
200305,59.0,-3.1
200306,70.0,-0.7
200307,76.3,0.8
200308,76.5,2.8
200309,69.3,1.9
200310,55.8,-0.6
200311,51.5,5.8
200312,37.8,1.6
200401,28.8,-4.5
200402,36.1,1.7
200403,46.1,3.4
200404,54.7,2.7
200405,69.6,7.5
200406,71.3,0.6
200407,76.1,0.6
200408,74.0,0.3
200409,69.4,2.0
200410,56.2,-0.2
200411,48.6,2.9
200412,39.0,2.8
200501,34.3,1.0
200502,36.7,2.3
200503,40.1,-2.6
200504,54.3,2.3
200505,58.4,-3.7
200506,72.7,2.0
200507,77.9,2.4
200508,77.9,4.2
200509,71.9,4.5
200510,58.8,2.4
200511,50.1,4.4
200512,35.6,-0.6
200601,42.1,8.8
200602,37.1,2.7
200603,44.6,1.9
200604,56.3,4.3
200605,63.0,0.9
200606,72.1,1.4
200607,78.3,2.8
200608,77.1,3.4
200609,66.3,-1.1
200610,56.2,-0.2
200611,50.9,5.2
200612,43.9,7.7
200701,40.1,6.8
200702,29.6,-4.8
200703,45.2,2.5
200704,51.0,-1.0
200705,64.3,2.2
200706,72.9,2.2
200707,76.1,0.6
200708,76.6,2.9
200709,70.0,2.6
200710,64.1,7.7
200711,46.4,0.7
200712,39.2,3.0
200801,36.7,3.4
200802,39.1,4.7
200803,45.7,3.0
200804,55.4,3.4
200805,60.9,-1.2
200806,75.2,4.5
200807,77.4,1.9
200808,73.4,-0.3
200809,69.6,2.2
200810,56.2,-0.2
200811,45.4,-0.3
200812,40.7,4.5
200901,30.7,-2.6
200902,38.5,4.1
200903,43.3,0.6
200904,55.0,3.0
200905,63.8,1.7
200906,70.9,0.2
200907,74.5,-1.0
200908,77.2,3.5
200909,66.9,-0.5
200910,56.6,0.2
200911,50.6,4.9
200912,37.1,0.9
201001,33.4,0.1
201002,31.4,-3.0
201003,48.1,5.4
201004,57.5,5.5
201005,66.2,4.1
201006,77.4,6.7
201007,79.9,4.4
201008,77.0,3.3
201009,71.4,4.0
201010,58.6,2.2
201011,47.5,1.8
201012,31.7,-4.5
201101,30.3,-3.0
201102,38.8,4.4
201103,43.9,1.2
201104,57.2,5.2
201105,66.4,4.3
201106,74.3,3.6
201107,80.6,5.1
201108,75.5,1.8
201109,70.7,3.3
201110,57.2,0.8
201111,50.8,5.1
201112,43.4,7.2
201201,39.3,6.0
201202,41.1,6.7
201203,52.4,9.7
201204,55.0,3.0
201205,67.8,5.7
201206,72.9,2.2
201207,80.9,5.4
201208,76.8,3.1
201209,68.4,1.0
201210,59.4,3.0
201211,43.5,-2.2
201212,44.2,8.0
201301,37.4,4.1
201302,35.9,1.5
201303,40.5,-2.2
201304,54.6,2.6
201305,63.7,1.6
201306,73.5,2.8
201307,79.2,3.7
201308,73.4,-0.3
201309,66.7,-0.7
201310,59.5,3.1
201311,45.1,-0.6
201312,40.4,4.2
201401,30.0,-3.3
201402,33.9,-0.5
201403,39.6,-3.1
201404,52.9,0.9
201405,64.9,2.8
201406,72.8,2.1
201407,75.8,0.3
201408,72.6,-1.1
201409,69.1,1.7
201410,59.4,3.0
201411,44.6,-1.1
201412,41.0,4.8
201501,32.1,-1.2
201502,26.3,-8.1
201503,40.0,-2.7
201504,54.2,2.2
201505,67.9,5.8
201506,73.6,2.9
201507,76.9,1.4
201508,75.1,1.4
201509,72.0,4.6
201510,56.5,0.1
201511,51.6,5.9
201512,50.8,14.6
201601,34.3,1.0
201602,38.5,4.1
201603,49.7,7.0
201604,53.1,1.1
201605,61.7,-0.4
201606,72.4,1.7
201607,79.6,4.1
201608,78.6,4.9
201609,72.0,4.6
201610,60.3,3.9
201611,49.0,3.3
201612,39.2,3.0
201701,39.1,5.8
201702,44.4,10.0
201703,43.8,1.1
201704,59.6,7.6
201705,62.8,0.7
201706,73.6,2.9
201707,78.4,2.9
201708,74.0,0.3
201709,69.8,2.4
201710,62.4,6.0
201711,47.5,1.8
201712,36.1,-0.1
201801,32.8,-0.5
201802,43.2,8.8
201803,40.5,-2.2
201804,51.6,-0.4
201805,68.3,6.2
201806,72.6,1.9
201807,77.2,1.7
201808,78.6,4.9
201809,73.6,6.2
201810,60.2,3.8
201811,45.7,0.0
201812,41.4,5.2
201901,35.3,2.0
201902,38.7,4.3
201903,43.2,0.5
201904,58.7,6.7
201905,66.9,4.8
201906,73.8,3.1
201907,79.8,4.3
201908,76.4,2.7
201909,71.6,4.2
201910,61.5,5.1
201911,43.6,-2.1
201912,40.0,3.8
202001,40.2,6.9
202002,41.9,7.5
202003,49.5,6.8
202004,51.8,-0.2
202005,60.6,-1.5
202006,73.7,3.0
202007,80.7,5.2
202008,77.2,3.5
202009,68.7,1.3
202010,60.0,3.6
202011,51.8,6.1
202012,39.7,3.5
202101,36.2,2.9
202102,35.6,1.2
202103,47.6,4.9
202104,55.3,3.3
202105,63.3,1.2
202106,73.8,3.1
202107,77.7,2.2
202108,76.9,3.2
202109,70.1,2.7
202110,63.2,6.8
202111,45.1,-0.6
202112,44.0,7.8
202201,31.6,-1.7
202202,39.1,4.7
202203,47.2,4.5
202204,53.2,1.2
202205,65.1,3.0
202206,72.4,1.7
202207,79.0,3.5
202208,78.1,4.4
202209,69.3,1.9
202210,55.8,-0.6
202211,49.8,4.1
202212,37.8,1.6
