#  Delaware Maximum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,42.8,0.8
199702,50.0,6.4
199703,55.7,2.9
199704,61.7,-1.4
199705,71.0,-2.3
199706,80.2,-1.1
199707,86.9,1.3
199708,84.5,0.9
199709,77.5,-0.3
199710,68.1,0.9
199711,52.8,-2.7
199712,47.6,2.6
199801,50.0,8.0
199802,49.3,5.7
199803,54.8,2.0
199804,66.4,3.3
199805,75.0,1.7
199806,81.0,-0.3
199807,86.7,1.1
199808,85.8,2.2
199809,82.2,4.4
199810,68.3,1.1
199811,58.6,3.1
199812,51.6,6.6
199901,48.4,6.4
199902,48.0,4.4
199903,52.6,-0.2
199904,65.3,2.2
199905,74.3,1.0
199906,81.7,0.4
199907,89.9,4.3
199908,86.5,2.9
199909,77.4,-0.4
199910,67.3,0.1
199911,61.7,6.2
199912,49.6,4.6
200001,42.8,0.8
200002,49.6,6.0
200003,59.9,7.1
200004,62.2,-0.9
200005,75.3,2.0
200006,83.0,1.7
200007,82.0,-3.6
200008,82.0,-1.6
200009,76.1,-1.7
200010,69.7,2.5
200011,54.8,-0.7
200012,40.2,-4.8
200101,41.4,-0.6
200102,48.3,4.7
200103,50.7,-2.1
200104,65.6,2.5
200105,74.2,0.9
200106,83.4,2.1
200107,83.2,-2.4
200108,86.3,2.7
200109,77.3,-0.5
200110,70.0,2.8
200111,63.8,8.3
200112,53.8,8.8
200201,48.7,6.7
200202,52.3,8.7
200203,56.9,4.1
200204,68.4,5.3
200205,74.3,1.0
200206,83.9,2.6
200207,89.4,3.8
200208,88.8,5.2
200209,80.6,2.8
200210,66.3,-0.9
200211,54.7,-0.8
200212,44.7,-0.3
200301,37.4,-4.6
200302,40.1,-3.5
200303,56.0,3.2
200304,62.2,-0.9
200305,67.8,-5.5
200306,79.2,-2.1
200307,85.6,0.0
200308,85.6,2.0
200309,78.6,0.8
200310,66.7,-0.5
200311,61.7,6.2
200312,46.8,1.8
200401,36.9,-5.1
200402,45.4,1.8
200403,55.7,2.9
200404,65.0,1.9
200405,80.0,6.7
200406,81.2,-0.1
200407,85.3,-0.3
200408,82.9,-0.7
200409,78.9,1.1
200410,65.5,-1.7
200411,58.3,2.8
200412,48.7,3.7
200501,42.8,0.8
200502,45.8,2.2
200503,48.9,-3.9
200504,66.1,3.0
200505,69.4,-3.9
200506,82.3,1.0
200507,87.1,1.5
200508,87.4,3.8
200509,83.7,5.9
200510,67.7,0.5
200511,61.0,5.5
200512,44.2,-0.8
200601,51.6,9.6
200602,46.7,3.1
200603,55.6,2.8
200604,68.3,5.2
200605,74.6,1.3
200606,81.4,0.1
200607,88.0,2.4
200608,87.3,3.7
200609,75.7,-2.1
200610,66.5,-0.7
200611,59.7,4.2
200612,54.2,9.2
200701,49.1,7.1
200702,37.7,-5.9
200703,56.9,4.1
200704,61.2,-1.9
200705,76.5,3.2
200706,83.2,1.9
200707,86.7,1.1
200708,86.7,3.1
200709,81.3,3.5
200710,74.4,7.2
200711,56.0,0.5
200712,47.1,2.1
200801,45.6,3.6
200802,49.8,6.2
200803,56.4,3.6
200804,65.8,2.7
200805,72.0,-1.3
200806,86.4,5.1
200807,87.9,2.3
200808,84.6,1.0
200809,79.5,1.7
200810,67.3,0.1
200811,53.6,-1.9
200812,50.6,5.6
200901,38.9,-3.1
200902,48.8,5.2
200903,53.4,0.6
200904,65.9,2.8
200905,73.7,0.4
200906,79.8,-1.5
200907,84.7,-0.9
200908,86.6,3.0
200909,75.6,-2.2
200910,66.6,-0.6
200911,58.8,3.3
200912,45.2,0.2
201001,41.2,-0.8
201002,38.3,-5.3
201003,57.9,5.1
201004,69.8,6.7
201005,77.2,3.9
201006,88.1,6.8
201007,90.3,4.7
201008,86.9,3.3
201009,82.5,4.7
201010,68.7,1.5
201011,57.5,2.0
201012,39.1,-5.9
201101,37.8,-4.2
201102,49.8,6.2
201103,53.5,0.7
201104,67.7,4.6
