#  Delaware Palmer Z-Index
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,-0.99,-1.03
199702,-0.42,-0.45
199703,0.81,0.75
199704,0.05,-0.01
199705,-0.57,-0.35
199706,-0.66,-0.80
199707,-1.57,-1.65
199708,0.01,-0.04
199709,-1.81,-1.78
199710,-0.73,-0.68
199711,2.71,2.98
199712,-0.28,-0.42
199801,2.64,2.60
199802,2.86,2.83
199803,1.11,1.05
199804,-0.78,-0.84
199805,0.04,0.26
199806,0.13,-0.01
199807,-2.08,-2.16
199808,-1.56,-1.61
199809,-2.34,-2.31
199810,-1.70,-1.65
199811,-3.44,-3.17
199812,-2.53,-2.67
199901,1.63,1.59
199902,-0.55,-0.58
199903,0.99,0.93
199904,-0.83,-0.89
199905,-2.35,-2.13
199906,-1.95,-2.09
199907,-3.10,-3.18
199908,-0.94,-0.99
199909,6.21,6.24
199910,1.55,1.60
199911,-1.02,-0.75
199912,-0.46,-0.60
200001,0.00,-0.04
200002,-1.43,-1.46
200003,2.75,2.69
200004,0.43,0.37
200005,-0.75,-0.53
200006,1.36,1.22
200007,2.36,2.28
200008,0.67,0.62
200009,2.55,2.58
200010,-2.54,-2.49
200011,-0.66,-0.39
200012,0.00,-0.14
200101,-0.30,-0.34
200102,-0.30,-0.33
200103,2.01,1.95
200104,-2.13,-2.19
200105,-0.12,0.10
200106,1.56,1.42
200107,1.39,1.31
200108,1.76,1.71
200109,-0.87,-0.84
200110,-2.24,-2.19
200111,-3.56,-3.29
200112,-2.71,-2.85
200201,-1.86,-1.90
200202,-3.43,-3.46
200203,0.57,0.51
200204,0.00,-0.06
200205,-0.64,-0.42
200206,-0.88,-1.02
200207,-2.23,-2.31
200208,-2.40,-2.45
200209,1.71,1.74
200210,4.40,4.45
200211,3.12,3.39
200212,1.23,1.09
200301,-1.92,-1.96
200302,4.40,4.37
200303,0.01,-0.05
200304,0.05,-0.01
200305,1.43,1.65
200306,3.51,3.37
200307,1.43,1.35
200308,0.84,0.79
200309,2.55,2.58
200310,1.71,1.76
200311,2.14,2.41
200312,3.01,2.87
200401,-1.11,-1.15
200402,-1.08,-1.11
200403,-1.65,-1.71
200404,2.07,2.01
200405,-1.64,-1.42
200406,-0.31,-0.45
200407,1.26,1.18
200408,1.74,1.69
200409,0.28,0.31
200410,-1.02,-0.97
200411,1.25,1.52
200412,-0.36,-0.50
200501,1.15,1.11
200502,-1.23,-1.26
200503,0.47,0.41
200504,0.22,0.16
200505,1.32,1.54
200506,0.78,0.64
200507,0.89,0.81
200508,-1.93,-1.98
200509,-3.93,-3.90
200510,4.51,4.56
200511,0.57,0.84
200512,0.84,0.70
200601,0.10,0.06
200602,-2.03,-2.06
200603,-4.12,-4.18
200604,-1.41,-1.47
200605,-2.05,-1.83
200606,6.55,6.41
200607,1.01,0.93
200608,-2.44,-2.49
200609,2.86,2.89
200610,3.09,3.14
200611,2.78,3.05
200612,-1.62,-1.76
200701,0.30,0.26
200702,-0.51,-0.54
200703,-0.77,-0.83
200704,3.07,3.01
200705,-2.91,-2.69
200706,-1.14,-1.28
200707,-2.26,-2.34
200708,-1.70,-1.75
200709,-3.24,-3.21
200710,0.07,0.12
200711,-2.57,-2.30
200712,0.34,0.20
200801,-1.82,-1.86
200802,0.59,0.56
200803,-1.19,-1.25
200804,-0.58,-0.64
200805,1.95,2.17
200806,-0.60,-0.74
200807,-0.02,-0.10
200808,-3.05,-3.10
200809,0.04,0.07
200810,-1.93,-1.88
200811,0.54,0.81
200812,1.83,1.69
200901,-1.05,-1.09
200902,-3.56,-3.59
200903,-1.73,-1.79
200904,1.79,1.73
200905,1.03,1.25
200906,2.48,2.34
200907,-1.04,-1.12
200908,2.87,2.82
200909,2.21,2.24
200910,4.64,4.69
200911,1.67,1.94
200912,5.08,4.94
201001,-0.54,-0.58
201002,1.27,1.24
201003,2.22,2.16
201004,-2.58,-2.64
201005,-2.16,-1.94
201006,-3.01,-3.15
201007,-1.55,-1.63
201008,-1.97,-2.02
201009,-1.00,-0.97
201010,1.77,1.82
201011,-1.54,-1.27
201012,-1.22,-1.36
201101,-0.13,-0.17
201102,-1.07,-1.10
201103,0.05,-0.01
201104,-0.89,-0.95
201105,-1.96,-1.74
201106,-2.58,-2.72
201107,-2.23,-2.31
201108,3.95,3.90
201109,0.69,0.72
201110,0.06,0.11
201111,0.65,0.92
201112,-0.29,-0.43
201201,-1.69,-1.73
201202,-1.48,-1.51
201203,-4.15,-4.21
201204,-1.78,-1.84
201205,-2.10,-1.88
201206,-1.17,-1.31
201207,-2.48,-2.56
201208,0.19,0.14
201209,-0.42,-0.39
201210,4.56,4.61
201211,-1.52,-1.25
201212,0.54,0.40
201301,-0.55,-0.59
201302,-0.46,-0.49
201303,-0.18,-0.24
201304,-0.06,-0.12
201305,-1.08,-0.86
201306,6.52,6.38
201307,2.28,2.20
201308,1.93,1.88
201309,-1.91,-1.88
201310,1.07,1.12
201311,-0.16,0.11
201312,1.90,1.76
201401,-0.23,-0.27
201402,2.10,2.07
201403,0.26,0.20
201404,1.03,0.97
201405,-1.07,-0.85
201406,-1.28,-1.42
201407,0.56,0.48
201408,-0.13,-0.18
201409,-0.37,-0.34
201410,-1.42,-1.37
201411,0.19,0.46
201412,0.44,0.30
201501,1.86,1.82
201502,-0.73,-0.76
201503,0.94,0.88
201504,-0.65,-0.71
201505,-3.05,-2.83
201506,5.26,5.12
201507,-0.55,-0.63
201508,-1.50,-1.55
201509,-1.20,-1.17
201510,0.35,0.40
201511,-1.00,-0.73
201512,0.33,0.19
201601,-0.78,-0.82
201602,0.81,0.78
201603,-3.11,-3.17
201604,-0.97,-1.03
201605,2.18,2.40
201606,0.15,0.01
201607,0.84,0.76
201608,-1.63,-1.68
201609,5.72,5.75
201610,-0.01,0.04
201611,-2.19,-1.92
201612,-0.30,-0.44
201701,-0.69,-0.73
201702,-3.04,-3.07
201703,0.51,0.45
201704,-2.05,-2.11
201705,1.82,2.04
201706,-1.60,-1.74
201707,2.94,2.86
201708,3.25,3.20
201709,-0.70,-0.67
201710,0.18,0.23
201711,-0.90,-0.63
201712,-2.06,-2.20
201801,-0.38,-0.42
201802,1.95,1.92
201803,0.42,0.36
201804,0.03,-0.03
201805,2.40,2.62
201806,0.41,0.27
201807,1.51,1.43
201808,-0.14,-0.19
201809,2.46,2.49
201810,2.25,2.30
201811,4.57,4.84
201812,1.68,1.54
201901,0.05,0.01
201902,0.39,0.36
201903,-0.38,-0.44
201904,-0.80,-0.86
201905,0.08,0.30
201906,1.42,1.28
201907,-0.87,-0.95
201908,-1.57,-1.62
201909,-3.18,-3.15
201910,-0.18,-0.13
201911,-2.45,-2.18
201912,-0.21,-0.35
202001,-0.56,-0.60
202002,-0.13,-0.16
202003,-1.03,-1.09
202004,0.66,0.60
202005,-0.94,-0.72
202006,-1.46,-1.60
202007,0.71,0.63
202008,3.22,3.17
202009,1.16,1.19
202010,2.71,2.76
202011,2.94,3.21
202012,3.10,2.96
202101,-1.25,-1.29
202102,3.46,3.43
202103,0.11,0.05
202104,-1.80,-1.86
202105,-0.88,-0.66
202106,-0.69,-0.83
202107,0.47,0.39
202108,0.42,0.37
202109,-0.12,-0.09
202110,-0.63,-0.58
202111,-2.76,-2.49
202112,-3.71,-3.85
202201,0.15,0.11
202202,-1.65,-1.68
202203,-1.52,-1.58
202204,0.45,0.39
202205,-0.07,0.15
202206,-0.17,-0.31
202207,-0.96,-1.04
202208,-2.81,-2.86
202209,-1.22,-1.19
202210,0.96,1.01
202211,-1.00,-0.73
202212,1.17,1.03
