#  Florida Cooling Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,94,12
199702,150,72
199703,241,122
199704,176,-7
199705,345,15
199706,440,1
199707,535,37
199708,528,25
199709,456,17
199710,284,-1
199711,130,0
199712,81,2
199801,111,29
199802,79,1
199803,88,-31
199804,200,17
199805,398,68
199806,578,139
199807,577,79
199808,564,61
199809,478,39
199810,372,87
199811,219,89
199812,156,77
199901,114,32
199902,94,16
199903,94,-25
199904,269,86
199905,325,-5
199906,438,-1
199907,538,40
199908,559,56
199909,447,8
199910,315,30
199911,155,25
199912,85,6
200001,84,2
200002,83,5
200003,187,68
200004,168,-15
200005,395,65
200006,470,31
200007,532,34
200008,523,20
200009,467,28
200010,254,-31
200011,116,-14
200012,68,-11
200101,32,-50
200102,155,77
200103,136,17
200104,203,20
200105,325,-5
200106,467,28
200107,508,10
200108,525,22
200109,409,-30
200110,285,0
200111,175,45
200112,151,72
200201,96,14
200202,86,8
200203,181,62
200204,293,110
200205,394,64
200206,443,4
200207,515,17
200208,512,9
200209,500,61
200210,394,109
200211,117,-13
200212,68,-11
200301,29,-53
200302,109,31
200303,256,137
200304,189,6
200305,432,102
200306,466,27
200307,524,26
200308,508,5
200309,449,10
200310,332,47
200311,213,83
200312,51,-28
200401,68,-14
200402,92,14
200403,143,24
200404,146,-37
200405,371,41
200406,509,70
200407,527,29
200408,525,22
200409,470,31
200410,331,46
200411,180,50
200412,67,-12
200501,97,15
200502,85,7
200503,104,-15
200504,129,-54
200505,326,-4
200506,452,13
200507,577,79
200508,580,77
200509,486,47
200510,330,45
200511,183,53
200512,64,-15
200601,105,23
200602,62,-16
200603,127,8
200604,259,76
200605,351,21
200606,474,35
200607,525,27
200608,550,47
200609,458,19
200610,290,5
200611,112,-18
200612,166,87
200701,138,56
200702,68,-10
200703,159,40
200704,172,-11
200705,329,-1
200706,452,13
200707,545,47
200708,580,77
200709,480,41
200710,404,119
200711,146,16
200712,157,78
200801,92,10
200802,136,58
200803,141,22
200804,192,9
200805,383,53
200806,481,42
200807,504,6
200808,518,15
200809,465,26
200810,268,-17
200811,83,-47
200812,108,29
200901,66,-16
200902,56,-22
200903,133,14
200904,203,20
200905,383,53
200906,505,66
200907,530,32
200908,553,50
200909,486,47
200910,377,92
200911,169,39
200912,110,31
201001,29,-53
201002,24,-54
201003,43,-76
201004,189,6
201005,438,108
201006,556,117
201007,575,77
201008,576,73
201009,495,56
201010,284,-1
201011,139,9
201012,11,-68
201101,60,-22
201102,109,31
201103,156,37
201104,296,113
201105,382,52
201106,508,69
201107,550,52
201108,580,77
201109,475,36
201110,251,-34
201111,173,43
201112,135,56
201201,84,2
201202,141,63
201203,226,107
201204,223,40
201205,400,70
201206,442,3
201207,535,37
201208,527,24
201209,456,17
201210,314,29
201211,87,-43
201212,114,35
201301,162,80
201302,109,31
201303,48,-71
201304,256,73
201305,314,-16
201306,489,50
201307,501,3
201308,546,43
201309,464,25
201310,336,51
201311,205,75
201312,176,97
201401,62,-20
201402,137,59
201403,128,9
201404,224,41
201405,373,43
201406,461,22
201407,531,33
201408,564,61
201409,460,21
201410,299,14
201411,96,-34
201412,108,29
201501,101,19
201502,58,-20
201503,237,118
201504,347,164
201505,409,79
201506,508,69
201507,552,54
201508,549,46
201509,478,39
201510,351,66
201511,299,169
201512,261,182
201601,73,-9
201602,70,-8
201603,217,98
201604,233,50
201605,372,42
201606,516,77
201607,597,99
201608,565,62
201609,500,61
201610,346,61
201611,161,31
201612,195,116
201701,133,51
201702,148,70
201703,150,31
201704,263,80
201705,411,81
201706,479,40
201707,566,68
201708,567,64
201709,495,56
201710,355,70
201711,197,67
201712,115,36
201801,62,-20
201802,220,142
201803,97,-22
201804,232,49
201805,368,38
201806,503,64
201807,548,50
201808,547,44
201809,531,92
201810,407,122
201811,199,69
201812,117,38
201901,82,0
201902,192,114
201903,156,37
201904,250,67
201905,446,116
201906,531,92
201907,564,66
201908,563,60
201909,515,76
201910,448,163
201911,160,30
201912,147,68
202001,125,43
202002,136,58
202003,247,128
202004,308,125
202005,364,34
202006,499,60
202007,567,69
202008,578,75
202009,497,58
202010,427,142
202011,260,130
202012,63,-16
202101,86,4
202102,152,74
202103,188,69
202104,219,36
202105,389,59
202106,487,48
202107,533,35
202108,560,57
202109,469,30
202110,375,90
202111,122,-8
202112,178,99
202201,81,-1
202202,131,53
202203,221,102
202204,266,83
202205,420,90
202206,507,68
202207,577,79
202208,575,72
202209,474,35
202210,287,2
202211,253,123
202212,111,32
