#  Florida Palmer Z-Index
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,0.21,0.07
199702,-1.43,-1.32
199703,-2.15,-2.00
199704,3.33,3.41
199705,-0.17,-0.22
199706,0.68,0.56
199707,0.07,0.15
199708,-0.82,-0.82
199709,-1.14,-1.10
199710,0.15,-0.09
199711,4.03,3.98
199712,6.01,5.85
199801,1.71,1.57
199802,5.57,5.68
199803,2.42,2.57
199804,-2.07,-1.99
199805,-3.16,-3.21
199806,-6.07,-6.19
199807,-1.79,-1.71
199808,-2.40,-2.40
199809,4.43,4.47
199810,-2.30,-2.54
199811,-0.04,-0.09
199812,-2.24,-2.40
199901,0.85,0.71
199902,-2.31,-2.20
199903,-1.84,-1.69
199904,-2.28,-2.20
199905,-0.50,-0.55
199906,2.34,2.22
199907,-2.02,-1.94
199908,-0.78,-0.78
199909,0.16,0.20
199910,1.38,1.14
199911,0.00,-0.05
199912,-0.44,-0.60
200001,-0.62,-0.76
200002,-2.38,-2.27
200003,-1.76,-1.61
200004,-0.88,-0.80
200005,-3.87,-3.92
200006,-2.18,-2.30
200007,-2.54,-2.46
200008,-3.70,-3.70
200009,1.19,1.23
200010,-1.90,-2.14
200011,-0.94,-0.99
200012,-1.74,-1.90
200101,-1.44,-1.58
200102,-3.65,-3.54
200103,1.72,1.87
200104,-2.37,-2.29
200105,-2.03,-2.08
200106,0.63,0.51
200107,1.81,1.89
200108,-0.11,-0.11
200109,4.34,4.38
200110,-0.67,-0.91
200111,-1.26,-1.31
200112,-2.28,-2.44
200201,-0.10,-0.24
200202,-0.52,-0.41
200203,-1.38,-1.23
200204,-1.52,-1.44
200205,-2.26,-2.31
200206,2.72,2.60
200207,0.54,0.62
200208,0.67,0.67
200209,-0.22,-0.18
200210,-0.51,-0.75
200211,2.03,1.98
200212,4.91,4.75
200301,-0.84,-0.98
200302,0.47,0.58
200303,1.68,1.83
200304,-0.22,-0.14
200305,-0.19,-0.24
200306,3.68,3.56
200307,0.17,0.25
200308,2.06,2.06
200309,-0.44,-0.40
200310,-1.07,-1.31
200311,-0.44,-0.49
200312,-0.09,-0.25
200401,-0.38,-0.52
200402,2.20,2.31
200403,-2.85,-2.70
200404,-0.76,-0.68
200405,-2.87,-2.92
200406,0.04,-0.08
200407,-1.23,-1.15
200408,2.38,2.38
200409,5.86,5.90
200410,-1.41,-1.65
200411,-0.29,-0.34
200412,-0.14,-0.30
200501,-1.28,-1.42
200502,-0.89,-0.78
200503,2.04,2.19
200504,2.53,2.61
200505,0.39,0.34
200506,4.40,4.28
200507,-0.21,-0.13
200508,-0.10,-0.10
200509,-2.53,-2.49
200510,1.04,0.80
200511,0.53,0.48
