#  Georgia Cooling Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,7,-1
199702,6,2
199703,58,40
199704,10,-22
199705,76,-85
199706,207,-120
199707,429,13
199708,331,-59
199709,233,-5
199710,49,-6
199711,2,-5
199712,2,-1
199801,13,5
199802,4,0
199803,10,-8
199804,23,-9
199805,231,70
199806,408,81
199807,489,73
199808,400,10
199809,296,58
199810,84,29
199811,23,16
199812,9,6
199901,14,6
199902,6,2
199903,7,-11
199904,71,39
199905,125,-36
199906,288,-39
199907,434,18
199908,476,86
199909,204,-34
199910,50,-5
199911,14,7
199912,2,-1
200001,5,-3
200002,5,1
200003,31,13
200004,12,-20
200005,225,64
200006,335,8
200007,444,28
200008,400,10
200009,184,-54
200010,50,-5
200011,3,-4
200012,0,-3
200101,2,-6
200102,9,5
200103,8,-10
200104,41,9
200105,154,-7
200106,282,-45
200107,394,-22
200108,398,8
200109,171,-67
200110,28,-27
200111,25,18
200112,9,6
200201,8,0
200202,2,-2
200203,20,2
200204,84,52
200205,132,-29
200206,320,-7
200207,451,35
200208,422,32
200209,300,62
200210,103,48
200211,2,-5
200212,1,-2
200301,1,-7
200302,2,-2
200303,31,13
200304,27,-5
200305,162,1
200306,268,-59
200307,375,-41
200308,400,10
200309,196,-42
200310,50,-5
200311,22,15
200312,0,-3
200401,3,-5
200402,1,-3
200403,32,14
200404,24,-8
200405,224,63
200406,335,8
200407,413,-3
200408,332,-58
200409,205,-33
200410,99,44
200411,16,9
200412,1,-2
200501,14,6
200502,5,1
200503,10,-8
200504,15,-17
200505,98,-63
200506,294,-33
200507,440,24
200508,430,40
200509,305,67
200510,71,16
200511,10,3
200512,1,-2
200601,19,11
200602,1,-3
200603,17,-1
200604,76,44
200605,140,-21
200606,322,-5
200607,458,42
200608,477,87
200609,191,-47
200610,33,-22
200611,4,-3
200612,7,4
200701,10,2
200702,1,-3
200703,41,23
200704,13,-19
200705,153,-8
200706,344,17
200707,370,-46
200708,538,148
200709,284,46
200710,98,43
200711,4,-3
200712,9,6
200801,4,-4
200802,4,0
200803,14,-4
200804,25,-7
200805,138,-23
200806,379,52
200807,406,-10
200808,384,-6
200809,238,0
200810,33,-22
200811,1,-6
200812,7,4
200901,6,-2
200902,1,-3
200903,18,0
200904,20,-12
200905,165,4
200906,389,62
200907,360,-56
200908,383,-7
200909,227,-11
200910,45,-10
200911,7,0
200912,1,-2
201001,1,-7
201002,0,-4
201003,5,-13
201004,45,13
201005,218,57
201006,434,107
201007,488,72
201008,495,105
201009,296,58
201010,57,2
201011,5,-2
201012,0,-3
201101,1,-7
201102,5,1
201103,24,6
201104,56,24
201105,160,-1
201106,424,97
201107,488,72
201108,484,94
201109,204,-34
201110,27,-28
201111,8,1
201112,6,3
201201,14,6
201202,7,3
201203,89,71
201204,56,24
201205,224,63
201206,283,-44
201207,496,80
201208,355,-35
201209,218,-20
201210,52,-3
201211,2,-5
201212,7,4
201301,21,13
201302,2,-2
201303,3,-15
201304,27,-5
201305,103,-58
201306,327,0
201307,355,-61
201308,339,-51
201309,227,-11
201310,58,3
201311,3,-4
201312,6,3
201401,1,-7
201402,3,-1
201403,6,-12
201404,29,-3
201405,161,0
201406,347,20
201407,364,-52
201408,375,-15
201409,265,27
201410,67,12
201411,1,-6
201412,6,3
201501,4,-4
201502,0,-4
201503,29,11
201504,65,33
201505,191,30
201506,379,52
201507,461,45
201508,393,3
201509,215,-23
201510,56,1
201511,24,17
201512,35,32
201601,3,-5
201602,3,-1
201603,44,26
201604,36,4
201605,152,-9
201606,395,68
201607,506,90
201608,473,83
201609,338,100
201610,105,50
201611,15,8
201612,8,5
201701,24,16
201702,19,15
201703,25,7
201704,86,54
201705,165,4
201706,296,-31
201707,435,19
201708,383,-7
201709,207,-31
201710,82,27
201711,8,1
201712,3,0
201801,2,-6
201802,31,27
201803,12,-6
201804,12,-20
201805,240,79
201806,380,53
201807,422,6
201808,392,2
201809,395,157
201810,104,49
201811,4,-3
201812,5,2
201901,8,0
201902,17,13
201903,17,-1
201904,44,12
201905,276,115
201906,324,-3
201907,451,35
201908,436,46
201909,384,146
201910,128,73
201911,3,-4
201912,7,4
202001,18,10
202002,6,2
202003,63,45
202004,28,-4
202005,117,-44
202006,301,-26
202007,467,51
202008,427,37
202009,224,-14
202010,106,51
202011,28,21
202012,1,-2
202101,7,-1
202102,3,-1
202103,38,20
202104,22,-10
202105,123,-38
202106,307,-20
202107,402,-14
202108,422,32
202109,214,-24
202110,96,41
202111,2,-5
202112,22,19
202201,5,-3
202202,7,3
202203,30,12
202204,28,-4
202205,213,52
202206,398,71
202207,467,51
202208,402,12
202209,217,-21
202210,31,-24
202211,14,7
202212,3,0
