#  Georgia Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,0.47,0.25
199702,0.77,0.62
199703,-0.99,-1.01
199704,0.38,0.49
199705,0.38,0.61
199706,0.84,0.95
199707,0.65,0.70
199708,0.07,0.04
199709,0.40,0.36
199710,1.46,1.30
199711,2.60,2.48
199712,3.22,3.01
199801,3.41,3.19
199802,4.12,3.97
199803,4.07,4.05
199804,4.45,4.56
199805,-0.59,-0.36
199806,-1.53,-1.42
199807,-2.14,-2.09
199808,-2.52,-2.55
199809,-1.39,-1.43
199810,-1.75,-1.91
199811,-2.27,-2.39
199812,-2.84,-3.05
199901,-2.46,-2.68
199902,-2.78,-2.93
199903,-3.24,-3.26
199904,-3.78,-3.67
199905,-3.75,-3.52
199906,-2.73,-2.62
199907,-2.69,-2.64
199908,-3.30,-3.33
199909,-3.02,-3.06
199910,-2.79,-2.95
199911,-2.94,-3.06
199912,-3.39,-3.60
200001,-3.04,-3.26
200002,-3.72,-3.87
200003,-3.60,-3.62
200004,-3.54,-3.43
200005,-4.38,-4.15
200006,-4.39,-4.28
200007,-4.96,-4.91
200008,-4.98,-5.01
200009,-3.53,-3.57
200010,-3.85,-4.01
200011,-3.00,-3.12
200012,-2.73,-2.94
200101,-2.85,-3.07
200102,-3.52,-3.67
200103,-1.95,-1.97
200104,-2.51,-2.40
200105,-2.70,-2.47
200106,-1.35,-1.24
200107,-1.12,-1.07
200108,-1.58,-1.61
200109,-1.30,-1.34
200110,-1.75,-1.91
200111,-2.39,-2.51
200112,-3.21,-3.42
200201,-3.22,-3.44
200202,-3.62,-3.77
200203,-3.16,-3.18
200204,-3.68,-3.57
200205,-3.58,-3.35
200206,-3.59,-3.48
200207,-3.85,-3.80
200208,-4.10,-4.13
200209,0.52,0.48
200210,0.92,0.76
200211,1.65,1.53
200212,2.04,1.83
200301,1.09,0.87
200302,1.29,1.14
200303,1.69,1.67
200304,1.78,1.89
200305,2.47,2.70
200306,3.45,3.56
200307,4.07,4.12
200308,4.27,4.24
200309,3.85,3.81
200310,3.74,3.58
200311,-0.04,-0.16
200312,-0.34,-0.55
200401,-0.73,-0.95
200402,-0.28,-0.43
200403,-1.66,-1.68
200404,-2.29,-2.18
200405,-2.61,-2.38
200406,0.88,0.99
200407,0.38,0.43
200408,0.39,0.36
200409,3.38,3.34
200410,2.90,2.74
200411,3.26,3.14
200412,2.74,2.53
200501,1.72,1.50
200502,1.45,1.30
200503,1.90,1.88
200504,2.14,2.25
200505,1.79,2.02
200506,2.93,3.04
200507,3.66,3.71
200508,3.91,3.88
200509,-0.87,-0.91
200510,-0.64,-0.80
200511,-0.65,-0.77
200512,-0.47,-0.68
200601,-0.59,-0.81
200602,-0.52,-0.67
200603,-1.58,-1.60
200604,-2.11,-2.00
200605,-2.32,-2.09
200606,-2.45,-2.34
200607,-3.31,-3.26
