#  Georgia Palmer Hydrological Drought Index (PHDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,0.47,0.32
199702,0.77,0.60
199703,-0.99,-1.12
199704,0.38,0.38
199705,0.38,0.44
199706,0.84,0.85
199707,0.65,0.62
199708,0.07,0.09
199709,0.40,0.38
199710,1.46,1.45
199711,2.60,2.56
199712,3.22,3.17
199801,3.41,3.26
199802,4.12,3.95
199803,4.07,3.94
199804,4.45,4.45
199805,3.41,3.47
199806,2.06,2.07
199807,1.07,1.04
199808,-2.52,-2.50
199809,-1.39,-1.41
199810,-1.75,-1.76
199811,-2.27,-2.31
199812,-2.84,-2.89
199901,-2.46,-2.61
199902,-2.78,-2.95
199903,-3.24,-3.37
199904,-3.78,-3.78
199905,-3.75,-3.69
199906,-2.73,-2.72
199907,-2.69,-2.72
199908,-3.30,-3.28
199909,-3.02,-3.04
199910,-2.79,-2.80
199911,-2.94,-2.98
199912,-3.39,-3.44
200001,-3.04,-3.19
200002,-3.72,-3.89
200003,-3.60,-3.73
200004,-3.54,-3.54
200005,-4.38,-4.32
200006,-4.39,-4.38
200007,-4.96,-4.99
200008,-4.98,-4.96
200009,-3.53,-3.55
200010,-3.85,-3.86
200011,-3.00,-3.04
200012,-2.73,-2.78
200101,-2.85,-3.00
200102,-3.52,-3.69
200103,-1.95,-2.08
200104,-2.51,-2.51
200105,-2.70,-2.64
200106,-1.35,-1.34
200107,-1.12,-1.15
200108,-1.58,-1.56
200109,-1.30,-1.32
200110,-1.75,-1.76
200111,-2.39,-2.43
200112,-3.21,-3.26
200201,-3.22,-3.37
200202,-3.62,-3.79
200203,-3.16,-3.29
200204,-3.68,-3.68
200205,-3.58,-3.52
200206,-3.59,-3.58
200207,-3.85,-3.88
200208,-4.10,-4.08
200209,-3.16,-3.18
200210,-2.38,-2.39
200211,-1.31,-1.35
200212,-0.62,-0.67
200301,-1.29,-1.44
200302,-0.85,-1.02
200303,1.69,1.56
200304,1.78,1.78
200305,2.47,2.53
200306,3.45,3.46
200307,4.07,4.04
200308,4.27,4.29
200309,3.85,3.83
200310,3.74,3.73
200311,3.31,3.27
200312,2.67,2.62
200401,1.97,1.82
200402,2.14,1.97
200403,-1.66,-1.79
200404,-2.29,-2.29
200405,-2.61,-2.55
200406,-1.46,-1.45
200407,-1.72,-1.75
200408,-1.49,-1.47
200409,3.38,3.36
200410,2.90,2.89
200411,3.26,3.22
200412,2.74,2.69
200501,1.72,1.57
200502,1.45,1.28
200503,1.90,1.77
200504,2.14,2.14
200505,1.79,1.85
200506,2.93,2.94
200507,3.66,3.63
200508,3.91,3.93
200509,2.64,2.62
200510,2.51,2.50
200511,2.17,2.13
200512,2.06,2.01
200601,1.68,1.53
200602,1.52,1.35
200603,-1.58,-1.71
200604,-2.11,-2.11
200605,-2.32,-2.26
200606,-2.45,-2.44
200607,-3.31,-3.34
200608,-3.62,-3.60
200609,-3.55,-3.57
200610,-3.17,-3.18
200611,-2.90,-2.94
200612,-2.98,-3.03
200701,-2.75,-2.90
200702,-3.00,-3.17
200703,-3.76,-3.89
200704,-4.00,-4.00
200705,-4.76,-4.70
200706,-4.51,-4.50
200707,-4.26,-4.29
200708,-4.60,-4.58
200709,-4.67,-4.69
200710,-4.50,-4.51
200711,-4.75,-4.79
200712,-4.18,-4.23
200801,-4.03,-4.18
200802,-3.25,-3.42
200803,-3.37,-3.50
200804,-3.25,-3.25
200805,-3.31,-3.25
200806,-3.79,-3.78
200807,-3.86,-3.89
200808,-2.67,-2.65
200809,-3.35,-3.37
200810,-2.42,-2.43
200811,-1.79,-1.83
200812,-1.47,-1.52
200901,-1.83,-1.98
200902,-2.36,-2.53
200903,-1.70,-1.83
200904,-0.56,-0.56
200905,2.12,2.18
200906,1.29,1.30
200907,-1.22,-1.25
200908,-0.92,-0.90
200909,0.82,0.80
200910,1.91,1.90
200911,2.28,2.24
200912,3.81,3.76
201001,4.13,3.98
201002,3.55,3.38
201003,2.85,2.72
201004,1.95,1.95
201005,2.05,2.11
201006,1.66,1.67
201007,0.64,0.61
201008,-1.65,-1.63
201009,-1.96,-1.98
201010,-2.36,-2.37
201011,-2.57,-2.61
201012,-2.94,-2.99
201101,-3.01,-3.16
201102,-3.01,-3.18
201103,-2.53,-2.66
201104,-2.78,-2.78
201105,-3.50,-3.44
201106,-3.92,-3.91
201107,-4.29,-4.32
201108,-5.27,-5.25
201109,-4.91,-4.93
201110,-4.52,-4.53
201111,-4.29,-4.33
201112,-4.35,-4.40
201201,-4.49,-4.64
201202,-4.67,-4.84
201203,-4.84,-4.97
201204,-5.26,-5.26
201205,-4.91,-4.85
201206,-4.22,-4.21
201207,-4.39,-4.42
201208,-3.45,-3.43
201209,-3.42,-3.44
201210,-3.43,-3.44
201211,-3.77,-3.81
201212,-3.40,-3.45
201301,-3.53,-3.68
201302,-1.36,-1.53
201303,-1.40,-1.53
201304,-0.89,-0.89
201305,-0.66,-0.60
201306,2.72,2.73
201307,4.14,4.11
201308,5.09,5.11
201309,4.34,4.32
201310,3.39,3.38
201311,3.21,3.17
201312,3.61,3.56
201401,3.06,2.91
201402,2.60,2.43
201403,2.19,2.06
201404,3.08,3.08
201405,2.77,2.83
201406,2.25,2.26
201407,1.50,1.47
201408,0.67,0.69
201409,0.81,0.79
201410,0.63,0.62
201411,1.14,1.10
201412,1.41,1.36
201501,1.11,0.96
201502,1.14,0.97
201503,-0.83,-0.96
201504,-0.20,-0.20
201505,-0.86,-0.80
201506,-1.04,-1.03
201507,-1.53,-1.56
201508,-1.22,-1.20
201509,-1.21,-1.23
201510,-1.01,-1.02
201511,1.04,1.00
201512,2.16,2.11
201601,1.84,1.69
201602,1.77,1.60
201603,0.74,0.61
201604,0.68,0.68
201605,-1.03,-0.97
201606,-1.22,-1.21
201607,-2.38,-2.41
201608,-2.94,-2.92
201609,-3.19,-3.21
201610,-3.68,-3.69
201611,-4.31,-4.35
201612,-3.75,-3.80
201701,-2.44,-2.59
201702,-3.23,-3.40
201703,-3.91,-4.04
201704,-3.81,-3.81
201705,-2.79,-2.73
201706,-1.62,-1.61
201707,-1.55,-1.58
201708,-1.37,-1.35
201709,-0.71,-0.73
201710,1.68,1.67
201711,0.88,0.84
201712,-0.87,-0.92
201801,-1.17,-1.32
201802,-1.42,-1.59
201803,-1.73,-1.86
201804,-1.38,-1.38
201805,1.03,1.09
201806,1.16,1.17
201807,1.34,1.31
201808,1.62,1.64
201809,0.94,0.92
201810,1.05,1.04
201811,2.19,2.15
201812,3.82,3.77
201901,3.63,3.48
201902,2.64,2.47
201903,1.67,1.54
201904,1.41,1.41
201905,-1.93,-1.87
201906,-1.35,-1.34
201907,-1.94,-1.97
