#  Georgia Maximum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,58.5,1.4
199702,62.7,2.3
199703,75.2,7.7
199704,73.2,-2.6
199705,79.4,-4.0
199706,82.9,-6.2
199707,91.0,0.3
199708,88.4,-1.5
199709,86.7,1.1
199710,75.2,-1.2
199711,62.3,-4.3
199712,57.3,-0.9
199801,59.7,2.6
199802,60.8,0.4
199803,64.9,-2.6
199804,74.0,-1.8
199805,86.0,2.6
199806,93.6,4.5
199807,93.1,2.4
199808,90.7,0.8
199809,86.4,0.8
199810,79.5,3.1
199811,71.1,4.5
199812,63.3,5.1
199901,62.4,5.3
199902,63.9,3.5
199903,67.2,-0.3
199904,79.7,3.9
199905,82.1,-1.3
199906,86.4,-2.7
199907,90.7,0.0
199908,94.1,4.2
199909,85.9,0.3
199910,75.8,-0.6
199911,71.0,4.4
199912,60.5,2.3
200001,57.2,0.1
200002,65.8,5.4
200003,72.3,4.8
200004,74.1,-1.7
200005,87.0,3.6
200006,90.5,1.4
200007,92.9,2.2
200008,90.8,0.9
200009,82.1,-3.5
200010,78.0,1.6
200011,65.4,-1.2
200012,51.2,-7.0
200101,55.6,-1.5
200102,65.5,5.1
200103,64.9,-2.6
200104,77.2,1.4
200105,84.1,0.7
200106,86.6,-2.5
200107,89.4,-1.3
200108,89.5,-0.4
200109,82.9,-2.7
200110,75.7,-0.7
200111,74.1,7.5
200112,64.8,6.6
200201,60.0,2.9
200202,61.6,1.2
200203,70.7,3.2
200204,79.8,4.0
200205,83.0,-0.4
200206,88.4,-0.7
200207,91.7,1.0
200208,90.8,0.9
200209,85.8,0.2
200210,76.7,0.3
200211,63.9,-2.7
200212,56.7,-1.5
200301,53.9,-3.2
200302,60.2,-0.2
200303,69.3,1.8
200304,74.6,-1.2
200305,82.1,-1.3
200306,86.3,-2.8
200307,87.9,-2.8
200308,88.2,-1.7
200309,83.9,-1.7
200310,76.2,-0.2
200311,72.1,5.5
200312,57.1,-1.1
200401,57.4,0.3
200402,55.6,-4.8
200403,72.6,5.1
200404,76.7,0.9
200405,85.7,2.3
200406,88.0,-1.1
200407,90.5,-0.2
200408,87.7,-2.2
200409,82.3,-3.3
200410,77.4,1.0
200411,68.7,2.1
200412,58.8,0.6
200501,60.9,3.8
200502,61.5,1.1
200503,65.4,-2.1
200504,73.7,-2.1
200505,80.8,-2.6
200506,85.8,-3.3
200507,90.1,-0.6
200508,89.3,-0.6
200509,88.4,2.8
200510,76.7,0.3
200511,70.0,3.4
200512,56.5,-1.7
200601,63.8,6.7
200602,58.9,-1.5
200603,69.1,1.6
