#  Georgia Minimum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,37.5,2.4
199702,41.4,4.6
199703,49.8,6.6
199704,47.0,-3.2
199705,54.7,-3.8
199706,64.2,-1.5
199707,69.7,1.0
199708,66.6,-1.5
199709,63.0,-0.4
199710,52.9,0.9
199711,40.4,-1.5
199712,37.1,1.2
199801,39.2,4.1
199802,39.8,3.0
199803,42.4,-0.8
199804,50.8,0.6
199805,62.2,3.7
199806,68.3,2.6
199807,71.7,3.0
199808,68.3,0.2
199809,65.9,2.5
199810,54.1,2.1
199811,48.1,6.2
199812,42.7,6.8
199901,37.3,2.2
199902,39.6,2.8
199903,39.6,-3.6
199904,54.4,4.2
199905,56.8,-1.7
199906,66.2,0.5
199907,70.3,1.6
199908,70.1,2.0
199909,60.8,-2.6
199910,53.1,1.1
199911,44.4,2.5
199912,35.3,-0.6
200001,35.2,0.1
200002,37.4,0.6
200003,46.0,2.8
200004,47.2,-3.0
200005,60.9,2.4
200006,65.4,-0.3
200007,68.8,0.1
200008,68.2,0.1
200009,63.1,-0.3
200010,49.5,-2.5
200011,41.8,-0.1
200012,30.0,-5.9
200101,31.0,-4.1
200102,41.6,4.8
200103,42.7,-0.5
200104,51.2,1.0
200105,57.5,-1.0
200106,66.1,0.4
200107,69.2,0.5
200108,69.1,1.0
200109,61.2,-2.2
200110,47.6,-4.4
200111,45.8,3.9
200112,40.9,5.0
200201,36.1,1.0
200202,35.2,-1.6
200203,43.0,-0.2
200204,56.0,5.8
200205,57.4,-1.1
200206,66.3,0.6
200207,69.9,1.2
200208,68.3,0.2
200209,67.7,4.3
200210,59.6,7.6
200211,40.8,-1.1
200212,34.7,-1.2
200301,30.6,-4.5
200302,37.7,0.9
200303,48.7,5.5
200304,50.8,0.6
200305,61.3,2.8
200306,65.9,0.2
200307,69.5,0.8
200308,70.0,1.9
200309,62.2,-1.2
200310,52.6,0.6
200311,46.5,4.6
200312,31.6,-4.3
200401,32.5,-2.6
200402,36.5,-0.3
200403,45.4,2.2
200404,47.7,-2.5
200405,61.5,3.0
200406,68.1,2.4
200407,69.6,0.9
200408,67.6,-0.5
200409,64.9,1.5
200410,58.0,6.0
200411,47.1,5.2
200412,34.8,-1.1
200501,38.1,3.0
200502,40.3,3.5
200503,42.0,-1.2
200504,47.7,-2.5
200505,55.7,-2.8
200506,67.3,1.6
200507,71.6,2.9
200508,71.3,3.2
200509,65.6,2.2
200510,54.9,2.9
200511,44.0,2.1
200512,33.0,-2.9
200601,39.8,4.7
200602,36.0,-0.8
200603,43.0,-0.2
200604,53.3,3.1
200605,58.0,-0.5
200606,64.7,-1.0
200607,69.2,0.5
200608,71.0,2.9
200609,62.3,-1.1
200610,49.6,-2.4
200611,41.6,-0.3
200612,39.6,3.7
200701,38.9,3.8
200702,34.0,-2.8
200703,45.9,2.7
200704,47.0,-3.2
200705,56.4,-2.1
200706,65.8,0.1
