#  Georgia Palmer Z-Index
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,1.29,1.21
199702,1.03,0.99
199703,-2.98,-2.89
199704,1.15,1.35
199705,0.11,0.28
199706,1.48,1.34
199707,-0.30,-0.33
199708,-1.53,-1.65
199709,1.00,0.88
199710,3.32,3.21
199711,3.88,3.85
199712,2.64,2.61
199801,1.57,1.49
199802,3.20,3.16
199803,1.10,1.19
199804,2.42,2.62
199805,-1.76,-1.59
199806,-3.00,-3.14
199807,-2.31,-2.34
199808,-1.81,-1.93
199809,2.62,2.50
199810,-1.52,-1.63
199811,-2.10,-2.13
199812,-2.41,-2.44
199901,0.28,0.20
199902,-1.74,-1.78
199903,-2.23,-2.14
199904,-2.60,-2.40
199905,-1.10,-0.93
199906,1.91,1.77
199907,-0.71,-0.74
199908,-2.67,-2.79
199909,-0.19,-0.31
199910,-0.24,-0.35
199911,-1.32,-1.35
199912,-2.26,-2.29
200001,0.01,-0.07
200002,-2.99,-3.03
200003,-0.77,-0.68
200004,-0.94,-0.74
200005,-3.60,-3.43
200006,-1.39,-1.53
200007,-3.06,-3.09
200008,-1.61,-1.73
200009,2.80,2.68
200010,-2.05,-2.16
200011,1.37,1.34
200012,-0.13,-0.16
200101,-1.19,-1.27
200102,-2.91,-2.95
200103,3.65,3.74
200104,-2.29,-2.09
200105,-1.36,-1.19
200106,3.24,3.10
200107,0.25,0.22
200108,-1.72,-1.84
200109,0.35,0.23
200110,-1.74,-1.85
200111,-2.47,-2.50
200112,-3.19,-3.22
200201,-1.01,-1.09
200202,-2.21,-2.25
200203,0.26,0.35
200204,-2.52,-2.32
200205,-0.83,-0.66
200206,-1.13,-1.27
200207,-1.90,-1.93
200208,-1.94,-2.06
200209,1.55,1.43
200210,1.36,1.25
200211,2.48,2.45
200212,1.68,1.65
200301,-2.20,-2.28
200302,0.92,0.88
200303,1.59,1.68
200304,0.79,0.99
200305,2.63,2.80
200306,3.69,3.55
200307,2.94,2.91
200308,1.85,1.73
200309,0.05,-0.07
200310,0.87,0.76
200311,-0.13,-0.16
200312,-0.91,-0.94
200401,-1.26,-1.34
200402,1.13,1.09
200403,-4.23,-4.14
200404,-2.40,-2.20
200405,-1.66,-1.49
200406,2.65,2.51
200407,-1.23,-1.26
200408,0.15,0.03
200409,9.09,8.97
200410,-0.40,-0.51
200411,1.96,1.93
200412,-0.54,-0.57
200501,-2.21,-2.29
200502,-0.28,-0.32
200503,1.81,1.90
200504,1.29,1.49
200505,-0.38,-0.21
200506,3.96,3.82
200507,3.11,3.08
200508,1.87,1.75
200509,-2.61,-2.73
200510,0.43,0.32
200511,-0.22,-0.25
200512,0.34,0.31
200601,-0.51,-0.59
200602,0.03,-0.01
200603,-3.34,-3.25
200604,-2.08,-1.88
200605,-1.30,-1.13
200606,-1.09,-1.23
200607,-3.35,-3.38
200608,-1.94,-2.06
200609,-0.91,-1.03
