#  Idaho Heating Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,1170,-85
199702,959,-30
199703,812,-66
199704,665,67
199705,284,-85
199706,159,-15
199707,60,18
199708,40,-19
199709,168,-66
199710,579,31
199711,840,-67
199712,1194,4
199801,1043,-212
199802,881,-108
199803,833,-45
199804,599,1
199805,385,16
199806,230,56
199807,12,-30
199808,25,-34
199809,113,-121
199810,572,24
199811,814,-93
199812,1220,30
199901,1082,-173
199902,958,-31
199903,845,-33
199904,670,72
199905,447,78
199906,192,18
199907,57,15
199908,37,-22
199909,243,9
199910,502,-46
199911,700,-207
199912,1142,-48
200001,1131,-124
200002,833,-156
200003,829,-49
200004,482,-116
200005,341,-28
200006,140,-34
200007,30,-12
200008,33,-26
200009,246,12
200010,552,4
200011,1089,182
200012,1196,6
200101,1250,-5
200102,1028,39
200103,770,-108
200104,633,35
200105,281,-88
200106,160,-14
200107,35,-7
200108,20,-39
200109,136,-98
200110,534,-14
200111,772,-135
200112,1232,42
200201,1200,-55
200202,1069,80
200203,959,81
200204,585,-13
200205,379,10
200206,126,-48
200207,17,-25
200208,74,15
200209,203,-31
200210,641,93
200211,883,-24
200212,1022,-168
200301,973,-282
200302,944,-45
200303,759,-119
200304,605,7
200305,355,-14
200306,122,-52
200307,11,-31
200308,20,-39
200309,187,-47
200310,405,-143
200311,999,92
200312,1041,-149
200401,1251,-4
200402,1001,12
200403,690,-188
200404,496,-102
200405,375,6
200406,136,-38
200407,29,-13
200408,51,-8
200409,247,13
200410,521,-27
200411,889,-18
200412,1050,-140
200501,1139,-116
200502,944,-45
200503,779,-99
200504,583,-15
200505,352,-17
200506,217,43
200507,28,-14
200508,44,-15
200509,247,13
200510,510,-38
200511,916,9
200512,1249,59
200601,1051,-204
200602,1037,48
200603,886,8
200604,553,-45
200605,302,-67
200606,100,-74
200607,11,-31
200608,51,-8
200609,219,-15
200610,581,33
200611,847,-60
200612,1159,-31
200701,1286,31
200702,864,-125
200703,701,-177
200704,552,-46
200705,288,-81
200706,120,-54
200707,5,-37
200708,39,-20
200709,217,-17
200710,578,30
200711,868,-39
200712,1188,-2
200801,1314,59
200802,972,-17
200803,948,70
200804,739,141
200805,365,-4
200806,177,3
200807,28,-14
200808,44,-15
200809,215,-19
200810,542,-6
200811,763,-144
200812,1232,42
200901,1186,-69
200902,971,-18
200903,921,43
200904,610,12
200905,325,-44
200906,172,-2
200907,32,-10
200908,49,-10
200909,123,-111
200910,688,140
200911,873,-34
200912,1320,130
201001,1063,-192
201002,906,-83
201003,810,-68
201004,639,41
201005,521,152
201006,194,20
201007,47,5
201008,62,3
201009,198,-36
201010,446,-102
201011,939,32
201012,1108,-82
201101,1212,-43
201102,1043,54
201103,859,-19
201104,736,138
201105,476,107
201106,232,58
201107,51,9
201108,30,-29
201109,131,-103
201110,516,-32
201111,939,32
201112,1176,-14
201201,1097,-158
201202,930,-59
201203,775,-103
201204,501,-97
201205,380,11
201206,172,-2
201207,18,-24
201208,24,-35
201209,156,-78
201210,562,14
201211,779,-128
201212,1100,-90
201301,1382,127
201302,951,-38
201303,805,-73
201304,617,19
201305,315,-54
201306,124,-50
201307,14,-28
201308,21,-38
201309,172,-62
201310,613,65
201311,862,-45
201312,1311,121
201401,1115,-140
201402,935,-54
201403,770,-108
201404,588,-10
201405,304,-65
201406,169,-5
201407,13,-29
201408,50,-9
201409,167,-67
201410,419,-129
201411,947,40
201412,1014,-176
201501,1087,-168
201502,737,-252
201503,648,-230
201504,568,-30
201505,294,-75
201506,48,-126
201507,33,-9
201508,31,-28
201509,183,-51
201510,349,-199
201511,953,46
201512,1172,-18
201601,1138,-117
201602,842,-147
201603,741,-137
201604,426,-172
201605,323,-46
201606,94,-80
201607,42,0
201608,42,-17
201609,230,-4
201610,493,-55
201611,702,-205
201612,1356,166
201701,1408,153
201702,925,-64
201703,712,-166
201704,625,27
201705,339,-30
201706,123,-51
201707,11,-31
201708,24,-35
201709,202,-32
201710,626,78
201711,807,-100
201712,1183,-7
201801,993,-262
201802,983,-6
201803,846,-32
201804,560,-38
201805,235,-134
201806,150,-24
201807,18,-24
201808,39,-20
201809,200,-34
201810,557,9
201811,903,-4
201812,1162,-28
201901,1115,-140
201902,1066,77
201903,894,16
201904,541,-57
201905,352,-17
201906,156,-18
201907,37,-5
201908,32,-27
201909,219,-15
201910,776,228
201911,852,-55
201912,1092,-98
202001,1066,-189
202002,973,-16
202003,802,-76
202004,579,-19
202005,330,-39
202006,177,3
202007,40,-2
202008,23,-36
202009,150,-84
202010,510,-38
202011,879,-28
202012,1132,-58
202101,1091,-164
202102,1005,16
202103,812,-66
202104,565,-33
202105,342,-27
202106,44,-130
202107,5,-37
202108,49,-10
202109,182,-52
202110,510,-38
202111,768,-139
202112,1106,-84
202201,1231,-24
202202,1070,81
202203,774,-104
202204,710,112
202205,452,83
202206,158,-16
202207,13,-29
202208,12,-47
202209,107,-127
202210,434,-114
202211,1072,165
202212,1247,57
