#  Idaho Precipitation
# Units: Inches
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,4.44,1.42
199702,1.59,-0.87
199703,2.64,0.32
199704,2.68,0.74
199705,1.67,-0.45
199706,2.13,0.33
199707,1.79,0.96
199708,1.12,0.28
199709,1.70,0.49
199710,2.29,0.55
199711,1.74,-0.94
199712,1.49,-1.41
199801,4.09,1.07
199802,1.98,-0.48
199803,2.17,-0.15
199804,1.79,-0.15
199805,4.63,2.51
199806,2.77,0.97
199807,1.18,0.35
199808,0.37,-0.47
199809,1.84,0.63
199810,0.86,-0.88
199811,3.96,1.28
199812,3.31,0.41
199901,3.33,0.31
199902,4.49,2.03
199903,1.61,-0.71
199904,1.58,-0.36
199905,2.21,0.09
199906,1.83,0.03
199907,0.26,-0.57
199908,1.06,0.22
199909,0.21,-1.00
199910,1.17,-0.57
199911,2.20,-0.48
199912,2.69,-0.21
200001,3.41,0.39
200002,3.05,0.59
200003,1.92,-0.40
200004,1.50,-0.44
200005,2.05,-0.07
200006,0.86,-0.94
200007,0.35,-0.48
200008,0.31,-0.53
200009,1.65,0.44
200010,2.77,1.03
200011,1.34,-1.34
200012,1.68,-1.22
200101,1.37,-1.65
200102,1.18,-1.28
200103,1.58,-0.74
200104,2.33,0.39
200105,1.02,-1.10
200106,1.40,-0.40
200107,1.12,0.29
200108,0.17,-0.67
200109,0.73,-0.48
200110,2.22,0.48
200111,2.51,-0.17
200112,3.50,0.60
200201,2.97,-0.05
200202,1.33,-1.13
200203,2.39,0.07
200204,1.98,0.04
200205,1.53,-0.59
200206,1.42,-0.38
200207,0.51,-0.32
200208,0.51,-0.33
200209,1.03,-0.18
200210,0.63,-1.11
200211,1.60,-1.08
200212,3.08,0.18
200301,3.19,0.17
200302,2.01,-0.45
200303,3.31,0.99
200304,2.54,0.60
200305,2.02,-0.10
200306,0.64,-1.16
200307,0.30,-0.53
200308,0.96,0.12
200309,0.72,-0.49
200310,0.80,-0.94
200311,2.45,-0.23
200312,3.62,0.72
200401,2.90,-0.12
200402,2.19,-0.27
200403,1.10,-1.22
200404,1.37,-0.57
200405,3.50,1.38
200406,1.43,-0.37
200407,0.91,0.08
200408,1.90,1.06
200409,1.55,0.34
200410,2.41,0.67
200411,1.38,-1.30
200412,2.54,-0.36
200501,1.81,-1.21
200502,0.71,-1.75
200503,2.44,0.12
200504,2.22,0.28
200505,4.11,1.99
200506,2.44,0.64
200507,0.35,-0.48
200508,0.47,-0.37
200509,0.93,-0.28
200510,1.84,0.10
200511,2.88,0.20
200512,4.38,1.48
200601,4.71,1.69
200602,1.79,-0.67
200603,2.69,0.37
200604,3.07,1.13
200605,1.63,-0.49
200606,1.74,-0.06
200607,0.46,-0.37
200608,0.40,-0.44
200609,1.25,0.04
200610,1.58,-0.16
200611,4.34,1.66
200612,2.72,-0.18
200701,1.36,-1.66
200702,2.45,-0.01
200703,1.45,-0.87
200704,1.59,-0.35
200705,1.09,-1.03
200706,1.23,-0.57
200707,0.38,-0.45
200708,0.51,-0.33
200709,1.26,0.05
200710,2.58,0.84
200711,2.04,-0.64
200712,3.62,0.72
200801,3.53,0.51
