#  Idaho Palmer Z-Index
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,2.94,2.83
199702,-1.41,-1.46
199703,0.30,0.39
199704,1.89,1.85
199705,-1.25,-1.37
199706,0.37,0.41
199707,1.93,1.86
199708,1.28,1.30
199709,0.91,0.90
199710,1.28,1.24
199711,-1.04,-1.06
199712,-2.17,-2.07
199801,1.14,1.03
199802,-0.70,-0.75
199803,-0.45,-0.36
199804,-0.30,-0.34
199805,4.83,4.71
199806,2.32,2.36
199807,2.54,2.47
199808,-0.30,-0.28
199809,0.74,0.73
199810,-1.43,-1.47
199811,1.39,1.37
199812,0.80,0.90
199901,1.22,1.11
199902,3.88,3.83
199903,-1.47,-1.38
199904,-0.14,-0.18
199905,0.83,0.71
199906,0.37,0.41
199907,-0.08,-0.15
199908,0.35,0.37
199909,-1.94,-1.95
199910,-1.37,-1.41
199911,-2.18,-2.20
199912,-1.55,-1.45
200001,-0.21,-0.32
200002,1.25,1.20
200003,-1.05,-0.96
200004,-1.66,-1.70
200005,-0.26,-0.38
200006,-1.93,-1.89
200007,-2.31,-2.38
200008,-2.44,-2.42
200009,0.68,0.67
200010,1.75,1.71
200011,-1.67,-1.69
200012,-2.32,-2.22
200101,-3.40,-3.51
200102,-2.72,-2.77
200103,-2.18,-2.09
200104,0.92,0.88
200105,-2.50,-2.62
200106,-1.30,-1.26
200107,-0.75,-0.82
200108,-2.40,-2.38
200109,-1.68,-1.69
200110,0.68,0.64
200111,-0.94,-0.96
200112,0.25,0.35
200201,0.47,0.36
200202,-1.89,-1.94
200203,0.47,0.56
200204,0.00,-0.04
200205,-0.82,-0.94
200206,-0.95,-0.91
200207,-1.66,-1.73
200208,-1.56,-1.54
200209,-0.69,-0.70
200210,-1.57,-1.61
200211,-2.38,-2.40
200212,-1.17,-1.07
200301,-0.45,-0.56
200302,-0.65,-0.70
200303,1.18,1.27
200304,1.16,1.12
200305,-0.15,-0.27
200306,-2.33,-2.29
200307,-2.76,-2.83
200308,-1.45,-1.43
200309,-1.48,-1.49
200310,-2.52,-2.56
200311,-1.03,-1.05
200312,0.05,0.15
200401,0.04,-0.07
200402,-0.32,-0.37
200403,-3.71,-3.62
200404,-1.75,-1.79
200405,2.67,2.55
200406,-0.70,-0.66
200407,0.37,0.30
200408,2.29,2.31
200409,0.89,0.88
200410,1.21,1.17
200411,-1.51,-1.53
200412,-0.96,-0.86
200501,-1.89,-2.00
200502,-3.02,-3.07
200503,-0.38,-0.29
200504,0.39,0.35
200505,3.70,3.58
200506,1.63,1.67
200507,0.76,0.69
200508,-0.91,-0.89
200509,-0.56,-0.57
200510,-0.06,-0.10
200511,0.21,0.19
200512,1.87,1.97
200601,3.35,3.24
200602,-1.05,-1.10
200603,0.93,1.02
200604,1.70,1.66
200605,-1.23,-1.35
200606,-0.75,-0.71
200607,-2.03,-2.10
200608,-2.14,-2.12
200609,-0.22,-0.23
200610,-0.21,-0.25
200611,2.11,2.09
200612,0.25,0.35
200701,-1.83,-1.94
200702,0.16,0.11
200703,-2.95,-2.86
200704,-1.02,-1.06
