#  Illinois Heating Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,1432,115
199702,978,-109
199703,784,-81
199704,579,95
199705,329,113
199706,31,-6
199707,5,0
199708,31,13
199709,82,-9
199710,371,-13
199711,845,62
199712,1064,-116
199801,1111,-206
199802,737,-350
199803,808,-57
199804,431,-53
199805,106,-110
199806,28,-9
199807,0,-5
199808,8,-10
199809,29,-62
199810,322,-62
199811,627,-156
199812,960,-220
199901,1345,28
199902,842,-245
199903,894,29
199904,399,-85
199905,152,-64
199906,19,-18
199907,0,-5
199908,24,6
199909,102,11
199910,390,6
199911,565,-218
199912,1092,-88
200001,1252,-65
200002,865,-222
200003,626,-239
200004,475,-9
200005,146,-70
200006,40,3
200007,9,4
200008,11,-7
200009,75,-16
200010,278,-106
200011,823,40
200012,1530,350
200101,1275,-42
200102,1052,-35
200103,929,64
200104,318,-166
200105,154,-62
200106,41,4
200107,0,-5
200108,8,-10
200109,115,24
200110,396,12
200111,489,-294
200112,963,-217
200201,1033,-284
200202,906,-181
200203,923,58
200204,429,-55
200205,294,78
200206,15,-22
200207,0,-5
200208,9,-9
200209,41,-50
200210,451,67
200211,818,35
200212,1083,-97
200301,1372,55
200302,1144,57
200303,826,-39
200304,435,-49
200305,241,25
200306,63,26
200307,6,1
200308,7,-11
200309,102,11
200310,393,9
200311,673,-110
200312,1025,-155
200401,1354,37
200402,1043,-44
200403,686,-179
200404,395,-89
200405,163,-53
200406,42,5
200407,11,6
200408,54,36
200409,51,-40
200410,357,-27
200411,641,-142
200412,1121,-59
200501,1214,-103
200502,880,-207
200503,897,32
200504,351,-133
200505,241,25
200506,7,-30
200507,0,-5
200508,7,-11
200509,23,-68
200510,331,-53
200511,681,-102
200512,1299,119
200601,909,-408
200602,1014,-73
200603,802,-63
200604,323,-161
200605,199,-17
200606,35,-2
200607,0,-5
200608,9,-9
200609,119,28
200610,481,97
200611,657,-126
200612,987,-193
200701,1143,-174
200702,1308,221
200703,648,-217
200704,511,27
200705,114,-102
200706,18,-19
200707,8,3
200708,5,-13
200709,40,-51
200710,221,-163
200711,754,-29
200712,1170,-10
200801,1269,-48
200802,1184,97
200803,909,44
200804,443,-41
200805,280,64
200806,19,-18
200807,5,0
200808,19,1
200809,64,-27
200810,398,14
200811,761,-22
200812,1301,121
200901,1504,187
200902,1002,-85
200903,765,-100
200904,490,6
200905,191,-25
200906,30,-7
200907,28,23
200908,29,11
200909,82,-9
200910,509,125
200911,586,-197
200912,1180,0
201001,1392,75
201002,1114,27
201003,717,-148
201004,275,-209
201005,158,-58
201006,15,-22
201007,0,-5
201008,4,-14
201009,72,-19
201010,315,-69
201011,687,-96
201012,1356,176
201101,1372,55
201102,1063,-24
201103,829,-36
201104,474,-10
201105,207,-9
201106,22,-15
201107,0,-5
201108,9,-9
201109,128,37
201110,351,-33
201111,635,-148
201112,953,-227
201201,1102,-215
201202,889,-198
201203,388,-477
201204,411,-73
201205,108,-108
201206,15,-22
201207,0,-5
201208,13,-5
201209,98,7
201210,437,53
201211,761,-22
201212,926,-254
201301,1188,-129
201302,1082,-5
201303,1024,159
201304,524,40
201305,163,-53
201306,32,-5
201307,8,3
201308,15,-3
201309,56,-35
201310,383,-1
201311,840,57
201312,1297,117
201401,1540,223
201402,1372,285
201403,1064,199
201404,467,-17
201405,184,-32
201406,20,-17
201407,24,19
201408,12,-6
201409,102,11
201410,404,20
201411,959,176
201412,1016,-164
201501,1318,1
201502,1371,284
201503,918,53
201504,402,-82
201505,158,-58
201506,37,0
201507,8,3
201508,20,2
201509,27,-64
201510,336,-48
201511,614,-169
201512,795,-385
201601,1256,-61
201602,942,-145
201603,639,-226
201604,453,-31
201605,198,-18
201606,15,-22
201607,0,-5
201608,5,-13
201609,24,-67
201610,254,-130
201611,548,-235
201612,1210,30
201701,1109,-208
201702,752,-335
201703,781,-84
201704,341,-143
201705,238,22
201706,17,-20
201707,5,0
201708,30,12
201709,42,-49
201710,273,-111
201711,779,-4
201712,1176,-4
201801,1324,7
201802,1038,-49
201803,868,3
201804,698,214
201805,83,-133
201806,15,-22
201807,4,-1
201808,7,-11
201809,35,-56
201810,412,28
201811,930,147
201812,1013,-167
201901,1328,11
201902,1101,14
201903,934,69
201904,454,-30
201905,227,11
201906,36,-1
201907,0,-5
201908,16,-2
201909,28,-63
201910,411,27
201911,924,141
201912,971,-209
202001,1094,-223
202002,1001,-86
202003,727,-138
202004,529,45
202005,227,11
202006,12,-25
202007,0,-5
202008,11,-7
202009,90,-1
202010,465,81
202011,577,-206
202012,1041,-139
202101,1166,-151
202102,1318,231
202103,667,-198
202104,414,-70
202105,213,-3
202106,10,-27
202107,5,0
202108,5,-13
202109,30,-61
202110,219,-165
202111,770,-13
202112,867,-313
202201,1421,104
202202,1103,16
202203,764,-101
202204,548,64
202205,144,-72
202206,16,-21
202207,0,-5
202208,12,-6
202209,65,-26
202210,407,23
202211,694,-89
202212,1151,-29
