#  Illinois Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,1.05,1.03
199702,2.01,2.02
199703,-0.13,-0.11
199704,-0.48,-0.47
199705,-0.21,-0.22
199706,-0.23,-0.19
199707,-0.73,-0.59
199708,-0.04,-0.07
199709,-0.40,-0.59
199710,-0.74,-0.87
199711,-0.96,-1.07
199712,-1.23,-1.26
199801,0.31,0.29
199802,0.50,0.51
199803,1.11,1.13
199804,1.46,1.47
199805,1.31,1.30
199806,2.60,2.64
199807,2.34,2.48
199808,2.09,2.06
199809,1.31,1.12
199810,1.62,1.49
199811,1.28,1.17
199812,0.84,0.81
199901,1.81,1.79
199902,1.87,1.88
199903,1.16,1.18
199904,1.66,1.67
199905,1.25,1.24
199906,1.60,1.64
199907,-0.35,-0.21
199908,-0.51,-0.54
199909,-0.88,-1.07
199910,-1.29,-1.42
199911,-2.56,-2.67
199912,-2.77,-2.80
200001,-2.94,-2.96
200002,-2.60,-2.59
200003,-3.04,-3.02
200004,-2.98,-2.97
200005,-0.02,-0.03
200006,1.38,1.42
200007,1.71,1.85
200008,1.75,1.72
200009,1.91,1.72
200010,1.48,1.35
200011,1.66,1.55
200012,1.57,1.54
200101,1.41,1.39
200102,2.00,2.01
200103,-0.70,-0.68
200104,-1.24,-1.23
200105,-0.03,-0.04
200106,0.02,0.06
200107,0.12,0.26
200108,0.37,0.34
200109,0.49,0.30
200110,1.82,1.69
200111,1.82,1.71
200112,1.91,1.88
200201,1.91,1.89
200202,1.74,1.75
200203,1.79,1.81
200204,2.09,2.10
200205,3.22,3.21
200206,-0.10,-0.06
200207,-0.61,-0.47
200208,-0.42,-0.45
200209,-1.05,-1.24
200210,-0.87,-1.00
200211,-1.61,-1.72
200212,-1.89,-1.92
200301,-2.40,-2.42
200302,-2.30,-2.29
200303,-2.59,-2.57
200304,-2.60,-2.59
200305,0.58,0.57
200306,0.62,0.66
200307,1.21,1.35
200308,0.81,0.78
200309,1.24,1.05
200310,0.94,0.81
200311,1.49,1.38
200312,1.64,1.61
200401,1.58,1.56
200402,-0.45,-0.44
200403,-0.13,-0.11
200404,-0.97,-0.96
200405,0.79,0.78
200406,0.47,0.51
200407,0.74,0.88
200408,1.66,1.63
200409,0.58,0.39
200410,1.30,1.17
200411,2.08,1.97
200412,1.89,1.86
200501,3.24,3.22
200502,0.02,0.03
200503,-0.62,-0.60
200504,-1.16,-1.15
200505,-1.82,-1.83
200506,-2.72,-2.68
200507,-2.94,-2.80
200508,-2.90,-2.93
200509,-2.87,-3.06
200510,-3.43,-3.56
200511,-3.47,-3.58
200512,-4.02,-4.05
200601,-3.71,-3.73
200602,-3.88,-3.87
200603,0.62,0.64
200604,-0.21,-0.20
200605,-0.37,-0.38
200606,-0.71,-0.67
200607,0.08,0.22
200608,0.26,0.23
200609,0.38,0.19
200610,0.89,0.76
200611,1.12,1.01
200612,1.61,1.58
200701,1.96,1.94
200702,2.07,2.08
200703,-0.26,-0.24
200704,-0.22,-0.21
200705,-1.14,-1.15
200706,-1.15,-1.11
200707,-1.18,-1.04
200708,-1.00,-1.03
200709,-1.81,-2.00
200710,-1.72,-1.85
200711,-2.29,-2.40
200712,0.18,0.15
200801,0.41,0.39
200802,1.70,1.71
200803,2.23,2.25
200804,2.29,2.30
200805,2.68,2.67
200806,2.92,2.96
200807,3.66,3.80
200808,2.95,2.92
200809,4.47,4.28
200810,4.25,4.12
200811,3.83,3.72
200812,4.43,4.40
200901,3.66,3.64
200902,3.65,3.66
200903,3.59,3.61
