#  Illinois Palmer Hydrological Drought Index (PHDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,1.05,0.98
199702,2.01,1.91
199703,1.68,1.62
199704,1.14,1.12
199705,1.24,1.18
199706,1.07,0.95
199707,-0.73,-0.75
199708,-0.04,-0.12
199709,-0.40,-0.60
199710,-0.74,-0.89
199711,-0.96,-1.02
199712,-1.23,-1.30
199801,-0.79,-0.86
199802,0.50,0.40
199803,1.11,1.05
199804,1.46,1.44
199805,1.31,1.25
199806,2.60,2.48
199807,2.34,2.32
199808,2.09,2.01
199809,1.31,1.11
199810,1.62,1.47
199811,1.28,1.22
199812,0.84,0.77
199901,1.81,1.74
199902,1.87,1.77
199903,1.16,1.10
199904,1.66,1.64
199905,1.25,1.19
199906,1.60,1.48
199907,1.08,1.06
199908,0.77,0.69
199909,-0.88,-1.08
199910,-1.29,-1.44
199911,-2.56,-2.62
199912,-2.77,-2.84
200001,-2.94,-3.01
200002,-2.60,-2.70
200003,-3.04,-3.10
200004,-2.98,-3.00
200005,-2.69,-2.75
200006,-1.04,-1.16
200007,1.71,1.69
200008,1.75,1.67
200009,1.91,1.71
200010,1.48,1.33
200011,1.66,1.60
200012,1.57,1.50
200101,1.41,1.34
200102,2.00,1.90
200103,1.09,1.03
200104,-1.24,-1.26
200105,-1.14,-1.20
200106,-1.00,-1.12
200107,-0.80,-0.82
200108,0.37,0.29
200109,0.49,0.29
200110,1.82,1.67
200111,1.82,1.76
200112,1.91,1.84
200201,1.91,1.84
200202,1.74,1.64
200203,1.79,1.73
200204,2.09,2.07
200205,3.22,3.16
200206,2.79,2.67
200207,1.98,1.96
200208,1.91,1.83
200209,1.03,0.83
200210,1.00,0.85
200211,-1.61,-1.67
200212,-1.89,-1.96
200301,-2.40,-2.47
200302,-2.30,-2.40
200303,-2.59,-2.65
200304,-2.60,-2.62
200305,-1.75,-1.81
200306,-1.46,-1.58
200307,-0.66,-0.68
200308,-0.87,-0.95
200309,1.24,1.04
200310,0.94,0.79
200311,1.49,1.43
200312,1.64,1.57
200401,1.58,1.51
200402,0.96,0.86
200403,1.14,1.08
200404,-0.97,-0.99
200405,0.79,0.73
200406,0.47,0.35
200407,0.74,0.72
200408,1.66,1.58
200409,0.58,0.38
200410,1.30,1.15
200411,2.08,2.02
200412,1.89,1.82
200501,3.24,3.17
200502,2.93,2.83
200503,2.01,1.95
200504,1.19,1.17
200505,-1.82,-1.88
200506,-2.72,-2.84
200507,-2.94,-2.96
200508,-2.90,-2.98
200509,-2.87,-3.07
200510,-3.43,-3.58
200511,-3.47,-3.53
200512,-4.02,-4.09
200601,-3.71,-3.78
200602,-3.88,-3.98
200603,-2.86,-2.92
200604,-2.77,-2.79
200605,-2.67,-2.73
200606,-2.77,-2.89
200607,-2.41,-2.43
200608,-1.97,-2.05
200609,-1.62,-1.82
200610,-0.91,-1.06
200611,1.12,1.06
200612,1.61,1.54
200701,1.96,1.89
200702,2.07,1.97
200703,1.60,1.54
200704,1.45,1.43
200705,-1.14,-1.20
200706,-1.15,-1.27
200707,-1.18,-1.20
200708,-1.00,-1.08
200709,-1.81,-2.01
200710,-1.72,-1.87
200711,-2.29,-2.35
200712,-1.87,-1.94
200801,-1.44,-1.51
200802,1.70,1.60
200803,2.23,2.17
200804,2.29,2.27
200805,2.68,2.62
200806,2.92,2.80
200807,3.66,3.64
200808,2.95,2.87
200809,4.47,4.27
200810,4.25,4.10
200811,3.83,3.77
200812,4.43,4.36
200901,3.66,3.59
200902,3.65,3.55
200903,3.59,3.53
200904,4.22,4.20
200905,4.34,4.28
200906,4.28,4.16
200907,4.52,4.50
200908,4.95,4.87
200909,4.34,4.14
200910,6.52,6.37
200911,6.07,6.01
200912,6.33,6.26
201001,5.55,5.48
201002,4.91,4.81
201003,4.12,4.06
201004,3.23,3.21
201005,3.28,3.22
201006,4.24,4.12
201007,4.49,4.47
201008,4.00,3.92
201009,3.82,3.62
201010,2.89,2.74
201011,2.61,2.55
201012,2.16,2.09
201101,1.71,1.64
201102,2.30,2.20
201103,1.87,1.81
201104,3.18,3.16
201105,3.30,3.24
201106,3.96,3.84
201107,3.42,3.40
201108,2.38,2.30
201109,2.28,2.08
201110,1.60,1.45
201111,1.96,1.90
201112,2.21,2.14
201201,2.05,1.98
201202,1.67,1.57
201203,-1.29,-1.35
201204,-1.51,-1.53
201205,-2.24,-2.30
201206,-3.06,-3.18
201207,-4.36,-4.38
201208,-4.28,-4.36
201209,-3.37,-3.57
201210,-2.62,-2.77
201211,-3.07,-3.13
201212,-3.15,-3.22
201301,-2.11,-2.18
201302,-1.41,-1.51
201303,-1.27,-1.33
201304,2.26,2.24
201305,2.86,2.80
201306,3.10,2.98
201307,2.76,2.74
201308,1.76,1.68
201309,0.79,0.59
201310,0.80,0.65
201311,-1.31,-1.37
201312,-1.25,-1.32
201401,-1.12,-1.19
201402,-0.74,-0.84
201403,-1.19,-1.25
201404,0.56,0.54
201405,0.15,0.09
201406,1.13,1.01
201407,1.17,1.15
201408,1.96,1.88
201409,2.36,2.16
201410,3.04,2.89
201411,3.04,2.98
201412,2.77,2.70
201501,2.39,2.32
201502,2.02,1.92
201503,1.57,1.51
201504,1.19,1.17
201505,1.41,1.35
201506,3.40,3.28
201507,3.82,3.80
201508,3.56,3.48
201509,3.24,3.04
201510,2.47,2.32
201511,3.14,3.08
201512,4.58,4.51
201601,3.73,3.66
201602,3.14,3.04
201603,2.65,2.59
201604,2.18,2.16
201605,2.06,2.00
201606,1.36,1.24
201607,2.48,2.46
201608,3.71,3.63
201609,3.50,3.30
201610,3.07,2.92
201611,2.81,2.75
201612,2.39,2.32
201701,2.32,2.25
201702,1.37,1.27
201703,1.34,1.28
201704,2.25,2.23
201705,2.43,2.37
201706,1.82,1.70
201707,2.05,2.03
201708,1.57,1.49
201709,-1.35,-1.55
201710,-0.62,-0.77
201711,-0.78,-0.84
201712,-1.32,-1.39
201801,-1.48,-1.55
201802,1.57,1.47
201803,1.83,1.77
201804,1.46,1.44
201805,0.77,0.71
201806,1.38,1.26
201807,1.24,1.22
201808,1.76,1.68
201809,2.15,1.95
201810,2.48,2.33
201811,2.89,2.83
201812,3.16,3.09
201901,3.51,3.44
201902,3.90,3.80
201903,4.05,3.99
201904,3.97,3.95
201905,5.03,4.97
201906,5.01,4.89
201907,4.25,4.23
201908,4.15,4.07
201909,4.23,4.03
201910,4.83,4.68
201911,4.83,4.77
201912,4.33,4.26
202001,5.01,4.94
202002,4.65,4.55
202003,4.41,4.35
202004,4.32,4.30
202005,4.39,4.33
202006,3.69,3.57
202007,4.03,4.01
202008,3.09,3.01
202009,2.76,2.56
202010,2.62,2.47
202011,2.23,2.17
202012,1.77,1.70
202101,1.90,1.83
202102,1.70,1.60
202103,1.69,1.63
202104,1.23,1.21
202105,1.25,1.19
202106,1.46,1.34
202107,1.96,1.94
202108,2.01,1.93
202109,1.40,1.20
202110,2.35,2.20
202111,1.81,1.75
202112,1.76,1.69
202201,1.29,1.22
202202,1.88,1.78
202203,2.16,2.10
202204,1.99,1.97
202205,1.64,1.58
202206,0.90,0.78
202207,1.38,1.36
202208,1.54,1.46
202209,1.10,0.90
202210,0.81,0.66
202211,-0.90,-0.96
202212,-0.98,-1.05
