#  Illinois Minimum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,12.2,-4.6
199702,26.7,6.4
199703,32.4,2.4
199704,36.2,-4.1
199705,46.1,-4.5
199706,60.6,0.6
199707,64.0,-0.1
199708,60.8,-1.1
199709,54.6,0.2
199710,43.3,0.4
199711,31.4,-0.1
199712,26.3,4.9
199801,25.3,8.5
199802,33.2,12.9
199803,32.9,2.9
199804,42.5,2.2
199805,57.0,6.4
199806,62.0,2.0
199807,65.8,1.7
199808,64.7,2.8
199809,59.0,4.6
199810,45.4,2.5
199811,36.2,4.7
199812,26.1,4.7
199901,16.8,0.0
199902,29.1,8.8
199903,28.0,-2.0
199904,44.5,4.2
199905,52.8,2.2
199906,62.1,2.1
199907,68.0,3.9
199908,60.2,-1.7
199909,50.6,-3.8
199910,41.2,-1.7
199911,36.1,4.6
199912,24.0,2.6
200001,18.6,1.8
200002,28.4,8.1
200003,34.8,4.8
200004,39.3,-1.0
200005,54.3,3.7
200006,60.1,0.1
200007,63.4,-0.7
200008,64.2,2.3
200009,54.0,-0.4
200010,46.3,3.4
200011,30.7,-0.8
200012,9.3,-12.1
200101,18.0,1.2
200102,22.2,1.9
200103,27.4,-2.6
200104,45.5,5.2
200105,53.6,3.0
200106,59.3,-0.7
200107,65.3,1.2
200108,63.7,1.8
200109,52.5,-1.9
200110,43.1,0.2
200111,38.7,7.2
200112,27.9,6.5
200201,24.6,7.8
200202,25.5,5.2
200203,27.9,-2.1
200204,42.7,2.4
200205,48.2,-2.4
200206,63.1,3.1
200207,67.3,3.2
200208,64.4,2.5
200209,56.5,2.1
200210,42.2,-0.7
200211,30.8,-0.7
200212,23.5,2.1
200301,14.3,-2.5
200302,18.0,-2.3
200303,30.4,0.4
200304,41.6,1.3
200305,50.4,-0.2
200306,56.8,-3.2
200307,64.1,0.0
200308,64.0,2.1
200309,52.2,-2.2
200310,42.1,-0.8
200311,35.7,4.2
200312,26.2,4.8
200401,16.6,-0.2
200402,21.2,0.9
200403,35.7,5.7
200404,42.2,1.9
200405,55.2,4.6
200406,59.5,-0.5
200407,63.1,-1.0
200408,57.6,-4.3
200409,54.6,0.2
200410,44.9,2.0
200411,37.7,6.2
200412,22.5,1.1
200501,21.8,5.0
200502,28.3,8.0
200503,29.0,-1.0
200504,43.4,3.1
200505,48.4,-2.2
200506,63.4,3.4
200507,65.1,1.0
200508,64.8,2.9
200509,58.5,4.1
200510,44.3,1.4
200511,34.4,2.9
200512,19.1,-2.3
200601,30.6,13.8
200602,20.7,0.4
200603,32.3,2.3
200604,44.4,4.1
200605,52.0,1.4
200606,60.2,0.2
200607,66.6,2.5
200608,64.7,2.8
200609,52.9,-1.5
200610,40.4,-2.5
200611,35.2,3.7
200612,27.0,5.6
200701,22.7,5.9
200702,13.5,-6.8
200703,37.5,7.5
200704,38.8,-1.5
200705,55.7,5.1
200706,61.5,1.5
200707,62.1,-2.0
200708,67.1,5.2
200709,56.5,2.1
200710,48.4,5.5
200711,32.0,0.5
200712,23.0,1.6
200801,17.2,0.4
200802,18.4,-1.9
200803,29.5,-0.5
200804,40.9,0.6
200805,47.9,-2.7
200806,62.5,2.5
200807,64.1,0.0
200808,60.8,-1.1
200809,56.4,2.0
200810,42.8,-0.1
200811,32.0,0.5
200812,17.0,-4.4
200901,11.9,-4.9
200902,22.8,2.5
200903,32.8,2.8
200904,40.7,0.4
200905,52.0,1.4
200906,62.3,2.3
200907,60.8,-3.3
200908,60.7,-1.2
200909,55.4,1.0
200910,41.7,-1.2
200911,37.9,6.4
200912,22.2,0.8
201001,14.8,-2.0
201002,18.0,-2.3
201003,34.1,4.1
201004,46.1,5.8
201005,53.9,3.3
201006,64.8,4.8
201007,67.6,3.5
201008,65.6,3.7
201009,55.4,1.0
201010,42.4,-0.5
201011,32.6,1.1
201012,16.8,-4.6
201101,15.2,-1.6
201102,22.0,1.7
201103,32.6,2.6
201104,42.5,2.2
201105,51.8,1.2
201106,62.8,2.8
201107,69.7,5.6
201108,63.2,1.3
201109,52.7,-1.7
201110,42.5,-0.4
201111,37.2,5.7
201112,28.4,7.0
201201,22.7,5.9
201202,27.1,6.8
201203,44.2,14.2
201204,42.4,2.1
201205,55.7,5.1
201206,59.8,-0.2
201207,69.2,5.1
201208,60.3,-1.6
201209,52.9,-1.5
201210,41.9,-1.0
201211,30.8,-0.7
201212,29.0,7.6
201301,20.0,3.2
201302,21.8,1.5
201303,26.4,-3.6
201304,39.3,-1.0
201305,53.1,2.5
201306,61.4,1.4
201307,63.2,-0.9
201308,61.8,-0.1
201309,56.1,1.7
201310,43.3,0.4
201311,29.1,-2.4
201312,17.4,-4.0
201401,9.2,-7.6
201402,9.9,-10.4
201403,23.4,-6.6
201404,40.8,0.5
201405,52.9,2.3
201406,63.2,3.2
201407,59.6,-4.5
201408,64.3,2.4
201409,53.1,-1.3
201410,44.0,1.1
201411,25.7,-5.8
201412,27.9,6.5
201501,17.6,0.8
201502,9.8,-10.5
201503,27.7,-2.3
201504,42.3,2.0
201505,54.5,3.9
201506,62.5,2.5
201507,64.8,0.7
201508,61.3,-0.6
201509,58.8,4.4
201510,44.6,1.7
201511,36.8,5.3
201512,33.9,12.5
201601,19.0,2.2
201602,25.4,5.1
201603,37.6,7.6
201604,41.6,1.3
201605,51.5,0.9
201606,63.3,3.3
201607,66.4,2.3
201608,66.5,4.6
201609,60.1,5.7
201610,49.2,6.3
201611,37.7,6.2
201612,21.8,0.4
201701,24.9,8.1
201702,30.2,9.9
201703,33.5,3.5
201704,45.5,5.2
201705,51.3,0.7
201706,61.0,1.0
201707,65.4,1.3
201708,59.5,-2.4
201709,55.9,1.5
201710,48.0,5.1
201711,32.1,0.6
201712,20.8,-0.6
201801,14.6,-2.2
201802,22.0,1.7
201803,30.0,0.0
201804,33.3,-7.0
201805,59.0,8.4
201806,64.6,4.6
201807,64.7,0.6
201808,64.6,2.7
201809,59.6,5.2
201810,43.7,0.8
201811,28.5,-3.0
201812,26.6,5.2
201901,17.5,0.7
201902,20.8,0.5
201903,27.9,-2.1
201904,41.7,1.4
201905,52.6,2.0
201906,60.8,0.8
201907,67.2,3.1
201908,62.5,0.6
201909,61.1,6.7
201910,43.0,0.1
201911,27.2,-4.3
201912,26.6,5.2
202001,25.0,8.2
202002,24.0,3.7
202003,35.6,5.6
202004,38.3,-2.0
202005,50.9,0.3
202006,62.3,2.3
202007,67.3,3.2
202008,61.9,0.0
202009,54.6,0.2
202010,40.8,-2.1
202011,36.4,4.9
202012,24.3,2.9
202101,23.3,6.5
202102,12.8,-7.5
202103,35.6,5.6
202104,41.4,1.1
202105,50.7,0.1
202106,63.6,3.6
202107,65.3,1.2
202108,65.1,3.2
202109,57.5,3.1
202110,51.1,8.2
202111,30.5,-1.0
202112,30.6,9.2
202201,12.6,-4.2
202202,18.0,-2.3
202203,32.6,2.6
202204,39.3,-1.0
202205,55.0,4.4
