#  Illinois Palmer Z-Index
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,0.98,0.78
199702,3.21,3.21
199703,-0.38,-0.29
199704,-1.10,-1.18
199705,0.64,0.64
199706,-0.11,-0.18
199707,-1.56,-1.46
199708,1.82,1.79
199709,-1.08,-1.29
199710,-1.16,-1.20
199711,-0.89,-0.83
199712,-1.09,-0.93
199801,0.94,0.74
199802,0.66,0.66
199803,1.99,2.08
199804,1.39,1.31
199805,-0.02,-0.02
199806,4.27,4.20
199807,0.04,0.14
199808,-0.03,-0.06
199809,-1.68,-1.89
199810,1.34,1.30
199811,-0.55,-0.49
199812,-0.92,-0.76
199901,3.19,2.99
199902,0.74,0.74
199903,-1.56,-1.47
199904,1.85,1.77
199905,-0.71,-0.71
199906,1.42,1.35
199907,-1.05,-0.95
199908,-0.59,-0.62
199909,-1.27,-1.48
199910,-1.50,-1.54
199911,-4.20,-4.14
199912,-1.42,-1.26
200001,-1.38,-1.58
200002,0.11,0.11
200003,-2.10,-2.01
200004,-0.76,-0.84
200005,-0.07,-0.07
200006,4.14,4.07
200007,1.41,1.51
200008,0.66,0.63
200009,1.01,0.80
200010,-0.69,-0.73
200011,0.99,1.05
200012,0.24,0.40
200101,-0.01,-0.21
200102,2.23,2.23
200103,-2.11,-2.02
200104,-1.84,-1.92
200105,-0.08,-0.08
200106,0.07,0.00
200107,0.31,0.41
200108,0.79,0.76
200109,0.45,0.24
200110,4.15,4.11
200111,0.55,0.61
200112,0.85,1.01
200201,0.57,0.37
200202,0.09,0.09
200203,0.68,0.77
200204,1.47,1.39
200205,4.03,4.03
200206,-0.30,-0.37
200207,-1.58,-1.48
200208,0.40,0.37
200209,-2.03,-2.24
200210,0.21,0.17
200211,-2.48,-2.42
200212,-1.34,-1.18
200301,-2.10,-2.30
200302,-0.45,-0.45
200303,-1.58,-1.49
200304,-0.82,-0.90
200305,1.73,1.73
200306,0.32,0.25
200307,1.96,2.06
200308,-0.83,-0.86
200309,1.53,1.32
200310,-0.52,-0.56
200311,1.94,2.00
200312,0.91,1.07
200401,0.32,0.12
200402,-1.36,-1.36
200403,0.82,0.91
200404,-2.55,-2.63
200405,2.36,2.36
200406,-0.72,-0.79
200407,0.98,1.08
200408,2.98,2.95
200409,-2.74,-2.95
200410,2.35,2.31
200411,2.74,2.80
200412,0.08,0.24
200501,4.64,4.44
200502,0.05,0.05
200503,-1.85,-1.76
200504,-1.83,-1.91
200505,-2.35,-2.35
200506,-3.26,-3.33
200507,-1.49,-1.39
200508,-0.80,-0.83
200509,-0.79,-1.00
200510,-2.57,-2.61
200511,-1.19,-1.13
200512,-2.71,-2.55
200601,-0.32,-0.52
