#  Indiana Cooling Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,0,0
199702,0,0
199703,1,-1
199704,0,-1
199705,19,-47
199706,150,-34
199707,267,-23
199708,163,-70
199709,73,-19
199710,7,-3
199711,0,0
199712,0,0
199801,0,0
199802,0,0
199803,0,-2
199804,0,-1
199805,132,66
199806,190,6
199807,260,-30
199808,269,36
199809,157,65
199810,13,3
199811,0,0
199812,0,0
199901,0,0
199902,0,0
199903,0,-2
199904,2,1
199905,89,23
199906,217,33
199907,393,103
199908,196,-37
199909,86,-6
199910,7,-3
199911,0,0
199912,0,0
200001,0,0
200002,0,0
200003,5,3
200004,0,-1
200005,97,31
200006,174,-10
200007,213,-77
200008,218,-15
200009,68,-24
200010,18,8
200011,0,0
200012,0,0
200101,0,0
200102,0,0
200103,0,-2
200104,12,11
200105,94,28
200106,148,-36
200107,266,-24
200108,272,39
200109,57,-35
200110,8,-2
200111,0,0
200112,0,0
200201,0,0
200202,0,0
200203,0,-2
200204,2,1
200205,32,-34
200206,238,54
200207,364,74
200208,297,64
200209,148,56
200210,4,-6
200211,0,0
200212,0,0
200301,0,0
200302,0,0
200303,1,-1
200304,2,1
200305,50,-16
200306,111,-73
200307,244,-46
200308,270,37
200309,54,-38
200310,5,-5
200311,0,0
200312,0,0
200401,0,0
200402,0,0
200403,2,0
200404,1,0
200405,123,57
200406,155,-29
200407,218,-72
200408,139,-94
200409,113,21
200410,10,0
200411,0,0
200412,0,0
200501,0,0
200502,0,0
200503,0,-2
200504,4,3
200505,38,-28
200506,257,73
200507,305,15
200508,298,65
200509,149,57
200510,11,1
200511,0,0
200512,0,0
200601,2,2
200602,0,0
200603,0,-2
200604,9,8
200605,46,-20
200606,159,-25
200607,315,25
200608,262,29
200609,44,-48
200610,1,-9
200611,0,0
200612,0,0
200701,0,0
200702,0,0
200703,8,6
200704,0,-1
200705,129,63
200706,218,34
200707,214,-76
200708,354,121
200709,145,53
200710,38,28
200711,0,0
200712,0,0
200801,0,0
200802,0,0
200803,0,-2
200804,1,0
200805,29,-37
200806,218,34
200807,254,-36
200808,198,-35
200809,118,26
200810,6,-4
200811,0,0
200812,0,0
200901,0,0
200902,0,0
200903,2,0
200904,1,0
200905,66,0
200906,203,19
200907,146,-144
200908,186,-47
200909,83,-9
200910,0,-10
200911,0,0
200912,0,0
201001,0,0
201002,0,0
201003,1,-1
201004,14,13
201005,98,32
201006,267,83
201007,344,54
201008,322,89
201009,112,20
201010,13,3
201011,0,0
201012,0,0
201101,0,0
201102,0,0
201103,1,-1
201104,2,1
201105,69,3
201106,219,35
201107,421,131
201108,250,17
201109,57,-35
201110,8,-2
201111,0,0
201112,0,0
201201,0,0
201202,0,0
201203,37,35
201204,2,1
201205,152,86
201206,206,22
201207,463,173
201208,217,-16
201209,63,-29
201210,1,-9
201211,0,0
201212,0,0
201301,0,0
201302,0,0
201303,0,-2
201304,0,-1
201305,102,36
201306,183,-1
201307,226,-64
201308,207,-26
201309,106,14
201310,8,-2
201311,0,0
201312,0,0
201401,0,0
201402,0,0
201403,0,-2
201404,2,1
201405,77,11
201406,229,45
201407,142,-148
201408,229,-4
201409,61,-31
201410,6,-4
201411,0,0
201412,0,0
201501,0,0
201502,0,0
201503,0,-2
201504,2,1
201505,109,43
201506,186,2
201507,239,-51
201508,184,-49
201509,142,50
201510,12,2
201511,0,0
201512,2,2
201601,0,0
201602,0,0
201603,8,6
201604,1,0
201605,51,-15
201606,235,51
201607,290,0
201608,326,93
201609,164,72
201610,32,22
201611,0,0
201612,0,0
201701,0,0
201702,0,0
201703,1,-1
201704,14,13
201705,54,-12
201706,192,8
201707,277,-13
201708,168,-65
201709,112,20
201710,20,10
201711,0,0
201712,0,0
201801,0,0
201802,0,0
201803,0,-2
201804,0,-1
201805,193,127
201806,252,68
201807,278,-12
201808,277,44
201809,162,70
201810,11,1
201811,0,0
201812,0,0
201901,0,0
201902,0,0
201903,0,-2
201904,1,0
201905,74,8
201906,163,-21
201907,346,56
201908,226,-7
201909,184,92
201910,12,2
201911,0,0
201912,0,0
202001,0,0
202002,0,0
202003,5,3
202004,0,-1
202005,42,-24
202006,217,33
202007,348,58
202008,222,-11
202009,80,-12
202010,5,-5
202011,0,0
202012,0,0
202101,0,0
202102,0,0
202103,6,4
202104,0,-1
202105,41,-25
202106,234,50
202107,265,-25
202108,309,76
202109,134,42
202110,38,28
202111,0,0
202112,1,1
202201,0,0
202202,0,0
202203,2,0
202204,0,-1
202205,107,41
202206,220,36
202207,312,22
202208,247,14
202209,94,2
202210,4,-6
202211,0,0
202212,0,0
