#  Indiana Heating Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,1316,108
199702,863,-149
199703,722,-84
199704,555,108
199705,306,115
199706,29,3
199707,3,0
199708,27,13
199709,89,9
199710,370,5
199711,803,76
199712,1001,-90
199801,949,-259
199802,724,-288
199803,748,-58
199804,387,-60
199805,96,-95
199806,18,-8
199807,5,2
199808,6,-8
199809,29,-51
199810,310,-55
199811,612,-115
199812,898,-193
199901,1200,-8
199902,816,-196
199903,891,85
199904,356,-91
199905,139,-52
199906,12,-14
199907,0,-3
199908,18,4
199909,76,-4
199910,367,2
199911,531,-196
199912,1006,-85
200001,1208,0
200002,811,-201
200003,621,-185
200004,448,1
200005,131,-60
200006,22,-4
200007,9,6
200008,13,-1
200009,94,14
200010,268,-97
200011,748,21
200012,1437,346
200101,1188,-20
200102,899,-113
200103,873,67
200104,278,-169
200105,134,-57
200106,31,5
200107,3,0
200108,6,-8
200109,109,29
200110,366,1
200111,489,-238
200112,883,-208
200201,966,-242
200202,841,-171
200203,843,37
200204,365,-82
200205,251,60
200206,9,-17
200207,0,-3
200208,4,-10
200209,34,-46
200210,407,42
200211,764,37
200212,1045,-46
200301,1363,155
200302,1116,104
200303,728,-78
200304,370,-77
200305,202,11
200306,50,24
200307,6,3
200308,6,-8
200309,111,31
200310,393,28
200311,580,-147
200312,988,-103
200401,1276,68
200402,997,-15
200403,659,-147
200404,362,-85
200405,107,-84
200406,30,4
200407,8,5
200408,36,22
200409,52,-28
200410,340,-25
200411,585,-142
200412,1072,-19
200501,1112,-96
200502,859,-153
200503,876,70
200504,345,-102
200505,229,38
200506,7,-19
200507,0,-3
200508,3,-11
200509,32,-48
200510,323,-42
200511,625,-102
200512,1206,115
200601,817,-391
200602,943,-69
200603,772,-34
200604,302,-145
200605,208,17
200606,27,1
200607,0,-3
200608,8,-6
200609,126,46
200610,442,77
200611,632,-95
200612,870,-221
200701,1032,-176
200702,1281,269
200703,588,-218
200704,479,32
200705,99,-92
200706,12,-14
200707,9,6
200708,2,-12
200709,36,-44
200710,193,-172
200711,703,-24
200712,1025,-66
200801,1171,-37
200802,1050,38
200803,835,29
200804,392,-55
200805,258,67
200806,13,-13
200807,5,2
200808,17,3
200809,50,-30
200810,368,3
200811,745,18
200812,1134,43
200901,1375,167
200902,935,-77
200903,662,-144
200904,420,-27
200905,171,-20
200906,16,-10
200907,25,22
200908,19,5
200909,78,-2
200910,460,95
200911,572,-155
200912,1089,-2
201001,1285,77
201002,1111,99
201003,675,-131
201004,254,-193
201005,131,-60
201006,7,-19
201007,0,-3
201008,2,-12
201009,55,-25
201010,303,-62
201011,677,-50
201012,1279,188
201101,1297,89
201102,969,-43
201103,743,-63
201104,384,-63
201105,166,-25
201106,12,-14
201107,0,-3
201108,9,-5
201109,108,28
201110,360,-5
201111,552,-175
201112,894,-197
201201,1027,-181
201202,842,-170
201203,358,-448
201204,382,-65
201205,81,-110
201206,14,-12
201207,0,-3
201208,14,0
201209,100,20
201210,413,48
201211,756,29
201212,845,-246
201301,1103,-105
201302,988,-24
201303,949,143
201304,443,-4
201305,124,-67
201306,20,-6
201307,7,4
201308,15,1
201309,59,-21
201310,349,-16
201311,784,57
201312,1120,29
201401,1438,230
201402,1227,215
201403,978,172
201404,397,-50
201405,156,-35
201406,11,-15
201407,26,23
201408,11,-3
201409,102,22
201410,366,1
201411,895,168
201412,956,-135
201501,1252,44
201502,1298,286
201503,881,75
201504,382,-65
201505,118,-73
201506,20,-6
201507,7,4
201508,19,5
201509,35,-45
201510,314,-51
201511,565,-162
201512,714,-377
201601,1176,-32
201602,882,-130
201603,569,-237
201604,405,-42
201605,195,4
201606,10,-16
201607,0,-3
201608,1,-13
201609,26,-54
201610,215,-150
201611,546,-181
201612,1108,17
201701,982,-226
201702,673,-339
201703,712,-94
201704,267,-180
201705,196,5
201706,17,-9
201707,2,-1
201708,25,11
201709,53,-27
201710,254,-111
201711,690,-37
201712,1115,24
201801,1268,60
201802,855,-157
201803,845,39
201804,611,164
201805,57,-134
201806,8,-18
201807,2,-1
201808,6,-8
201809,28,-52
201810,335,-30
201811,855,128
201812,931,-160
201901,1199,-9
201902,936,-76
201903,876,70
201904,401,-46
201905,165,-26
201906,25,-1
201907,0,-3
201908,11,-3
201909,22,-58
201910,316,-49
201911,864,137
201912,910,-181
202001,963,-245
202002,916,-96
202003,655,-151
202004,493,46
202005,217,26
202006,12,-14
202007,0,-3
202008,12,-2
202009,82,2
202010,386,21
202011,559,-168
202012,984,-107
202101,1081,-127
202102,1169,157
202103,613,-193
202104,404,-43
202105,218,27
202106,10,-16
202107,4,1
202108,2,-12
202109,39,-41
202110,195,-170
202111,759,32
202112,779,-312
202201,1278,70
202202,1000,-12
202203,678,-128
202204,485,38
202205,121,-70
202206,12,-14
202207,1,-2
202208,8,-6
202209,68,-12
202210,389,24
202211,661,-66
202212,1045,-46
