#  Indiana Precipitation
# Units: Inches
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,3.04,0.30
199702,3.28,1.05
199703,4.81,1.30
199704,2.07,-1.74
199705,5.71,1.58
199706,5.50,1.42
199707,2.95,-0.85
199708,3.96,0.48
199709,2.26,-0.97
199710,1.61,-1.24
199711,2.61,-0.41
199712,2.00,-0.85
199801,3.04,0.30
199802,1.82,-0.41
199803,4.24,0.73
199804,6.06,2.25
199805,4.59,0.46
199806,7.74,3.66
199807,4.96,1.16
199808,3.58,0.10
199809,1.06,-2.17
199810,3.55,0.70
199811,2.20,-0.82
199812,2.04,-0.81
199901,4.92,2.18
199902,3.41,1.18
199903,2.00,-1.51
199904,4.90,1.09
199905,3.12,-1.01
199906,4.13,0.05
199907,2.70,-1.10
199908,2.24,-1.24
199909,1.36,-1.87
199910,2.02,-0.83
199911,1.06,-1.96
199912,3.18,0.33
200001,2.54,-0.20
200002,3.46,1.23
200003,2.20,-1.31
200004,3.23,-0.58
200005,4.53,0.40
200006,6.21,2.13
200007,3.89,0.09
200008,4.41,0.93
200009,4.61,1.38
200010,2.33,-0.52
200011,2.98,-0.04
200012,3.01,0.16
200101,1.02,-1.72
200102,2.86,0.63
200103,0.97,-2.54
200104,2.75,-1.06
200105,4.32,0.19
200106,4.09,0.01
200107,5.46,1.66
200108,4.02,0.54
200109,3.76,0.53
200110,7.75,4.90
200111,3.34,0.32
200112,3.62,0.77
200201,2.24,-0.50
200202,2.32,0.09
200203,4.38,0.87
200204,5.59,1.78
200205,7.09,2.96
200206,3.28,-0.80
200207,2.64,-1.16
200208,2.82,-0.66
200209,3.75,0.52
200210,2.87,0.02
200211,2.35,-0.67
200212,2.86,0.01
200301,1.42,-1.32
200302,2.74,0.51
200303,2.16,-1.35
200304,3.00,-0.81
200305,6.56,2.43
200306,3.26,-0.82
200307,8.18,4.38
200308,3.54,0.06
200309,6.20,2.97
200310,2.40,-0.45
200311,4.26,1.24
200312,2.68,-0.17
200401,3.48,0.74
200402,0.83,-1.40
200403,3.46,-0.05
200404,1.83,-1.98
200405,7.17,3.04
200406,4.43,0.35
200407,5.19,1.39
200408,4.85,1.37
200409,0.72,-2.51
200410,4.14,1.29
200411,4.73,1.71
200412,2.57,-0.28
200501,7.11,4.37
200502,2.25,0.02
200503,2.12,-1.39
200504,3.04,-0.77
200505,2.57,-1.56
200506,3.21,-0.87
200507,4.43,0.63
200508,4.76,1.28
200509,4.10,0.87
200510,1.24,-1.61
200511,3.91,0.89
200512,2.15,-0.70
200601,3.28,0.54
200602,1.62,-0.61
200603,5.14,1.63
200604,4.27,0.46
200605,5.25,1.12
200606,4.20,0.12
200607,4.85,1.05
200608,4.76,1.28
200609,4.56,1.33
200610,5.01,2.16
200611,3.25,0.23
200612,4.83,1.98
200701,4.75,2.01
200702,2.43,0.20
200703,3.54,0.03
200704,4.15,0.34
200705,1.75,-2.38
200706,3.28,-0.80
200707,3.17,-0.63
200708,4.55,1.07
200709,2.53,-0.70
200710,3.81,0.96
200711,2.77,-0.25
200712,5.06,2.21
200801,3.23,0.49
200802,4.81,2.58
200803,6.48,2.97
200804,3.36,-0.45
200805,5.68,1.55
200806,6.58,2.50
200807,4.32,0.52
200808,2.01,-1.47
200809,3.86,0.63
200810,2.23,-0.62
200811,2.11,-0.91
200812,5.02,2.17
200901,1.62,-1.12
200902,2.80,0.57
200903,3.23,-0.28
200904,5.74,1.93
200905,5.67,1.54
200906,4.69,0.61
200907,4.43,0.63
200908,3.76,0.28
200909,2.87,-0.36
200910,6.69,3.84
200911,1.46,-1.56
200912,3.10,0.25
201001,1.52,-1.22
201002,1.48,-0.75
201003,3.10,-0.41
201004,3.16,-0.65
201005,5.49,1.36
201006,7.68,3.60
201007,4.15,0.35
201008,1.84,-1.64
201009,1.35,-1.88
201010,1.17,-1.68
201011,5.01,1.99
201012,1.44,-1.41
201101,1.50,-1.24
201102,4.21,1.98
201103,3.46,-0.05
201104,9.61,5.80
201105,6.51,2.38
201106,5.22,1.14
201107,2.74,-1.06
201108,2.55,-0.93
201109,5.31,2.08
201110,3.29,0.44
201111,6.21,3.19
201112,4.58,1.73
201201,3.40,0.66
201202,1.54,-0.69
201203,2.73,-0.78
201204,2.22,-1.59
201205,2.75,-1.38
201206,1.29,-2.79
201207,2.53,-1.27
201208,4.05,0.57
201209,5.17,1.94
201210,3.95,1.10
201211,0.98,-2.04
201212,3.21,0.36
201301,4.71,1.97
201302,2.21,-0.02
201303,2.30,-1.21
201304,6.38,2.57
201305,3.71,-0.42
201306,6.24,2.16
201307,3.21,-0.59
201308,1.84,-1.64
201309,2.99,-0.24
201310,4.12,1.27
201311,3.04,0.02
201312,4.39,1.54
201401,2.33,-0.41
201402,2.64,0.41
201403,1.85,-1.66
201404,5.73,1.92
201405,4.23,0.10
201406,5.61,1.53
201407,3.36,-0.44
201408,4.96,1.48
201409,3.48,0.25
201410,4.13,1.28
201411,2.66,-0.36
201412,2.59,-0.26
201501,2.11,-0.63
201502,1.40,-0.83
201503,3.54,0.03
201504,4.79,0.98
201505,3.98,-0.15
201506,9.07,4.99
201507,6.23,2.43
201508,2.57,-0.91
201509,2.39,-0.84
201510,2.42,-0.43
201511,3.57,0.55
201512,5.44,2.59
201601,1.34,-1.40
201602,2.78,0.55
201603,4.46,0.95
201604,4.17,0.36
201605,3.53,-0.60
201606,4.28,0.20
201607,5.13,1.33
201608,6.48,3.00
201609,3.66,0.43
201610,2.61,-0.24
201611,2.58,-0.44
201612,2.36,-0.49
201701,3.68,0.94
201702,1.35,-0.88
201703,4.04,0.53
201704,4.83,1.02
201705,6.90,2.77
201706,4.37,0.29
201707,6.07,2.27
201708,2.26,-1.22
201709,2.03,-1.20
201710,4.32,1.47
201711,4.43,1.41
201712,1.33,-1.52
201801,2.05,-0.69
201802,5.91,3.68
201803,3.92,0.41
201804,3.59,-0.22
201805,3.42,-0.71
201806,6.55,2.47
201807,3.37,-0.43
201808,5.33,1.85
201809,5.40,2.17
201810,2.82,-0.03
201811,4.32,1.30
201812,3.35,0.50
201901,3.50,0.76
201902,4.45,2.22
201903,4.18,0.67
201904,5.62,1.81
201905,6.02,1.89
201906,6.12,2.04
201907,3.61,-0.19
201908,3.51,0.03
201909,2.26,-0.97
201910,4.29,1.44
201911,2.70,-0.32
201912,3.26,0.41
202001,4.65,1.91
202002,2.81,0.58
202003,4.62,1.11
202004,3.05,-0.76
202005,5.07,0.94
202006,3.52,-0.56
202007,4.58,0.78
202008,3.31,-0.17
202009,1.53,-1.70
202010,4.44,1.59
202011,3.02,0.00
202012,1.80,-1.05
202101,2.45,-0.29
202102,2.21,-0.02
202103,3.82,0.31
202104,2.94,-0.87
202105,3.72,-0.41
202106,5.93,1.85
202107,5.44,1.64
202108,3.42,-0.06
202109,4.06,0.83
202110,6.03,3.18
202111,1.43,-1.59
202112,4.00,1.15
202201,1.68,-1.06
202202,4.53,2.30
202203,4.02,0.51
202204,3.30,-0.51
202205,5.06,0.93
202206,2.34,-1.74
202207,5.49,1.69
202208,3.83,0.35
202209,2.26,-0.97
202210,1.79,-1.06
202211,1.60,-1.42
202212,2.28,-0.57
