#  Indiana Palmer Hydrological Drought Index (PHDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,3.11,3.01
199702,3.26,3.23
199703,3.40,3.42
199704,2.55,2.55
199705,3.11,3.12
199706,3.49,3.46
199707,2.84,2.81
199708,2.98,2.93
199709,2.42,2.41
199710,1.73,1.68
199711,1.28,1.24
199712,0.79,0.72
199801,0.91,0.81
199802,-1.05,-1.08
199803,-0.68,-0.66
199804,1.09,1.09
199805,0.88,0.89
199806,2.31,2.28
199807,2.65,2.62
199808,2.60,2.55
199809,1.42,1.41
199810,1.47,1.42
199811,0.88,0.84
199812,-1.30,-1.37
199901,0.95,0.85
199902,1.33,1.30
199903,0.67,0.69
199904,0.92,0.92
199905,-0.62,-0.61
199906,-0.60,-0.63
199907,-1.23,-1.26
199908,-1.75,-1.80
199909,-2.48,-2.49
199910,-2.84,-2.89
199911,-4.14,-4.18
199912,-4.25,-4.32
200001,-4.14,-4.24
200002,-3.41,-3.44
200003,-3.83,-3.81
200004,-3.63,-3.63
200005,-3.26,-3.25
200006,-2.00,-2.03
200007,-1.58,-1.61
200008,-0.78,-0.83
200009,2.27,2.26
200010,2.12,2.07
200011,2.34,2.30
200012,2.35,2.28
200101,1.59,1.49
200102,1.73,1.70
200103,0.56,0.58
200104,-1.71,-1.71
200105,-1.60,-1.59
200106,-1.31,-1.34
200107,0.88,0.85
200108,1.21,1.16
200109,1.61,1.60
200110,3.78,3.73
200111,3.78,3.74
200112,3.79,3.72
200201,3.32,3.22
200202,3.00,2.97
200203,3.13,3.15
200204,3.41,3.41
200205,4.28,4.29
200206,3.43,3.40
200207,2.38,2.35
200208,1.55,1.50
200209,1.33,1.32
200210,1.05,1.00
200211,-1.88,-1.92
200212,-1.88,-1.95
200301,-2.06,-2.16
200302,-1.58,-1.61
200303,-2.08,-2.06
200304,-2.29,-2.29
200305,-1.12,-1.11
200306,-1.13,-1.16
200307,2.59,2.56
200308,2.54,2.49
200309,3.88,3.87
200310,3.82,3.77
200311,4.26,4.22
200312,3.92,3.85
200401,3.93,3.83
200402,2.93,2.90
200403,2.44,2.46
200404,1.29,1.29
200405,1.99,2.00
200406,2.02,1.99
200407,2.56,2.53
200408,3.34,3.29
200409,2.19,2.18
200410,2.62,2.57
200411,3.25,3.21
200412,2.98,2.91
200501,4.45,4.35
200502,3.99,3.96
200503,3.08,3.10
200504,2.31,2.31
200505,1.61,1.62
200506,0.95,0.92
200507,0.96,0.93
200508,1.30,1.25
200509,1.41,1.40
200510,0.60,0.55
200511,-1.02,-1.06
200512,-1.17,-1.24
200601,-0.85,-0.95
200602,-1.00,-1.03
200603,0.68,0.70
200604,0.57,0.57
200605,0.98,0.99
200606,1.01,0.98
200607,1.34,1.31
200608,1.90,1.85
200609,2.61,2.60
200610,3.76,3.71
200611,3.88,3.84
200612,4.35,4.28
200701,4.78,4.68
200702,4.42,4.39
200703,3.69,3.71
200704,3.53,3.53
200705,2.05,2.06
200706,1.31,1.28
200707,0.81,0.78
200708,0.81,0.76
200709,-1.88,-1.89
200710,-1.78,-1.83
200711,-2.08,-2.12
200712,-1.17,-1.24
200801,-0.73,-0.83
200802,2.05,2.02
200803,3.17,3.19
200804,2.61,2.61
200805,3.06,3.07
200806,3.73,3.70
200807,3.67,3.64
200808,2.85,2.80
200809,2.81,2.80
200810,2.36,2.31
200811,1.73,1.69
200812,2.39,2.32
200901,1.86,1.76
200902,1.96,1.93
200903,1.47,1.49
200904,2.08,2.08
200905,2.40,2.41
200906,2.39,2.36
200907,2.69,2.66
200908,2.84,2.79
200909,2.62,2.61
200910,4.28,4.23
200911,3.61,3.57
200912,3.52,3.45
201001,2.83,2.73
201002,2.24,2.21
201003,1.69,1.71
201004,0.95,0.95
201005,1.20,1.21
201006,2.41,2.38
201007,2.26,2.23
201008,1.24,1.19
201009,-1.60,-1.61
201010,-2.40,-2.45
201011,-2.06,-2.10
201012,-2.45,-2.52
201101,-2.58,-2.68
201102,-1.38,-1.41
201103,-1.32,-1.30
201104,2.92,2.92
201105,3.45,3.46
201106,3.52,3.49
201107,2.53,2.50
201108,1.78,1.73
201109,2.54,2.53
201110,2.61,2.56
201111,3.60,3.56
201112,4.01,3.94
201201,3.97,3.87
201202,3.23,3.20
201203,1.89,1.91
201204,0.97,0.97
201205,-2.53,-2.52
201206,-3.53,-3.56
201207,-4.45,-4.48
201208,-4.03,-4.08
201209,-2.91,-2.92
201210,-2.18,-2.23
201211,-2.71,-2.75
201212,-2.54,-2.61
201301,-1.40,-1.50
201302,-1.23,-1.26
201303,-1.45,-1.43
201304,1.44,1.44
201305,0.98,0.99
201306,1.79,1.76
201307,1.50,1.47
201308,0.74,0.69
201309,-0.78,-0.79
201310,0.45,0.40
201311,0.52,0.48
201312,1.25,1.18
201401,1.10,1.00
201402,1.21,1.18
201403,0.56,0.58
201404,1.22,1.22
201405,1.05,1.06
201406,1.50,1.47
201407,1.46,1.43
201408,2.18,2.13
201409,2.38,2.37
201410,3.01,2.96
201411,3.21,3.17
201412,2.92,2.85
201501,2.52,2.42
201502,1.92,1.89
201503,1.84,1.86
201504,1.96,1.96
201505,1.52,1.53
201506,3.43,3.40
201507,4.23,4.20
201508,3.69,3.64
201509,3.02,3.01
201510,2.58,2.53
201511,2.36,2.32
201512,3.05,2.98
201601,2.35,2.25
201602,2.36,2.33
201603,2.23,2.25
201604,2.10,2.10
201605,1.70,1.71
201606,1.53,1.50
201607,1.94,1.91
201608,3.15,3.10
201609,3.11,3.10
201610,2.82,2.77
201611,2.50,2.46
201612,2.24,2.17
201701,2.47,2.37
201702,1.62,1.59
201703,1.58,1.60
201704,1.54,1.54
201705,2.41,2.42
201706,2.30,2.27
201707,3.07,3.04
201708,2.53,2.48
201709,1.84,1.83
201710,2.16,2.11
201711,2.64,2.60
201712,1.95,1.88
201801,1.63,1.53
201802,3.10,3.07
201803,3.03,3.05
201804,2.90,2.90
201805,1.91,1.92
201806,2.55,2.52
201807,2.14,2.11
201808,2.79,2.74
201809,3.42,3.41
201810,3.38,3.33
201811,4.10,4.06
201812,4.01,3.94
201901,4.01,3.91
201902,4.64,4.61
201903,4.55,4.57
201904,4.76,4.76
201905,4.89,4.90
201906,5.31,5.28
201907,4.63,4.60
201908,4.27,4.22
201909,3.27,3.26
201910,3.41,3.36
201911,3.14,3.10
201912,3.09,3.02
202001,3.59,3.49
202002,3.51,3.48
202003,3.45,3.47
202004,2.89,2.89
202005,3.02,3.03
202006,2.44,2.41
202007,2.38,2.35
202008,2.11,2.06
202009,1.22,1.21
202010,1.69,1.64
202011,1.42,1.38
202012,0.98,0.91
202101,0.91,0.81
202102,0.84,0.81
202103,0.66,0.68
202104,-0.71,-0.71
202105,-0.70,-0.69
202106,0.69,0.66
202107,1.40,1.37
202108,1.35,1.30
202109,1.65,1.64
202110,2.79,2.74
202111,2.45,2.41
202112,2.65,2.58
202201,2.11,2.01
202202,2.97,2.94
202203,2.74,2.76
202204,2.34,2.34
202205,2.26,2.27
202206,1.27,1.24
202207,1.68,1.65
202208,1.67,1.62
202209,1.12,1.11
202210,0.57,0.52
202211,-1.59,-1.63
202212,-1.94,-2.01
