#  Indiana Palmer Modified Drought Index (PMDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,3.11,3.04
199702,3.26,3.28
199703,3.40,3.43
199704,1.89,1.86
199705,3.11,3.15
199706,3.49,3.49
199707,2.44,2.51
199708,2.98,3.01
199709,2.04,1.98
199710,0.78,0.65
199711,-0.01,-0.09
199712,-0.88,-0.93
199801,-0.46,-0.53
199802,-1.05,-1.03
199803,0.00,0.03
199804,1.09,1.06
199805,0.59,0.63
199806,2.31,2.31
199807,2.65,2.72
199808,2.60,2.63
199809,0.19,0.13
199810,0.48,0.35
199811,-0.62,-0.70
199812,-1.30,-1.35
199901,0.95,0.88
199902,1.33,1.35
199903,-0.33,-0.30
199904,0.43,0.40
199905,-0.62,-0.58
199906,-0.60,-0.60
199907,-1.23,-1.16
199908,-1.75,-1.72
199909,-2.48,-2.54
199910,-2.84,-2.97
199911,-4.14,-4.22
199912,-4.25,-4.30
200001,-4.14,-4.21
200002,-2.99,-2.97
200003,-3.83,-3.80
200004,-3.63,-3.66
200005,-3.20,-3.16
200006,-0.79,-0.79
200007,-0.13,-0.06
200008,1.33,1.36
200009,2.27,2.21
200010,2.12,1.99
200011,2.34,2.26
200012,2.35,2.30
200101,0.86,0.79
200102,1.34,1.36
200103,-1.12,-1.09
200104,-1.71,-1.74
200105,-1.60,-1.56
200106,-1.05,-1.05
200107,0.88,0.95
200108,1.21,1.24
200109,1.61,1.55
200110,3.78,3.65
200111,3.78,3.70
200112,3.79,3.74
200201,3.16,3.09
200202,2.81,2.83
200203,3.13,3.16
200204,3.41,3.38
200205,4.28,4.32
200206,2.89,2.89
200207,1.01,1.08
200208,-0.45,-0.42
200209,-0.66,-0.72
200210,-0.97,-1.10
200211,-1.88,-1.96
200212,-1.88,-1.93
200301,-2.06,-2.13
200302,-1.15,-1.13
200303,-2.08,-2.05
200304,-2.29,-2.32
200305,0.17,0.21
200306,0.00,0.00
200307,2.59,2.66
200308,2.54,2.57
200309,3.88,3.82
200310,3.82,3.69
200311,4.26,4.18
200312,3.92,3.87
200401,3.93,3.86
200402,2.18,2.20
200403,1.43,1.46
200404,-0.73,-0.76
200405,0.92,0.96
200406,1.19,1.19
200407,2.37,2.44
200408,3.34,3.37
200409,1.16,1.10
200410,2.33,2.20
200411,3.25,3.17
200412,2.98,2.93
200501,4.45,4.38
200502,3.93,3.95
200503,2.39,2.42
200504,1.08,1.05
200505,-0.13,-0.09
200506,-1.22,-1.22
200507,-0.97,-0.90
200508,-0.15,-0.12
200509,0.23,0.17
200510,-1.04,-1.17
200511,-1.02,-1.10
200512,-1.17,-1.22
200601,-0.38,-0.45
200602,-0.88,-0.86
200603,0.68,0.71
200604,0.57,0.54
200605,0.98,1.02
200606,1.01,1.01
200607,1.34,1.41
200608,1.90,1.93
200609,2.61,2.55
200610,3.76,3.63
200611,3.88,3.80
200612,4.35,4.30
200701,4.78,4.71
200702,4.42,4.44
200703,3.32,3.35
200704,3.36,3.33
200705,0.56,0.60
200706,-0.73,-0.73
200707,-1.50,-1.43
200708,-1.25,-1.22
200709,-1.88,-1.94
200710,-1.78,-1.91
200711,-2.08,-2.16
200712,-0.15,-0.20
200801,0.71,0.64
200802,2.05,2.07
200803,3.17,3.20
