#  Indiana Maximum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,31.6,-3.5
199702,42.5,4.0
199703,52.4,2.8
199704,59.1,-2.8
199705,67.3,-5.8
199706,78.4,-3.7
199707,84.9,-1.2
199708,80.0,-4.1
199709,76.9,-1.0
199710,65.4,-0.5
199711,46.0,-4.6
199712,39.0,0.6
199801,40.9,5.8
199802,47.2,8.7
199803,49.7,0.1
199804,63.1,1.2
199805,77.3,4.2
199806,81.0,-1.1
199807,83.6,-2.5
199808,84.2,0.1
199809,82.6,4.7
199810,67.4,1.5
199811,55.0,4.4
199812,45.3,6.9
199901,36.1,1.0
199902,45.2,6.7
199903,47.2,-2.4
199904,64.2,2.3
199905,75.8,2.7
199906,82.4,0.3
199907,88.7,2.6
199908,83.4,-0.7
199909,81.5,3.6
199910,66.4,0.5
199911,59.6,9.0
199912,41.4,3.0
200001,35.7,0.6
200002,45.8,7.3
200003,57.1,7.5
200004,62.4,0.5
200005,75.1,2.0
200006,80.7,-1.4
200007,82.1,-4.0
200008,82.5,-1.6
200009,76.2,-1.7
200010,69.3,3.4
200011,48.8,-1.8
200012,27.6,-10.8
200101,34.6,-0.5
200102,41.9,3.4
200103,46.7,-2.9
200104,68.6,6.7
200105,75.7,2.6
200106,79.6,-2.5
200107,84.8,-1.3
200108,84.4,0.3
200109,75.4,-2.5
200110,64.4,-1.5
200111,60.7,10.1
200112,44.5,6.1
200201,42.8,7.7
200202,44.7,6.2
200203,48.0,-1.6
200204,64.3,2.4
200205,69.4,-3.7
200206,84.0,1.9
200207,88.3,2.2
200208,85.6,1.5
200209,82.1,4.2
200210,62.1,-3.8
200211,48.0,-2.6
200212,39.1,0.7
200301,29.8,-5.3
200302,33.5,-5.0
200303,53.5,3.9
200304,65.1,3.2
200305,70.7,-2.4
200306,78.0,-4.1
200307,83.6,-2.5
200308,84.4,0.3
200309,74.8,-3.1
200310,64.8,-1.1
200311,55.2,4.6
200312,40.6,2.2
200401,32.4,-2.7
200402,38.8,0.3
200403,54.0,4.4
200404,65.0,3.1
200405,76.2,3.1
200406,80.0,-2.1
200407,81.8,-4.3
200408,79.1,-5.0
200409,79.8,1.9
200410,65.6,-0.3
200411,53.8,3.2
200412,39.4,1.0
200501,37.3,2.2
200502,42.8,4.3
200503,46.8,-2.8
200504,66.0,4.1
200505,71.6,-1.5
200506,84.4,2.3
200507,85.8,-0.3
200508,85.4,1.3
200509,81.4,3.5
200510,65.8,-0.1
200511,55.2,4.6
200512,33.5,-4.9
200601,46.8,11.7
200602,41.0,2.5
200603,50.1,0.5
200604,68.2,6.3
200605,70.7,-2.4
200606,80.9,-1.2
200607,85.4,-0.7
200608,83.7,-0.4
200609,72.7,-5.2
200610,61.5,-4.4
200611,52.9,2.3
200612,45.8,7.4
200701,39.2,4.1
200702,28.7,-9.8
200703,57.8,8.2
200704,60.5,-1.4
200705,79.2,6.1
200706,84.0,1.9
200707,83.5,-2.6
200708,88.6,4.5
200709,82.2,4.3
200710,71.3,5.4
200711,51.6,1.0
200712,39.4,1.0
200801,36.7,1.6
200802,36.0,-2.5
200803,47.5,-2.1
200804,63.8,1.9
200805,69.2,-3.9
200806,83.1,1.0
200807,84.0,-2.1
200808,82.7,-1.4
200809,79.8,1.9
200810,65.9,0.0
200811,49.7,-0.9
200812,38.4,0.0
200901,29.7,-5.4
200902,41.9,3.4
200903,55.4,5.8
200904,62.2,0.3
200905,73.2,0.1
200906,82.0,-0.1
200907,79.0,-7.1
