#  Iowa Cooling Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,0,0
199702,0,0
199703,0,-1
199704,0,-1
199705,15,-43
199706,187,19
199707,268,-17
199708,171,-52
199709,75,10
199710,6,-2
199711,0,0
199712,0,0
199801,0,0
199802,0,0
199803,0,-1
199804,0,-1
199805,120,62
199806,125,-43
199807,282,-3
199808,261,38
199809,139,74
199810,9,1
199811,0,0
199812,0,0
199901,0,0
199902,0,0
199903,0,-1
199904,0,-1
199905,60,2
199906,161,-7
199907,372,87
199908,182,-41
199909,39,-26
199910,4,-4
199911,0,0
199912,0,0
200001,0,0
200002,0,0
200003,8,7
200004,0,-1
200005,85,27
200006,133,-35
200007,232,-53
200008,251,28
200009,84,19
200010,15,7
200011,0,0
200012,0,0
200101,0,0
200102,0,0
200103,0,-1
200104,7,6
200105,64,6
200106,142,-26
200107,316,31
200108,249,26
200109,38,-27
200110,1,-7
200111,2,2
200112,0,0
200201,0,0
200202,0,0
200203,0,-1
200204,0,-1
200205,28,-30
200206,232,64
200207,353,68
200208,205,-18
200209,94,29
200210,0,-8
200211,0,0
200212,0,0
200301,0,0
200302,0,0
200303,0,-1
200304,1,0
200305,34,-24
200306,125,-43
200307,256,-29
200308,290,67
200309,38,-27
200310,7,-1
200311,0,0
200312,0,0
200401,0,0
200402,0,0
200403,2,1
200404,2,1
200405,62,4
200406,124,-44
200407,193,-92
200408,111,-112
200409,106,41
200410,6,-2
200411,0,0
200412,0,0
200501,0,0
200502,0,0
200503,0,-1
200504,9,8
200505,33,-25
200506,250,82
200507,305,20
200508,222,-1
200509,129,64
200510,8,0
200511,0,0
200512,0,0
200601,0,0
200602,0,0
200603,0,-1
200604,9,8
200605,57,-1
200606,176,8
200607,340,55
200608,238,15
200609,29,-36
200610,0,-8
200611,0,0
200612,0,0
200701,0,0
200702,0,0
200703,5,4
200704,0,-1
200705,116,58
200706,188,20
200707,270,-15
200708,297,74
200709,86,21
200710,19,11
200711,0,0
200712,0,0
200801,0,0
200802,0,0
200803,0,-1
200804,0,-1
200805,30,-28
200806,168,0
200807,260,-25
200808,181,-42
200809,68,3
200810,3,-5
200811,0,0
200812,0,0
200901,0,0
200902,0,0
200903,0,-1
200904,0,-1
200905,50,-8
200906,161,-7
200907,135,-150
200908,149,-74
200909,63,-2
200910,0,-8
200911,0,0
200912,0,0
201001,0,0
201002,0,0
201003,0,-1
201004,13,12
201005,53,-5
201006,204,36
201007,307,22
201008,299,76
201009,63,-2
201010,11,3
201011,0,0
201012,0,0
201101,0,0
201102,0,0
201103,0,-1
201104,0,-1
201105,45,-13
201106,171,3
201107,403,118
201108,235,12
201109,30,-35
201110,10,2
201111,0,0
201112,0,0
201201,0,0
201202,0,0
201203,31,30
201204,5,4
201205,121,63
201206,211,43
201207,451,166
201208,204,-19
201209,46,-19
201210,1,-7
201211,0,0
201212,0,0
201301,0,0
201302,0,0
201303,0,-1
201304,0,-1
201305,47,-11
201306,159,-9
201307,238,-47
201308,234,11
201309,118,53
201310,4,-4
201311,0,0
201312,0,0
201401,0,0
201402,0,0
201403,0,-1
201404,0,-1
201405,52,-6
201406,186,18
201407,153,-132
201408,215,-8
201409,46,-19
201410,4,-4
201411,0,0
201412,0,0
201501,0,0
201502,0,0
201503,0,-1
201504,2,1
201505,55,-3
201506,163,-5
201507,228,-57
201508,160,-63
201509,147,82
201510,9,1
201511,0,0
201512,0,0
201601,0,0
201602,0,0
201603,5,4
201604,1,0
201605,47,-11
201606,248,80
201607,255,-30
201608,241,18
201609,128,63
201610,17,9
201611,0,0
201612,0,0
201701,0,0
201702,0,0
201703,0,-1
201704,1,0
201705,39,-19
201706,205,37
201707,301,16
201708,138,-85
201709,113,48
201710,10,2
201711,0,0
201712,0,0
201801,0,0
201802,0,0
201803,0,-1
201804,0,-1
201805,155,97
201806,255,87
201807,261,-24
201808,232,9
201809,102,37
201810,0,-8
201811,0,0
201812,0,0
201901,0,0
201902,0,0
201903,0,-1
201904,0,-1
201905,27,-31
201906,162,-6
201907,325,40
201908,175,-48
201909,141,76
201910,0,-8
201911,0,0
201912,0,0
202001,0,0
202002,0,0
202003,1,0
202004,0,-1
202005,32,-26
202006,242,74
202007,328,43
202008,230,7
202009,46,-19
202010,0,-8
202011,0,0
202012,0,0
202101,0,0
202102,0,0
202103,5,4
202104,0,-1
202105,42,-16
202106,267,99
202107,270,-15
202108,261,38
202109,115,50
202110,17,9
202111,0,0
202112,0,0
202201,0,0
202202,0,0
202203,0,-1
202204,0,-1
202205,70,12
202206,216,48
202207,293,8
202208,233,10
202209,87,22
202210,3,-5
202211,0,0
202212,0,0
