#  Iowa Heating Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,1555,96
199702,1109,-71
199703,853,-83
199704,612,107
199705,348,130
199706,27,-16
199707,10,0
199708,36,10
199709,99,-24
199710,408,-18
199711,952,81
199712,1163,-140
199801,1278,-181
199802,833,-347
199803,976,40
199804,457,-48
199805,116,-102
199806,58,15
199807,8,-2
199808,13,-13
199809,46,-77
199810,380,-46
199811,723,-148
199812,1095,-208
199901,1487,28
199902,892,-288
199903,895,-41
199904,444,-61
199905,191,-27
199906,37,-6
199907,1,-9
199908,31,5
199909,148,25
199910,439,13
199911,623,-248
199912,1182,-121
200001,1347,-112
200002,913,-267
200003,682,-254
200004,465,-40
200005,155,-63
200006,52,9
200007,14,4
200008,15,-11
200009,89,-34
200010,323,-103
200011,964,93
200012,1697,394
200101,1369,-90
200102,1297,117
200103,1072,136
200104,365,-140
200105,184,-34
200106,46,3
200107,4,-6
200108,15,-11
200109,152,29
200110,463,37
200111,510,-361
200112,1054,-249
200201,1113,-346
200202,979,-201
200203,1034,98
200204,485,-20
200205,277,59
200206,17,-26
200207,1,-9
200208,25,-1
200209,79,-44
200210,570,144
200211,904,33
200212,1116,-187
200301,1424,-35
200302,1249,69
200303,931,-5
200304,439,-66
200305,252,34
200306,57,14
200307,11,1
200308,10,-16
200309,150,27
200310,403,-23
200311,860,-11
200312,1134,-169
200401,1459,0
200402,1173,-7
200403,749,-187
200404,421,-84
200405,191,-27
200406,58,15
200407,23,13
200408,74,48
200409,67,-56
200410,413,-13
200411,726,-145
200412,1191,-112
200501,1423,-36
200502,945,-235
200503,896,-40
200504,352,-153
200505,260,42
200506,13,-30
200507,6,-4
200508,21,-5
200509,51,-72
200510,390,-36
200511,760,-111
200512,1415,112
200601,1008,-451
200602,1113,-67
200603,876,-60
200604,345,-160
200605,196,-22
200606,32,-11
200607,2,-8
200608,17,-9
200609,174,51
200610,529,103
200611,757,-114
200612,1044,-259
200701,1331,-128
200702,1392,212
200703,722,-214
200704,548,43
200705,120,-98
200706,26,-17
200707,10,0
200708,9,-17
200709,87,-36
200710,294,-132
200711,831,-40
200712,1374,71
200801,1492,33
200802,1344,164
200803,1008,72
200804,557,52
200805,267,49
200806,35,-8
200807,11,1
200808,32,6
200809,106,-17
200810,445,19
200811,825,-46
200812,1469,166
200901,1621,162
200902,1075,-105
200903,852,-84
200904,535,30
200905,210,-8
200906,38,-5
200907,47,37
200908,46,20
200909,111,-12
200910,612,186
200911,643,-228
200912,1381,78
201001,1582,123
201002,1328,148
201003,808,-128
201004,303,-202
201005,203,-15
201006,24,-19
201007,5,-5
201008,9,-17
201009,114,-9
201010,355,-71
201011,800,-71
201012,1429,126
201101,1540,81
201102,1177,-3
201103,919,-17
201104,521,16
201105,222,4
201106,32,-11
201107,0,-10
201108,18,-8
201109,171,48
201110,370,-56
201111,756,-115
201112,1095,-208
201201,1194,-265
201202,983,-197
201203,446,-490
201204,392,-113
201205,116,-102
201206,20,-23
201207,0,-10
201208,24,-2
201209,135,12
201210,499,73
201211,775,-96
201212,1144,-159
201301,1327,-132
201302,1142,-38
201303,1120,184
201304,620,115
201305,220,2
201306,38,-5
201307,14,4
201308,18,-8
201309,58,-65
201310,446,20
201311,931,60
201312,1473,170
201401,1588,129
201402,1463,283
201403,1100,164
201404,526,21
201405,206,-12
201406,27,-16
201407,37,27
201408,21,-5
201409,136,13
201410,441,15
201411,1067,196
201412,1132,-171
201501,1351,-108
201502,1431,251
201503,875,-61
201504,423,-82
201505,200,-18
201506,36,-7
201507,15,5
201508,40,14
201509,40,-83
201510,381,-45
201511,687,-184
201512,966,-337
201601,1403,-56
201602,1020,-160
201603,707,-229
201604,450,-55
201605,216,-2
201606,14,-29
201607,11,1
201608,16,-10
201609,52,-71
201610,308,-118
201611,594,-277
201612,1298,-5
201701,1255,-204
201702,846,-334
201703,850,-86
201704,414,-91
201705,239,21
201706,22,-21
201707,7,-3
201708,53,27
201709,62,-61
201710,362,-64
201711,860,-11
201712,1258,-45
201801,1454,-5
201802,1231,51
201803,925,-11
201804,765,260
201805,85,-133
201806,13,-30
201807,11,1
201808,19,-7
201809,72,-51
201810,510,84
201811,1041,170
201812,1133,-170
201901,1442,-17
201902,1372,192
201903,1043,107
201904,474,-31
201905,279,61
201906,36,-7
201907,4,-6
201908,34,8
201909,45,-78
201910,548,122
201911,981,110
201912,1090,-213
202001,1286,-173
202002,1120,-60
202003,761,-175
202004,548,43
202005,261,43
202006,15,-28
202007,2,-8
202008,18,-8
202009,137,14
202010,580,154
202011,683,-188
202012,1172,-131
202101,1286,-173
202102,1471,291
202103,712,-224
202104,460,-45
202105,228,10
202106,11,-32
202107,10,0
202108,13,-13
202109,62,-61
202110,304,-122
202111,777,-94
202112,1018,-285
202201,1568,109
202202,1224,44
202203,861,-75
202204,634,129
202205,175,-43
202206,20,-23
202207,7,-3
202208,18,-8
202209,85,-38
202210,457,31
202211,825,-46
202212,1335,32
